,Value_Male,0,1,Value_Female,female-male,tuple
0,0.2799271,unsociable,sociable,-0.36256713,-0.6424942,"('unsociable', 'sociable')"
1,1.6506014,unfriendly,friendly,1.913713,0.2631116,"('unfriendly', 'friendly')"
2,0.6397607,unlikable,likable,-0.06358874,-0.7033494,"('unlikable', 'likable')"
3,-0.019301735,repellent,pleasant,0.21873282,0.23803455,"('repellent', 'pleasant')"
4,0.19895859,disliked,liked,0.31750482,0.11854623,"('disliked', 'liked')"
5,0.7378334,distant,outgoing,0.9129594,0.17512602,"('distant', 'outgoing')"
6,1.0583005,distant,open,1.1792996,0.1209991,"('distant', 'open')"
7,0.8000149,insensitive,sensitive,1.0242354,0.22422045,"('insensitive', 'sensitive')"
8,0.87275445,unaffectionate,affectionate,1.345986,0.47323155,"('unaffectionate', 'affectionate')"
9,0.8364523,unaffectionate,caring,1.6000527,0.7636004,"('unaffectionate', 'caring')"
10,0.8100337,unsympathetic,sympathetic,0.5603269,-0.2497068,"('unsympathetic', 'sympathetic')"
11,-0.3655373,unhelpful,helpful,-0.48941827,-0.12388098,"('unhelpful', 'helpful')"
12,0.093600966,unsupportive,supportive,0.8020226,0.7084216,"('unsupportive', 'supportive')"
13,-0.315254,impolite,polite,-0.36524886,-0.049994856,"('impolite', 'polite')"
14,-0.127957,antisocial,social,0.2857766,0.4137336,"('antisocial', 'social')"
15,0.4016673,boring,funny,0.37542552,-0.02624178,"('boring', 'funny')"
16,0.3900299,unpopular,popular,0.19308333,-0.19694658,"('unpopular', 'popular')"
17,0.09047919,nasty,nice,0.48218143,0.39170223,"('nasty', 'nice')"
18,0.34695157,disagreeable,welcoming,1.1252155,0.7782639,"('disagreeable', 'welcoming')"
19,0.07521562,inhospitable,hospitable,-0.22393513,-0.29915076,"('inhospitable', 'hospitable')"
20,0.03623595,rough,thoughtful,0.062167447,0.025931496,"('rough', 'thoughtful')"
21,0.18496223,immoral,moral,-0.08786763,-0.27282986,"('immoral', 'moral')"
22,0.60395217,untrustworthy,trustworthy,0.6743171,0.07036495,"('untrustworthy', 'trustworthy')"
23,0.6499017,insincere,sincere,0.77982926,0.12992758,"('insincere', 'sincere')"
24,1.4189054,dishonest,honest,1.4355977,0.01669228,"('dishonest', 'honest')"
25,0.5971491,egoistic,altruistic,0.80077755,0.20362848,"('egoistic', 'altruistic')"
26,0.5472431,hardhearted,benevolent,1.1515816,0.6043385,"('hardhearted', 'benevolent')"
27,0.8045789,hardhearted,softhearted,1.3625947,0.5580158,"('hardhearted', 'softhearted')"
28,0.47536007,disloyal,loyal,0.21755755,-0.25780252,"('disloyal', 'loyal')"
29,-1.0863477,unfair,fair,-0.49930677,0.5870409,"('unfair', 'fair')"
30,0.4394815,intolerant,tolerant,0.52687055,0.08738905,"('intolerant', 'tolerant')"
31,0.20331751,evil,good,0.09671769,-0.106599815,"('evil', 'good')"
32,1.736116,unkind,kind,1.7269822,-0.009133816,"('unkind', 'kind')"
33,-0.34129503,wrong,right,0.38443232,0.7257273,"('wrong', 'right')"
34,0.4297895,mean,honorable,0.23831666,-0.19147286,"('mean', 'honorable')"
35,-0.35246754,corrupt,incorrupt,-0.41848564,-0.066018105,"('corrupt', 'incorrupt')"
36,0.5672621,hostile,amicable,0.7796017,0.21233958,"('hostile', 'amicable')"
37,0.6267665,fake,genuine,0.44846612,-0.17830038,"('fake', 'genuine')"
38,0.037225977,untruthful,truthful,0.07009722,0.032871246,"('untruthful', 'truthful')"
39,0.6282702,exploitative,cooperative,0.945273,0.31700277,"('exploitative', 'cooperative')"
40,0.8560871,stingy,generous,0.3774945,-0.47859257,"('stingy', 'generous')"
41,0.65314776,unforgiving,forgiving,0.29651266,-0.3566351,"('unforgiving', 'forgiving')"
42,0.13371548,unreliable,reliable,0.5666083,0.43289283,"('unreliable', 'reliable')"
43,0.75796944,irresponsible,responsible,0.9144094,0.15643996,"('irresponsible', 'responsible')"
44,-0.86588925,prejudiced,unprejudiced,-1.1556964,-0.28980714,"('prejudiced', 'unprejudiced')"
45,0.5517479,incompetent,competent,0.6218469,0.070098996,"('incompetent', 'competent')"
46,-0.037520997,uncompetitive,competitive,-0.15073305,-0.11321206,"('uncompetitive', 'competitive')"
47,0.98517466,stupid,smart,0.6374931,-0.34768158,"('stupid', 'smart')"
48,0.4267265,unintelligent,intelligent,0.19687012,-0.22985637,"('unintelligent', 'intelligent')"
49,-0.3763368,unable,able,0.46370947,0.8400463,"('unable', 'able')"
50,0.31642857,clumsy,skillful,0.1202361,-0.19619247,"('clumsy', 'skillful')"
51,-0.050138775,uneducated,educated,-0.22827151,-0.17813274,"('uneducated', 'educated')"
52,0.37042445,irrational,rational,0.3719904,0.001565963,"('irrational', 'rational')"
53,0.9898208,uncreative,creative,1.1395429,0.14972216,"('uncreative', 'creative')"
54,1.4007668,incapable,capable,0.83265257,-0.5681143,"('incapable', 'capable')"
55,0.12373506,incompetent,clever,0.33668888,0.2129538,"('incompetent', 'clever')"
56,0.23508719,impractical,practical,0.69021297,0.45512578,"('impractical', 'practical')"
57,1.2188892,unimaginative,imaginative,0.7986692,-0.42022002,"('unimaginative', 'imaginative')"
58,1.1153375,undiscriminating,discriminating,0.67668104,-0.43865645,"('undiscriminating', 'discriminating')"
59,0.2084302,foolish,wise,0.19244969,-0.015980512,"('foolish', 'wise')"
60,-0.13663185,inefficient,efficient,0.41355687,0.5501887,"('inefficient', 'efficient')"
61,-0.44918412,illogical,logical,-0.0889554,0.36022872,"('illogical', 'logical')"
62,0.18154353,incompetent,brilliant,0.28052968,0.09898615,"('incompetent', 'brilliant')"
63,0.77731764,unperceptive,insightful,0.6009821,-0.17633551,"('unperceptive', 'insightful')"
64,-0.69600344,shy,confident,-1.2160604,-0.52005696,"('shy', 'confident')"
65,0.037695006,insecure,secure,-0.65564007,-0.69333506,"('insecure', 'secure')"
66,0.00971112,inactive,active,-0.13017343,-0.13988455,"('inactive', 'active')"
67,-1.0372196,doubtful,determined,-0.61225927,0.42496037,"('doubtful', 'determined')"
68,-0.20108585,dependent,independent,-0.1079375,0.09314835,"('dependent', 'independent')"
69,-0.6047833,lazy,industrious,-0.045943346,0.55884,"('lazy', 'industrious')"
70,0.9221814,lethargic,energetic,1.151252,0.2290706,"('lethargic', 'energetic')"
71,0.26189956,diffident,self-confident,0.4497139,0.18781433,"('diffident', 'self-confident')"
72,0.9588073,unambitious,ambitious,0.43698817,-0.5218191,"('unambitious', 'ambitious')"
73,0.9511002,helpless,self-reliant,0.7780601,-0.17304009,"('helpless', 'self-reliant')"
74,0.6221248,undedicated,dedicated,1.5808347,0.95870996,"('undedicated', 'dedicated')"
75,0.601236,meek,impulsive,-0.12447771,-0.7257137,"('meek', 'impulsive')"
76,0.558804,anxious,daring,0.4005639,-0.15824008,"('anxious', 'daring')"
77,-0.631382,unmotivated,motivated,-1.0031457,-0.3717637,"('unmotivated', 'motivated')"
78,-0.9374125,nonresilient,resilient,-0.39639613,0.54101634,"('nonresilient', 'resilient')"
79,0.5214039,wavering,unwavering,0.43939832,-0.08200559,"('wavering', 'unwavering')"
80,-0.5739115,dominated,dominating,-1.1116835,-0.537772,"('dominated', 'dominating')"
81,0.67110527,submissive,aggressive,-0.7022908,-1.373396,"('submissive', 'aggressive')"
82,1.0656823,poor,rich,0.44925785,-0.61642444,"('poor', 'rich')"
83,-0.60634494,powerless,powerful,-0.38380095,0.22254398,"('powerless', 'powerful')"
84,0.14519335,inferior,superior,-0.24772352,-0.39291686,"('inferior', 'superior')"
85,1.3848758,insignificant,prestigious,1.39699,0.012114167,"('insignificant', 'prestigious')"
86,0.06410089,uninfluential,influential,0.36547503,0.30137414,"('uninfluential', 'influential')"
87,0.30852428,unsuccessful,successful,-0.14098746,-0.44951174,"('unsuccessful', 'successful')"
88,0.82616556,low,eminent,0.8008696,-0.025295973,"('low', 'eminent')"
