,Value_Male,0,1,Value_Female,female-male,tuple
0,0.38865256,unsociable,sociable,-0.3767953,-0.76544785,"('unsociable', 'sociable')"
1,1.3712687,unfriendly,friendly,1.755376,0.38410723,"('unfriendly', 'friendly')"
2,0.6919338,unlikable,likable,-0.045197643,-0.7371315,"('unlikable', 'likable')"
3,0.019146143,repellent,pleasant,0.2300532,0.21090706,"('repellent', 'pleasant')"
4,0.6782154,disliked,liked,0.83383787,0.15562248,"('disliked', 'liked')"
5,0.5924295,distant,outgoing,0.8763132,0.2838837,"('distant', 'outgoing')"
6,0.97939795,distant,open,1.1498815,0.17048353,"('distant', 'open')"
7,0.876119,insensitive,sensitive,1.0663049,0.1901859,"('insensitive', 'sensitive')"
8,0.72710335,unaffectionate,affectionate,1.2585275,0.53142416,"('unaffectionate', 'affectionate')"
9,0.7867136,unaffectionate,caring,1.5800427,0.7933291,"('unaffectionate', 'caring')"
10,0.8575602,unsympathetic,sympathetic,0.5966908,-0.26086944,"('unsympathetic', 'sympathetic')"
11,-0.36980572,unhelpful,helpful,-0.5732511,-0.2034454,"('unhelpful', 'helpful')"
12,0.314905,unsupportive,supportive,0.9887611,0.67385614,"('unsupportive', 'supportive')"
13,-0.38592398,impolite,polite,-0.34461305,0.041310936,"('impolite', 'polite')"
14,-0.19455555,antisocial,social,0.34875473,0.5433103,"('antisocial', 'social')"
15,0.5532333,boring,funny,0.5047025,-0.048530817,"('boring', 'funny')"
16,0.44229752,unpopular,popular,0.17281981,-0.26947773,"('unpopular', 'popular')"
17,0.013556215,nasty,nice,0.36930642,0.3557502,"('nasty', 'nice')"
18,0.40429547,disagreeable,welcoming,1.0989329,0.6946374,"('disagreeable', 'welcoming')"
19,0.18273993,inhospitable,hospitable,-0.07463664,-0.25737655,"('inhospitable', 'hospitable')"
20,-0.16078882,rough,thoughtful,-0.088416934,0.072371885,"('rough', 'thoughtful')"
21,0.2958761,immoral,moral,0.075240105,-0.22063598,"('immoral', 'moral')"
22,0.909716,untrustworthy,trustworthy,1.1229254,0.21320939,"('untrustworthy', 'trustworthy')"
23,0.43837768,insincere,sincere,0.5999234,0.1615457,"('insincere', 'sincere')"
24,1.4935324,dishonest,honest,1.5171059,0.023573518,"('dishonest', 'honest')"
25,0.5744335,egoistic,altruistic,0.6864388,0.11200529,"('egoistic', 'altruistic')"
26,0.5810327,hardhearted,benevolent,1.0561666,0.47513396,"('hardhearted', 'benevolent')"
27,0.6197578,hardhearted,softhearted,1.1123623,0.4926045,"('hardhearted', 'softhearted')"
28,0.34281665,disloyal,loyal,0.024125973,-0.3186907,"('disloyal', 'loyal')"
29,-1.0870172,unfair,fair,-0.3899663,0.69705087,"('unfair', 'fair')"
30,0.50340027,intolerant,tolerant,0.4851146,-0.018285662,"('intolerant', 'tolerant')"
31,0.32350078,evil,good,0.3987197,0.075218916,"('evil', 'good')"
32,1.2132473,unkind,kind,1.2842209,0.070973635,"('unkind', 'kind')"
33,-0.27604893,wrong,right,0.46800217,0.7440511,"('wrong', 'right')"
34,0.35250282,mean,honorable,0.1515627,-0.20094012,"('mean', 'honorable')"
35,-0.33134937,corrupt,incorrupt,-0.33353975,-0.0021903813,"('corrupt', 'incorrupt')"
36,0.5617882,hostile,amicable,0.9646463,0.40285808,"('hostile', 'amicable')"
37,0.54193115,fake,genuine,0.4715805,-0.07035065,"('fake', 'genuine')"
38,0.14748636,untruthful,truthful,0.12672454,-0.020761818,"('untruthful', 'truthful')"
39,0.41938874,exploitative,cooperative,0.800876,0.38148728,"('exploitative', 'cooperative')"
40,0.7755647,stingy,generous,0.22463818,-0.5509265,"('stingy', 'generous')"
41,0.7684822,unforgiving,forgiving,0.27197728,-0.49650493,"('unforgiving', 'forgiving')"
42,0.5606992,unreliable,reliable,1.0123256,0.45162642,"('unreliable', 'reliable')"
43,0.6835587,irresponsible,responsible,0.8929193,0.2093606,"('irresponsible', 'responsible')"
44,-0.86740786,prejudiced,unprejudiced,-1.0784394,-0.2110315,"('prejudiced', 'unprejudiced')"
45,0.7819656,incompetent,competent,0.7593091,-0.0226565,"('incompetent', 'competent')"
46,-0.020801656,uncompetitive,competitive,-0.122874476,-0.10207282,"('uncompetitive', 'competitive')"
47,0.53115356,stupid,smart,0.29109836,-0.2400552,"('stupid', 'smart')"
48,0.26726854,unintelligent,intelligent,-0.1141364,-0.38140494,"('unintelligent', 'intelligent')"
49,-0.34189874,unable,able,0.4375441,0.77944285,"('unable', 'able')"
50,0.09681415,clumsy,skillful,-0.0017804354,-0.09859458,"('clumsy', 'skillful')"
51,-0.18637349,uneducated,educated,-0.36010548,-0.173732,"('uneducated', 'educated')"
52,0.47225484,irrational,rational,0.44610062,-0.02615422,"('irrational', 'rational')"
53,0.9317968,uncreative,creative,1.131843,0.20004618,"('uncreative', 'creative')"
54,1.4407055,incapable,capable,0.84899384,-0.5917117,"('incapable', 'capable')"
55,0.14794196,incompetent,clever,0.34328133,0.19533937,"('incompetent', 'clever')"
56,0.3413907,impractical,practical,0.68448555,0.34309486,"('impractical', 'practical')"
57,1.2886745,unimaginative,imaginative,0.7487457,-0.5399288,"('unimaginative', 'imaginative')"
58,1.1698643,undiscriminating,discriminating,0.844096,-0.3257683,"('undiscriminating', 'discriminating')"
59,0.21581924,foolish,wise,0.18383762,-0.031981617,"('foolish', 'wise')"
60,-0.47023025,inefficient,efficient,-0.021915723,0.44831452,"('inefficient', 'efficient')"
61,-0.34725717,illogical,logical,0.05392661,0.40118378,"('illogical', 'logical')"
62,0.38513428,incompetent,brilliant,0.3615745,-0.023559779,"('incompetent', 'brilliant')"
63,0.9430541,unperceptive,insightful,0.74610406,-0.19695002,"('unperceptive', 'insightful')"
64,-0.59360284,shy,confident,-1.0649995,-0.47139663,"('shy', 'confident')"
65,-0.0075187646,insecure,secure,-0.7301496,-0.72263086,"('insecure', 'secure')"
66,0.07255915,inactive,active,0.13351098,0.06095183,"('inactive', 'active')"
67,-1.1325827,doubtful,determined,-0.7371423,0.39544034,"('doubtful', 'determined')"
68,-0.31010225,dependent,independent,-0.10380273,0.20629951,"('dependent', 'independent')"
69,-0.562736,lazy,industrious,0.048839852,0.61157584,"('lazy', 'industrious')"
