,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.2838393,-0.4027516,-0.6865909
1,"('unfriendly', 'friendly')",1.7640543,2.0823022,0.31824790000000003
2,"('unlikable', 'likable')",0.9674232,0.2163312,-0.7510920000000001
3,"('repellent', 'pleasant')",0.2955241,0.6288999,0.33337579999999994
4,"('disliked', 'liked')",-0.4016347,0.0519425,0.4535772
5,"('distant', 'outgoing')",0.5855037,0.7685761,0.18307240000000002
6,"('distant', 'open')",0.6360743,0.8811231,0.24504880000000007
7,"('insensitive', 'sensitive')",1.1713821,1.4237543,0.25237219999999994
8,"('unaffectionate', 'affectionate')",1.032788,1.4778095,0.44502149999999996
9,"('unaffectionate', 'caring')",0.9881213,1.6805949,0.6924736
10,"('unsympathetic', 'sympathetic')",1.3497809,0.9623554,-0.3874255000000001
11,"('unhelpful', 'helpful')",0.1246928,-0.1255145,-0.2502073
12,"('unsupportive', 'supportive')",0.4385945,1.1446303,0.7060358
13,"('impolite', 'polite')",0.2358614,0.0465473,-0.18931409999999999
14,"('antisocial', 'social')",-0.8373371,-0.3216704,0.5156666999999999
15,"('boring', 'funny')",0.2435053,0.2808156,0.03731029999999999
16,"('unpopular', 'popular')",0.1727335,0.1648624,-0.00787110000000002
17,"('nasty', 'nice')",0.0109626,0.3692168,0.3582542
18,"('disagreeable', 'welcoming')",0.3275077,1.1538608,0.8263531
19,"('inhospitable', 'hospitable')",0.4381488,0.0988289,-0.3393199
20,"('rough', 'thoughtful')",-0.4579337,-0.3736326,0.08430110000000002
21,"('immoral', 'moral')",0.6000902,0.0557072,-0.5443830000000001
22,"('untrustworthy', 'trustworthy')",0.0858935,0.2631239,0.1772304
23,"('insincere', 'sincere')",1.0889333,1.0791023,-0.009831000000000145
24,"('dishonest', 'honest')",1.8775122,1.7721936,-0.10531859999999993
25,"('egoistic', 'altruistic')",0.6820271,0.8257608,0.14373369999999996
26,"('hardhearted', 'benevolent')",0.1492395,0.6638381,0.5145986
27,"('hardhearted', 'softhearted')",0.8844949,1.6387419,0.7542470000000001
28,"('disloyal', 'loyal')",0.5874129,0.1963212,-0.39109170000000004
29,"('unfair', 'fair')",-1.1703929,-0.505778,0.6646149
30,"('intolerant', 'tolerant')",0.6245529,0.5607488,-0.06380409999999992
31,"('evil', 'good')",-0.3230242,-0.1963062,0.126718
32,"('unkind', 'kind')",1.7649189,1.6759831,-0.08893580000000001
33,"('wrong', 'right')",-0.0655045,0.5587892,0.6242937
34,"('mean', 'honorable')",0.5896792,0.2993395,-0.2903397
35,"('corrupt', 'incorrupt')",-1.1197536,-0.9538879,0.1658656999999999
36,"('hostile', 'amicable')",0.1290849,0.5806194,0.4515345
37,"('fake', 'genuine')",0.8595484,0.5989431,-0.26060530000000004
38,"('untruthful', 'truthful')",0.207581,0.2968907,0.08930970000000002
39,"('exploitative', 'cooperative')",0.3677444,0.5725172,0.20477279999999992
40,"('stingy', 'generous')",0.8811439,0.5703468,-0.31079709999999994
41,"('unforgiving', 'forgiving')",0.7004717,0.4523351,-0.24813660000000004
42,"('unreliable', 'reliable')",0.2045545,0.5938621,0.3893076
43,"('irresponsible', 'responsible')",1.0360588,1.0237507,-0.012308100000000044
44,"('prejudiced', 'unprejudiced')",-1.1694062,-1.5451847,-0.3757785
45,"('incompetent', 'competent')",0.5715595,0.6727969,0.10123740000000003
46,"('uncompetitive', 'competitive')",-0.097666,-0.1747943,-0.07712830000000001
47,"('stupid', 'smart')",0.8579379,0.4174596,-0.44047830000000004
48,"('unintelligent', 'intelligent')",0.933681,0.4359838,-0.4976972
49,"('unable', 'able')",-0.0905592,0.7652049,0.8557641
50,"('clumsy', 'skillful')",0.1987088,0.309882,0.1111732
51,"('uneducated', 'educated')",0.5455729,0.2054678,-0.34010510000000005
52,"('irrational', 'rational')",0.3602847,0.1655093,-0.19477540000000002
53,"('uncreative', 'creative')",0.9792953,1.2859277,0.3066324
