,Value_Male,0,1,Value_Female,female-male,tuple
0,0.25211844,unsociable,sociable,-0.36614296,-0.6182614,"('unsociable', 'sociable')"
1,1.5789862,unfriendly,friendly,1.7367054,0.15771925,"('unfriendly', 'friendly')"
2,1.0249834,unlikable,likable,0.36180824,-0.66317517,"('unlikable', 'likable')"
3,0.6072046,repellent,pleasant,0.6283956,0.021191001,"('repellent', 'pleasant')"
4,-0.28822476,disliked,liked,0.22161236,0.50983715,"('disliked', 'liked')"
5,-0.28255674,distant,outgoing,0.31603494,0.5985917,"('distant', 'outgoing')"
6,-0.2878025,distant,open,0.41316697,0.70096946,"('distant', 'open')"
7,1.0867081,insensitive,sensitive,1.1377243,0.05101621,"('insensitive', 'sensitive')"
8,1.3576431,unaffectionate,affectionate,1.7195269,0.36188376,"('unaffectionate', 'affectionate')"
9,0.93832684,unaffectionate,caring,1.5883352,0.6500083,"('unaffectionate', 'caring')"
10,1.3108443,unsympathetic,sympathetic,0.89333844,-0.41750586,"('unsympathetic', 'sympathetic')"
11,0.6263224,unhelpful,helpful,0.13886803,-0.48745435,"('unhelpful', 'helpful')"
12,0.05014749,unsupportive,supportive,0.8381088,0.7879613,"('unsupportive', 'supportive')"
13,-0.05760277,impolite,polite,-0.3373289,-0.27972615,"('impolite', 'polite')"
14,-0.29738644,antisocial,social,0.36819637,0.6655828,"('antisocial', 'social')"
15,0.46544963,boring,funny,0.24120224,-0.2242474,"('boring', 'funny')"
16,0.68083286,unpopular,popular,0.37168682,-0.30914605,"('unpopular', 'popular')"
17,-0.0865905,nasty,nice,0.08987179,0.1764623,"('nasty', 'nice')"
18,0.19120994,disagreeable,welcoming,1.0651556,0.8739457,"('disagreeable', 'welcoming')"
19,0.19014247,inhospitable,hospitable,-0.3531195,-0.54326195,"('inhospitable', 'hospitable')"
20,-0.31428516,rough,thoughtful,-0.48695326,-0.1726681,"('rough', 'thoughtful')"
21,0.7909392,immoral,moral,0.2969705,-0.49396873,"('immoral', 'moral')"
22,0.09689065,untrustworthy,trustworthy,0.3075221,0.21063143,"('untrustworthy', 'trustworthy')"
23,1.5322269,insincere,sincere,1.3301948,-0.20203209,"('insincere', 'sincere')"
24,1.5669409,dishonest,honest,1.6704773,0.10353637,"('dishonest', 'honest')"
25,1.3987325,egoistic,altruistic,1.4301151,0.03138256,"('egoistic', 'altruistic')"
26,0.54699546,hardhearted,benevolent,1.0290331,0.4820376,"('hardhearted', 'benevolent')"
27,0.6774701,hardhearted,softhearted,1.1579138,0.48044372,"('hardhearted', 'softhearted')"
28,0.91648364,disloyal,loyal,0.5242024,-0.39228123,"('disloyal', 'loyal')"
29,-1.7068034,unfair,fair,-1.2355798,0.4712236,"('unfair', 'fair')"
30,0.44384083,intolerant,tolerant,0.6023571,0.15851626,"('intolerant', 'tolerant')"
31,-0.6803218,evil,good,-0.49762177,0.18270004,"('evil', 'good')"
32,2.5547278,unkind,kind,2.1846824,-0.37004542,"('unkind', 'kind')"
33,-0.32162374,wrong,right,0.32166237,0.6432861,"('wrong', 'right')"
34,0.80182916,mean,honorable,0.40451682,-0.39731234,"('mean', 'honorable')"
35,-1.2939675,corrupt,incorrupt,-1.0663097,0.2276578,"('corrupt', 'incorrupt')"
36,-0.043777768,hostile,amicable,0.29754904,0.3413268,"('hostile', 'amicable')"
37,0.8442197,fake,genuine,0.6388893,-0.20533037,"('fake', 'genuine')"
38,0.35682544,untruthful,truthful,0.30589446,-0.050930977,"('untruthful', 'truthful')"
39,0.35490233,exploitative,cooperative,0.86522007,0.51031774,"('exploitative', 'cooperative')"
40,0.41316992,stingy,generous,0.27730772,-0.1358622,"('stingy', 'generous')"
41,0.46222216,unforgiving,forgiving,0.16312432,-0.29909784,"('unforgiving', 'forgiving')"
42,0.1243611,unreliable,reliable,0.6713047,0.5469436,"('unreliable', 'reliable')"
43,0.46847296,irresponsible,responsible,0.81193125,0.3434583,"('irresponsible', 'responsible')"
44,-0.9902103,prejudiced,unprejudiced,-1.2625893,-0.27237904,"('prejudiced', 'unprejudiced')"
45,0.20887518,incompetent,competent,0.26888433,0.06000915,"('incompetent', 'competent')"
46,-0.014573723,uncompetitive,competitive,-0.06012887,-0.04555515,"('uncompetitive', 'competitive')"
47,0.116733894,stupid,smart,-0.070128255,-0.18686214,"('stupid', 'smart')"
48,0.8239492,unintelligent,intelligent,0.38990855,-0.43404067,"('unintelligent', 'intelligent')"
49,-0.4674338,unable,able,0.10200278,0.5694366,"('unable', 'able')"
50,0.7118658,clumsy,skillful,0.4457461,-0.2661197,"('clumsy', 'skillful')"
51,0.976518,uneducated,educated,0.6296329,-0.3468851,"('uneducated', 'educated')"
52,0.40015033,irrational,rational,0.40966564,0.009515315,"('irrational', 'rational')"
53,0.79993075,uncreative,creative,1.0495871,0.24965638,"('uncreative', 'creative')"
54,1.7529163,incapable,capable,0.955068,-0.79784834,"('incapable', 'capable')"
55,0.23208979,incompetent,clever,0.5312286,0.2991388,"('incompetent', 'clever')"
56,0.11250405,impractical,practical,0.5048303,0.39232624,"('impractical', 'practical')"
57,0.53955466,unimaginative,imaginative,0.27352965,-0.266025,"('unimaginative', 'imaginative')"
58,0.40897197,undiscriminating,discriminating,0.2743631,-0.13460886,"('undiscriminating', 'discriminating')"
59,-0.34555584,foolish,wise,-0.29867023,0.04688561,"('foolish', 'wise')"
