,Value_Male,0,1,Value_Female,female-male,tuple
0,0.15795462,unsociable,sociable,-0.51944923,-0.67740387,"('unsociable', 'sociable')"
1,1.9044244,unfriendly,friendly,2.240345,0.33592057,"('unfriendly', 'friendly')"
2,1.0771787,unlikable,likable,0.17209104,-0.9050877,"('unlikable', 'likable')"
3,0.38631192,repellent,pleasant,0.6583025,0.27199057,"('repellent', 'pleasant')"
4,-0.40324053,disliked,liked,0.124124974,0.5273655,"('disliked', 'liked')"
5,1.1119125,distant,outgoing,1.3030697,0.19115722,"('distant', 'outgoing')"
6,1.13736,distant,open,1.4139687,0.2766087,"('distant', 'open')"
7,0.8770266,insensitive,sensitive,1.1515607,0.27453405,"('insensitive', 'sensitive')"
8,0.85522026,unaffectionate,affectionate,1.520743,0.66552275,"('unaffectionate', 'affectionate')"
9,0.74664897,unaffectionate,caring,1.6098912,0.8632422,"('unaffectionate', 'caring')"
10,1.0113329,unsympathetic,sympathetic,0.62788814,-0.38344473,"('unsympathetic', 'sympathetic')"
11,-0.27022,unhelpful,helpful,-0.49812552,-0.22790551,"('unhelpful', 'helpful')"
12,0.12685914,unsupportive,supportive,0.79799116,0.671132,"('unsupportive', 'supportive')"
13,0.010505168,impolite,polite,-0.18346804,-0.19397321,"('impolite', 'polite')"
14,-1.306608,antisocial,social,-1.0212103,0.28539765,"('antisocial', 'social')"
15,0.62041706,boring,funny,0.5490607,-0.071356356,"('boring', 'funny')"
16,0.6973779,unpopular,popular,0.63762647,-0.05975145,"('unpopular', 'popular')"
17,0.44960427,nasty,nice,0.7705501,0.3209458,"('nasty', 'nice')"
18,0.4340513,disagreeable,welcoming,1.2305998,0.7965485,"('disagreeable', 'welcoming')"
19,0.80504125,inhospitable,hospitable,0.44710934,-0.3579319,"('inhospitable', 'hospitable')"
20,-0.0471437,rough,thoughtful,-0.18058918,-0.13344549,"('rough', 'thoughtful')"
21,0.6799378,immoral,moral,0.16811456,-0.51182324,"('immoral', 'moral')"
22,0.23928028,untrustworthy,trustworthy,0.29560852,0.056328237,"('untrustworthy', 'trustworthy')"
23,0.85746074,insincere,sincere,0.864615,0.007154286,"('insincere', 'sincere')"
24,1.530363,dishonest,honest,1.4547842,-0.07557881,"('dishonest', 'honest')"
25,0.62479657,egoistic,altruistic,0.86629117,0.2414946,"('egoistic', 'altruistic')"
26,-0.072384134,hardhearted,benevolent,0.5058774,0.5782615,"('hardhearted', 'benevolent')"
27,0.8629633,hardhearted,softhearted,1.6737634,0.8108001,"('hardhearted', 'softhearted')"
28,0.6381767,disloyal,loyal,0.36607298,-0.2721037,"('disloyal', 'loyal')"
29,-1.0185541,unfair,fair,-0.35685563,0.66169846,"('unfair', 'fair')"
30,0.44066837,intolerant,tolerant,0.37247655,-0.06819183,"('intolerant', 'tolerant')"
31,-0.086246714,evil,good,-0.11114043,-0.024893716,"('evil', 'good')"
32,1.8507904,unkind,kind,1.5934187,-0.25737166,"('unkind', 'kind')"
33,0.00073639303,wrong,right,0.7986749,0.79793847,"('wrong', 'right')"
34,0.6382507,mean,honorable,0.4113904,-0.22686031,"('mean', 'honorable')"
35,-0.7419001,corrupt,incorrupt,-0.48276243,0.25913766,"('corrupt', 'incorrupt')"
36,0.7968431,hostile,amicable,1.3153609,0.5185178,"('hostile', 'amicable')"
37,0.95552313,fake,genuine,0.81608874,-0.1394344,"('fake', 'genuine')"
38,0.10088527,untruthful,truthful,0.41225794,0.31137267,"('untruthful', 'truthful')"
39,0.08590311,exploitative,cooperative,0.2947379,0.2088348,"('exploitative', 'cooperative')"
40,0.5588155,stingy,generous,0.20890103,-0.34991443,"('stingy', 'generous')"
41,0.670331,unforgiving,forgiving,0.38098776,-0.28934324,"('unforgiving', 'forgiving')"
42,0.2786783,unreliable,reliable,0.79792315,0.51924485,"('unreliable', 'reliable')"
43,0.7128632,irresponsible,responsible,0.8257709,0.11290771,"('irresponsible', 'responsible')"
44,-0.87352955,prejudiced,unprejudiced,-1.1740086,-0.30047905,"('prejudiced', 'unprejudiced')"
45,0.34867135,incompetent,competent,0.43495864,0.08628729,"('incompetent', 'competent')"
46,-0.029588755,uncompetitive,competitive,-0.066189945,-0.03660119,"('uncompetitive', 'competitive')"
47,1.0304034,stupid,smart,0.32187897,-0.7085244,"('stupid', 'smart')"
48,0.81500876,unintelligent,intelligent,0.35378727,-0.4612215,"('unintelligent', 'intelligent')"
49,0.6052246,unable,able,1.4532521,0.84802747,"('unable', 'able')"
50,0.6382991,clumsy,skillful,0.6667913,0.028492212,"('clumsy', 'skillful')"
51,-0.061705,uneducated,educated,-0.35020208,-0.2884971,"('uneducated', 'educated')"
52,0.32848638,irrational,rational,0.37115857,0.042672187,"('irrational', 'rational')"
