,Value_Male,0,1,Value_Female,female-male,tuple
0,-0.17500103,unsociable,sociable,-0.6437345,-0.4687335,"('unsociable', 'sociable')"
1,1.4689052,unfriendly,friendly,1.741278,0.27237284,"('unfriendly', 'friendly')"
2,0.43576035,unlikable,likable,-0.023635898,-0.45939624,"('unlikable', 'likable')"
3,-0.057957917,repellent,pleasant,0.16313277,0.22109069,"('repellent', 'pleasant')"
4,-0.045771897,disliked,liked,0.0234659,0.0692378,"('disliked', 'liked')"
5,0.6048239,distant,outgoing,0.69712263,0.092298746,"('distant', 'outgoing')"
6,1.0474868,distant,open,1.0435259,-0.003960848,"('distant', 'open')"
7,0.46838537,insensitive,sensitive,0.8889423,0.42055693,"('insensitive', 'sensitive')"
8,0.9310673,unaffectionate,affectionate,1.4711609,0.5400936,"('unaffectionate', 'affectionate')"
9,0.78595567,unaffectionate,caring,1.611508,0.82555234,"('unaffectionate', 'caring')"
10,0.3851325,unsympathetic,sympathetic,0.41797593,0.03284344,"('unsympathetic', 'sympathetic')"
11,-0.63618636,unhelpful,helpful,-0.6619802,-0.02579385,"('unhelpful', 'helpful')"
12,-0.14786047,unsupportive,supportive,0.65217406,0.8000345,"('unsupportive', 'supportive')"
13,-0.51349354,impolite,polite,-0.41742218,0.09607136,"('impolite', 'polite')"
14,-0.5965107,antisocial,social,0.016632194,0.6131429,"('antisocial', 'social')"
15,0.278988,boring,funny,0.35178307,0.07279506,"('boring', 'funny')"
16,0.20326608,unpopular,popular,0.047071166,-0.15619493,"('unpopular', 'popular')"
17,-0.08747653,nasty,nice,0.23164307,0.3191196,"('nasty', 'nice')"
18,0.54962665,disagreeable,welcoming,1.3493952,0.7997685,"('disagreeable', 'welcoming')"
19,0.2621851,inhospitable,hospitable,-0.09633144,-0.35851654,"('inhospitable', 'hospitable')"
20,-0.070172176,rough,thoughtful,-0.0051779356,0.06499424,"('rough', 'thoughtful')"
21,0.1205277,immoral,moral,0.054917675,-0.06561002,"('immoral', 'moral')"
