,Value_Male,0,1,Value_Female,female-male,tuple
0,-0.5907068,unsociable,sociable,-1.0721377,-0.4814309,"('unsociable', 'sociable')"
1,1.9275596,unfriendly,friendly,2.396125,0.46856546,"('unfriendly', 'friendly')"
2,0.53044486,unlikable,likable,-0.012312331,-0.5427572,"('unlikable', 'likable')"
3,-0.31094894,repellent,pleasant,-0.032051295,0.27889764,"('repellent', 'pleasant')"
4,-0.124904655,disliked,liked,0.22655784,0.35146248,"('disliked', 'liked')"
5,0.92040706,distant,outgoing,1.2493546,0.32894754,"('distant', 'outgoing')"
6,1.5080469,distant,open,1.7731189,0.265072,"('distant', 'open')"
7,0.57470715,insensitive,sensitive,1.0162364,0.44152927,"('insensitive', 'sensitive')"
8,1.2390493,unaffectionate,affectionate,1.9943948,0.75534546,"('unaffectionate', 'affectionate')"
9,1.1902804,unaffectionate,caring,2.1910756,1.0007951,"('unaffectionate', 'caring')"
10,0.39406684,unsympathetic,sympathetic,0.37814128,-0.015925556,"('unsympathetic', 'sympathetic')"
11,-0.59479237,unhelpful,helpful,-0.71312845,-0.11833608,"('unhelpful', 'helpful')"
12,-0.012213357,unsupportive,supportive,0.88165087,0.8938642,"('unsupportive', 'supportive')"
13,-0.6895551,impolite,polite,-0.63010216,0.05945295,"('impolite', 'polite')"
14,-1.1078328,antisocial,social,-0.48312348,0.6247093,"('antisocial', 'social')"
15,0.3150097,boring,funny,0.34647638,0.031466663,"('boring', 'funny')"
16,0.68748456,unpopular,popular,0.38032004,-0.30716452,"('unpopular', 'popular')"
17,0.20709231,nasty,nice,0.48099807,0.27390575,"('nasty', 'nice')"
18,0.48942012,disagreeable,welcoming,1.3923767,0.90295655,"('disagreeable', 'welcoming')"
19,0.4316549,inhospitable,hospitable,0.11270133,-0.31895357,"('inhospitable', 'hospitable')"
20,-0.1869079,rough,thoughtful,-0.19345921,-0.0065513104,"('rough', 'thoughtful')"
21,-0.1101611,immoral,moral,-0.31562433,-0.20546323,"('immoral', 'moral')"
22,-0.12609373,untrustworthy,trustworthy,0.06231996,0.1884137,"('untrustworthy', 'trustworthy')"
23,0.46426198,insincere,sincere,0.61528504,0.15102306,"('insincere', 'sincere')"
24,1.52813,dishonest,honest,1.7638792,0.23574913,"('dishonest', 'honest')"
25,0.9862927,egoistic,altruistic,1.2125726,0.22627985,"('egoistic', 'altruistic')"
26,0.26392192,hardhearted,benevolent,0.9815152,0.7175933,"('hardhearted', 'benevolent')"
27,0.72619796,hardhearted,softhearted,1.2971456,0.57094765,"('hardhearted', 'softhearted')"
28,0.36466208,disloyal,loyal,0.06997989,-0.2946822,"('disloyal', 'loyal')"
29,-1.1828512,unfair,fair,-0.620612,0.56223917,"('unfair', 'fair')"
30,0.05780586,intolerant,tolerant,0.097109474,0.039303616,"('intolerant', 'tolerant')"
31,0.5711583,evil,good,0.45701072,-0.11414757,"('evil', 'good')"
32,1.3323567,unkind,kind,1.5631757,0.23081899,"('unkind', 'kind')"
33,0.097355336,wrong,right,0.8115872,0.71423185,"('wrong', 'right')"
34,0.4994667,mean,honorable,0.23592906,-0.26353765,"('mean', 'honorable')"
35,0.37985379,corrupt,incorrupt,0.2754384,-0.10441539,"('corrupt', 'incorrupt')"
36,1.189974,hostile,amicable,1.3546665,0.16469252,"('hostile', 'amicable')"
