,Value_Male,0,1,Value_Female,female-male,tuple
0,0.9906033,unsociable,sociable,0.051413357,-0.93919,"('unsociable', 'sociable')"
1,1.3217537,unfriendly,friendly,1.7845378,0.46278405,"('unfriendly', 'friendly')"
2,0.8779205,unlikable,likable,0.30038765,-0.5775329,"('unlikable', 'likable')"
3,0.628565,repellent,pleasant,1.0617851,0.4332201,"('repellent', 'pleasant')"
4,0.1037551,disliked,liked,0.46070594,0.35695082,"('disliked', 'liked')"
5,0.17599103,distant,outgoing,0.5269754,0.35098436,"('distant', 'outgoing')"
6,0.13752395,distant,open,0.6001202,0.46259624,"('distant', 'open')"
7,1.7330705,insensitive,sensitive,1.9002851,0.16721463,"('insensitive', 'sensitive')"
8,0.1963827,unaffectionate,affectionate,0.8407308,0.6443481,"('unaffectionate', 'affectionate')"
9,0.14418435,unaffectionate,caring,0.9998935,0.85570914,"('unaffectionate', 'caring')"
10,1.8804692,unsympathetic,sympathetic,0.91042733,-0.9700419,"('unsympathetic', 'sympathetic')"
11,-0.12499178,unhelpful,helpful,-0.40259564,-0.27760386,"('unhelpful', 'helpful')"
12,0.43607357,unsupportive,supportive,1.1871424,0.75106883,"('unsupportive', 'supportive')"
13,0.23947889,impolite,polite,-0.045859683,-0.28533858,"('impolite', 'polite')"
14,-0.13638934,antisocial,social,0.23324838,0.36963773,"('antisocial', 'social')"
15,0.2021176,boring,funny,0.23646444,0.034346834,"('boring', 'funny')"
16,-0.44038817,unpopular,popular,-0.062043462,0.3783447,"('unpopular', 'popular')"
17,0.12406283,nasty,nice,0.40955326,0.28549042,"('nasty', 'nice')"
18,-0.2708462,disagreeable,welcoming,0.8716074,1.1424537,"('disagreeable', 'welcoming')"
19,-0.099399775,inhospitable,hospitable,-0.40534192,-0.30594215,"('inhospitable', 'hospitable')"
20,-0.2700058,rough,thoughtful,0.0011650771,0.27117085,"('rough', 'thoughtful')"
21,0.655348,immoral,moral,0.04716313,-0.6081849,"('immoral', 'moral')"
22,0.9197822,untrustworthy,trustworthy,0.7597637,-0.1600185,"('untrustworthy', 'trustworthy')"
23,0.8178822,insincere,sincere,0.8987945,0.08091229,"('insincere', 'sincere')"
24,1.7095026,dishonest,honest,1.4700394,-0.23946321,"('dishonest', 'honest')"
25,0.22546387,egoistic,altruistic,0.5935944,0.3681305,"('egoistic', 'altruistic')"
26,0.45457736,hardhearted,benevolent,0.75081325,0.2962359,"('hardhearted', 'benevolent')"
27,0.6502039,hardhearted,softhearted,1.5029492,0.85274535,"('hardhearted', 'softhearted')"
28,0.39080483,disloyal,loyal,0.07034397,-0.32046086,"('disloyal', 'loyal')"
29,-1.0246973,unfair,fair,-0.28734788,0.7373494,"('unfair', 'fair')"
30,0.9208919,intolerant,tolerant,0.5810607,-0.33983117,"('intolerant', 'tolerant')"
31,-0.55137205,evil,good,-0.2893541,0.26201797,"('evil', 'good')"
32,1.5375404,unkind,kind,1.4879999,-0.04954052,"('unkind', 'kind')"
33,-0.6561113,wrong,right,0.30376208,0.9598734,"('wrong', 'right')"
34,0.3165999,mean,honorable,0.039512195,-0.27708772,"('mean', 'honorable')"
35,-1.713469,corrupt,incorrupt,-1.352204,0.36126506,"('corrupt', 'incorrupt')"
36,0.47856167,hostile,amicable,0.92579204,0.44723037,"('hostile', 'amicable')"
37,0.5689236,fake,genuine,0.40493467,-0.16398892,"('fake', 'genuine')"
38,-0.530202,untruthful,truthful,-0.5247562,0.0054457784,"('untruthful', 'truthful')"
39,-0.6827851,exploitative,cooperative,0.029250812,0.7120359,"('exploitative', 'cooperative')"
40,1.1786065,stingy,generous,0.89096695,-0.28763956,"('stingy', 'generous')"
41,1.3870679,unforgiving,forgiving,0.57718456,-0.80988336,"('unforgiving', 'forgiving')"
42,0.5769988,unreliable,reliable,0.777276,0.20027721,"('unreliable', 'reliable')"
43,1.15483,irresponsible,responsible,1.0946295,-0.060200453,"('irresponsible', 'responsible')"
44,-0.9932738,prejudiced,unprejudiced,-1.4369069,-0.44363314,"('prejudiced', 'unprejudiced')"
45,1.384266,incompetent,competent,1.0518285,-0.33243752,"('incompetent', 'competent')"
46,0.44061697,uncompetitive,competitive,0.26579282,-0.17482415,"('uncompetitive', 'competitive')"
47,1.1795404,stupid,smart,0.906429,-0.2731114,"('stupid', 'smart')"
48,1.1061356,unintelligent,intelligent,0.7174788,-0.3886568,"('unintelligent', 'intelligent')"
49,-0.5677088,unable,able,0.55729616,1.125005,"('unable', 'able')"
50,-0.34687907,clumsy,skillful,0.09699754,0.4438766,"('clumsy', 'skillful')"
51,0.080785535,uneducated,educated,-0.03189827,-0.1126838,"('uneducated', 'educated')"
52,-0.6445378,irrational,rational,-0.33798012,0.3065577,"('irrational', 'rational')"
53,0.46921858,uncreative,creative,1.1572248,0.68800616,"('uncreative', 'creative')"
54,0.7364911,incapable,capable,0.29352927,-0.4429618,"('incapable', 'capable')"
55,0.22357483,incompetent,clever,0.200995,-0.022579834,"('incompetent', 'clever')"
56,0.85133636,impractical,practical,0.86723703,0.015900671,"('impractical', 'practical')"
57,1.2477636,unimaginative,imaginative,0.65791416,-0.5898495,"('unimaginative', 'imaginative')"
58,1.0929334,undiscriminating,discriminating,0.7506815,-0.3422519,"('undiscriminating', 'discriminating')"
59,-0.5575439,foolish,wise,-0.061002664,0.4965412,"('foolish', 'wise')"
60,0.1455403,inefficient,efficient,0.33590898,0.19036868,"('inefficient', 'efficient')"
61,0.19071452,illogical,logical,0.45191664,0.2612021,"('illogical', 'logical')"
62,0.5121307,incompetent,brilliant,0.616324,0.10419333,"('incompetent', 'brilliant')"
63,1.2202387,unperceptive,insightful,1.0901794,-0.13005924,"('unperceptive', 'insightful')"
64,-0.51998216,shy,confident,-1.1943836,-0.67440146,"('shy', 'confident')"
65,0.6698046,insecure,secure,-0.30098817,-0.9707928,"('insecure', 'secure')"
66,-0.54656184,inactive,active,-0.39870992,0.14785191,"('inactive', 'active')"
67,-0.99575806,doubtful,determined,-0.78471315,0.21104491,"('doubtful', 'determined')"
68,-0.55607605,dependent,independent,-0.09644224,0.45963383,"('dependent', 'independent')"
69,-1.6634102,lazy,industrious,-0.60360074,1.0598094,"('lazy', 'industrious')"
70,1.6963811,lethargic,energetic,1.5964035,-0.09997761,"('lethargic', 'energetic')"
71,-0.2695932,diffident,self-confident,0.19780263,0.46739584,"('diffident', 'self-confident')"
72,1.0057051,unambitious,ambitious,0.41493016,-0.59077495,"('unambitious', 'ambitious')"
73,0.03874547,helpless,self-reliant,0.25066566,0.2119202,"('helpless', 'self-reliant')"
