,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.7754298,-0.0281719,-0.8036017
1,"('unfriendly', 'friendly')",2.0692429,2.3457457,0.27650280000000027
2,"('unlikable', 'likable')",1.2309253,0.4031172,-0.8278080999999999
3,"('repellent', 'pleasant')",0.5052561,0.8718249,0.36656880000000003
4,"('disliked', 'liked')",0.3213985,0.5649101,0.2435116
5,"('distant', 'outgoing')",0.8242389,0.9273657,0.10312679999999996
6,"('distant', 'open')",0.7624944,0.9685706,0.20607619999999993
7,"('insensitive', 'sensitive')",1.6513862,1.7779379,0.12655170000000004
8,"('unaffectionate', 'affectionate')",1.0103404,1.5011415,0.4908010999999999
9,"('unaffectionate', 'caring')",1.0003034,1.6765615,0.6762581000000001
10,"('unsympathetic', 'sympathetic')",1.5952592,1.1158603,-0.47939890000000007
11,"('unhelpful', 'helpful')",0.0946554,-0.1461949,-0.2408503
12,"('unsupportive', 'supportive')",0.5508249,1.1387852,0.5879603000000001
13,"('impolite', 'polite')",0.4413837,0.2144063,-0.2269774
14,"('antisocial', 'social')",-0.7403596,-0.3605952,0.3797644
15,"('boring', 'funny')",0.6745753,0.5369881,-0.13758720000000002
16,"('unpopular', 'popular')",0.4485699,0.3211064,-0.1274635
17,"('nasty', 'nice')",0.0638892,0.3615417,0.29765250000000004
18,"('disagreeable', 'welcoming')",0.361606,1.1186096,0.7570036000000001
19,"('inhospitable', 'hospitable')",0.6044543,0.2869698,-0.3174845
20,"('rough', 'thoughtful')",-0.1519438,-0.0849744,0.06696939999999998
21,"('immoral', 'moral')",0.971271,0.3271519,-0.6441190999999999
22,"('untrustworthy', 'trustworthy')",0.4740942,0.5339766,0.0598824
23,"('insincere', 'sincere')",1.1675137,1.166689,-0.0008246999999999005
24,"('dishonest', 'honest')",1.9086368,1.8205893,-0.08804750000000006
25,"('egoistic', 'altruistic')",0.6512296,0.8276809,0.1764513000000001
26,"('hardhearted', 'benevolent')",0.2420026,0.6781409,0.43613830000000003
27,"('hardhearted', 'softhearted')",1.1588982,1.9055264,0.7466282
28,"('disloyal', 'loyal')",0.7406926,0.3668494,-0.37384320000000004
29,"('unfair', 'fair')",-0.982491,-0.4146678,0.5678232000000001
30,"('intolerant', 'tolerant')",0.6877355,0.6038102,-0.08392530000000009
31,"('evil', 'good')",-0.3938116,-0.4223124,-0.028500799999999993
32,"('unkind', 'kind')",2.06375,1.9428527,-0.12089730000000021
33,"('wrong', 'right')",-0.1679451,0.4544964,0.6224415000000001
34,"('mean', 'honorable')",0.5029946,0.2376686,-0.26532599999999995
35,"('corrupt', 'incorrupt')",-1.1278177,-0.9179565,0.20986120000000008
36,"('hostile', 'amicable')",0.578581,0.9744588,0.39587779999999995
37,"('fake', 'genuine')",0.9505072,0.7787161,-0.17179109999999997
38,"('untruthful', 'truthful')",0.0674996,0.122806,0.05530639999999999
39,"('exploitative', 'cooperative')",-0.1535512,0.2839671,0.43751829999999997
40,"('stingy', 'generous')",0.9964101,0.6096013,-0.38680879999999995
41,"('unforgiving', 'forgiving')",1.0226033,0.5063987,-0.5162046000000001
42,"('unreliable', 'reliable')",0.4134933,0.7853671,0.3718738
43,"('irresponsible', 'responsible')",0.9351918,0.9438301,0.008638299999999988
44,"('prejudiced', 'unprejudiced')",-0.9531599,-1.3148352,-0.36167530000000014
45,"('incompetent', 'competent')",1.0132123,1.0059181,-0.0072942000000000284
46,"('uncompetitive', 'competitive')",0.347953,0.2547115,-0.09324150000000003
47,"('stupid', 'smart')",0.9154765,0.5130256,-0.40245090000000006
48,"('unintelligent', 'intelligent')",1.1201606,0.6346847,-0.48547589999999996
49,"('unable', 'able')",0.3324077,1.0243303,0.6919225999999999
50,"('clumsy', 'skillful')",0.4381894,0.5273296,0.08914019999999995
51,"('uneducated', 'educated')",0.4335,0.239457,-0.194043
52,"('irrational', 'rational')",0.0157607,0.0283087,0.012548
53,"('uncreative', 'creative')",0.8069175,1.2137686,0.40685110000000013
54,"('incapable', 'capable')",1.8093414,1.085603,-0.7237384
55,"('incompetent', 'clever')",0.3090757,0.3269624,0.017886699999999978
56,"('impractical', 'practical')",0.4917323,0.6932257,0.20149339999999993
57,"('unimaginative', 'imaginative')",0.8525388,0.5590921,-0.29344670000000006
58,"('undiscriminating', 'discriminating')",0.8033678,0.5611933,-0.24217449999999996
59,"('foolish', 'wise')",0.125437,0.1686136,0.04317660000000001
60,"('inefficient', 'efficient')",-0.0874222,0.2156212,0.3030434
61,"('illogical', 'logical')",-0.0013995,0.3055948,0.3069943
62,"('incompetent', 'brilliant')",0.8767587,0.819082,-0.057676700000000025
63,"('unperceptive', 'insightful')",0.9615872,0.8412333,-0.12035390000000001
64,"('shy', 'confident')",-1.0804577,-1.648679,-0.5682213
65,"('insecure', 'secure')",-0.0077795,-0.7895047,-0.7817251999999999
66,"('inactive', 'active')",-0.3637498,-0.3126612,0.05108860000000004
