,Value_Male,0,1,Value_Female,female-male,tuple
0,0.5923313,unsociable,sociable,-0.25912791,-0.8514592,"('unsociable', 'sociable')"
1,1.2131723,unfriendly,friendly,1.4093128,0.19614053,"('unfriendly', 'friendly')"
2,1.0144389,unlikable,likable,0.076170355,-0.93826854,"('unlikable', 'likable')"
3,0.44625488,repellent,pleasant,0.62005067,0.17379579,"('repellent', 'pleasant')"
4,-0.35615134,disliked,liked,-0.046162177,0.30998915,"('disliked', 'liked')"
5,-0.12005589,distant,outgoing,0.250283,0.3703389,"('distant', 'outgoing')"
6,-0.059264407,distant,open,0.27268985,0.33195424,"('distant', 'open')"
7,1.4283562,insensitive,sensitive,1.5790712,0.150715,"('insensitive', 'sensitive')"
8,0.6389469,unaffectionate,affectionate,1.226935,0.58798814,"('unaffectionate', 'affectionate')"
9,0.4507918,unaffectionate,caring,1.291171,0.8403791,"('unaffectionate', 'caring')"
10,1.4087464,unsympathetic,sympathetic,0.9056946,-0.50305176,"('unsympathetic', 'sympathetic')"
11,0.09240209,unhelpful,helpful,0.003797439,-0.08860465,"('unhelpful', 'helpful')"
12,0.65457356,unsupportive,supportive,1.2970147,0.64244115,"('unsupportive', 'supportive')"
13,0.21386369,impolite,polite,0.13237822,-0.081485465,"('impolite', 'polite')"
14,-0.4828564,antisocial,social,0.10340484,0.5862612,"('antisocial', 'social')"
15,0.2696907,boring,funny,0.17013572,-0.09955497,"('boring', 'funny')"
16,0.12337133,unpopular,popular,-0.11848049,-0.24185182,"('unpopular', 'popular')"
17,0.18826374,nasty,nice,0.49471492,0.30645117,"('nasty', 'nice')"
18,0.34179875,disagreeable,welcoming,1.0571003,0.7153015,"('disagreeable', 'welcoming')"
19,0.23985092,inhospitable,hospitable,-0.17622565,-0.41607657,"('inhospitable', 'hospitable')"
20,-0.63269037,rough,thoughtful,-0.58757,0.04512036,"('rough', 'thoughtful')"
21,0.9001941,immoral,moral,0.2547476,-0.64544654,"('immoral', 'moral')"
22,0.482778,untrustworthy,trustworthy,0.29931408,-0.18346393,"('untrustworthy', 'trustworthy')"
23,1.1586788,insincere,sincere,1.2572244,0.09854567,"('insincere', 'sincere')"
24,1.4360714,dishonest,honest,1.2042658,-0.23180556,"('dishonest', 'honest')"
25,0.5213674,egoistic,altruistic,0.6506345,0.12926716,"('egoistic', 'altruistic')"
26,0.26607555,hardhearted,benevolent,0.7263078,0.46023226,"('hardhearted', 'benevolent')"
27,0.23781857,hardhearted,softhearted,0.85807467,0.62025607,"('hardhearted', 'softhearted')"
28,0.17036657,disloyal,loyal,-0.09837808,-0.26874465,"('disloyal', 'loyal')"
29,-1.5008211,unfair,fair,-0.9828216,0.51799953,"('unfair', 'fair')"
