,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.2193796,-0.3087897,-0.5281693000000001
1,"('unfriendly', 'friendly')",1.5470097,1.9664112,0.4194015
2,"('unlikable', 'likable')",0.9006705,0.1348247,-0.7658458
3,"('repellent', 'pleasant')",0.0312054,0.251165,0.21995960000000003
4,"('disliked', 'liked')",-0.2571177,0.0844184,0.3415361
5,"('distant', 'outgoing')",0.3287653,0.6994726,0.3707073
6,"('distant', 'open')",0.4203654,0.7833711,0.3630057
7,"('insensitive', 'sensitive')",0.9505847,1.2936305,0.34304579999999996
8,"('unaffectionate', 'affectionate')",0.9399791,1.4849082,0.5449291
9,"('unaffectionate', 'caring')",0.8617375,1.6539991,0.7922616
10,"('unsympathetic', 'sympathetic')",0.9620354,0.7421446,-0.21989079999999994
11,"('unhelpful', 'helpful')",0.1686686,-0.0812859,-0.2499545
12,"('unsupportive', 'supportive')",0.329654,1.1291883,0.7995343
13,"('impolite', 'polite')",0.2023082,0.1648777,-0.037430500000000005
14,"('antisocial', 'social')",-0.8137704,-0.2684098,0.5453606
15,"('boring', 'funny')",0.3938156,0.3059516,-0.087864
16,"('unpopular', 'popular')",0.5398708,0.3794086,-0.1604622
17,"('nasty', 'nice')",-0.0826854,0.2287509,0.3114363
18,"('disagreeable', 'welcoming')",0.3916967,1.2974537,0.9057569999999999
19,"('inhospitable', 'hospitable')",0.3933361,0.028063,-0.3652731
20,"('rough', 'thoughtful')",-0.5876281,-0.5721556,0.0154725
21,"('immoral', 'moral')",0.5071002,0.1067792,-0.400321
22,"('untrustworthy', 'trustworthy')",0.0653967,0.1928503,0.1274536
23,"('insincere', 'sincere')",0.9372146,1.003876,0.06666139999999998
24,"('dishonest', 'honest')",1.6177639,1.6653621,0.047598200000000146
25,"('egoistic', 'altruistic')",0.7595998,0.9081724,0.14857259999999994
26,"('hardhearted', 'benevolent')",0.2743776,0.7734623,0.49908470000000005
27,"('hardhearted', 'softhearted')",0.5003984,1.1716095,0.6712111
28,"('disloyal', 'loyal')",0.47323,0.1542098,-0.3190202
29,"('unfair', 'fair')",-1.4736864,-0.8260881,0.6475983000000001
30,"('intolerant', 'tolerant')",0.6392208,0.5913545,-0.04786630000000003
31,"('evil', 'good')",-0.2318901,-0.1780448,0.053845299999999985
32,"('unkind', 'kind')",1.7385651,1.7882797,0.04971459999999994
33,"('wrong', 'right')",-0.0156628,0.7011246,0.7167874
34,"('mean', 'honorable')",0.4198672,0.2039757,-0.2158915
35,"('corrupt', 'incorrupt')",-0.7715383,-0.843862,-0.07232369999999999
36,"('hostile', 'amicable')",0.2658758,0.5175847,0.2517089
37,"('fake', 'genuine')",0.7218435,0.6305032,-0.09134029999999993
38,"('untruthful', 'truthful')",0.4532688,0.5684359,0.11516709999999997
39,"('exploitative', 'cooperative')",0.3880434,0.711197,0.3231536
40,"('stingy', 'generous')",0.332939,-0.0294147,-0.3623537
41,"('unforgiving', 'forgiving')",0.5561905,0.2440981,-0.31209240000000005
42,"('unreliable', 'reliable')",0.2685653,0.7010816,0.43251629999999996
43,"('irresponsible', 'responsible')",0.9049648,1.152442,0.24747719999999995
44,"('prejudiced', 'unprejudiced')",-0.9973136,-1.2561312,-0.2588176
45,"('incompetent', 'competent')",0.2574277,0.3995682,0.1421405
46,"('uncompetitive', 'competitive')",-0.2820281,-0.1990486,0.08297950000000001
47,"('stupid', 'smart')",0.5556178,0.1524073,-0.4032105
48,"('unintelligent', 'intelligent')",0.6511515,0.3774632,-0.2736883
49,"('unable', 'able')",-0.5141013,0.3130424,0.8271436999999999
50,"('clumsy', 'skillful')",0.4237599,0.4858482,0.062088299999999985
51,"('uneducated', 'educated')",0.356219,0.0787314,-0.2774876
52,"('irrational', 'rational')",0.6301155,0.6019652,-0.028150300000000072
53,"('uncreative', 'creative')",1.0104655,1.2829657,0.2725002000000001
54,"('incapable', 'capable')",1.6455003,0.9659508,-0.6795494999999999
55,"('incompetent', 'clever')",-0.0248115,0.1749183,0.1997298
56,"('impractical', 'practical')",0.6393625,1.0783897,0.43902720000000006
57,"('unimaginative', 'imaginative')",0.3622132,0.0344657,-0.3277475
58,"('undiscriminating', 'discriminating')",0.4713807,0.1453799,-0.3260008
59,"('foolish', 'wise')",0.3522838,0.2806048,-0.07167899999999999
60,"('inefficient', 'efficient')",-0.1802186,0.4334245,0.6136431
61,"('illogical', 'logical')",-0.3884162,-0.0036573,0.3847589
62,"('incompetent', 'brilliant')",0.1512913,0.2079602,0.05666890000000002
63,"('unperceptive', 'insightful')",0.8306783,0.7150778,-0.1156005
64,"('shy', 'confident')",-0.671951,-1.2127456,-0.5407946000000001
65,"('insecure', 'secure')",-0.0519645,-0.7964047,-0.7444402
66,"('inactive', 'active')",-0.2427744,-0.29751,-0.054735599999999995
67,"('doubtful', 'determined')",-0.8304056,-0.4732872,0.35711839999999995
68,"('dependent', 'independent')",-0.2169056,-0.0472202,0.16968540000000001
69,"('lazy', 'industrious')",-1.0541501,-0.3543638,0.6997863
70,"('lethargic', 'energetic')",0.7719335,0.9222258,0.15029229999999993
71,"('diffident', 'self-confident')",-0.0620032,0.3109748,0.372978
72,"('unambitious', 'ambitious')",0.7036841,0.2414268,-0.46225730000000004
73,"('helpless', 'self-reliant')",0.6488379,0.5175129,-0.13132499999999991
74,"('undedicated', 'dedicated')",0.3372242,1.6094268,1.2722026
75,"('meek', 'impulsive')",0.244874,-0.579147,-0.824021
76,"('anxious', 'daring')",0.6178714,0.4588372,-0.15903419999999996
77,"('unmotivated', 'motivated')",-0.1670837,-0.6117501,-0.44466639999999996
78,"('nonresilient', 'resilient')",-1.0409329,-0.3135336,0.7273993000000001
79,"('wavering', 'unwavering')",0.5723224,0.562712,-0.009610400000000019
80,"('dominated', 'dominating')",-0.4998634,-1.0323895,-0.5325261000000001
81,"('submissive', 'aggressive')",0.8529008,-0.7671808,-1.6200816
82,"('poor', 'rich')",1.2867378,0.6170402,-0.6696976
83,"('powerless', 'powerful')",-0.6173,-0.5354034,0.08189659999999999
84,"('inferior', 'superior')",-0.1231889,-0.4578142,-0.3346253
85,"('insignificant', 'prestigious')",1.4769008,1.4347441,-0.042156699999999825
86,"('uninfluential', 'influential')",0.4914385,0.8500796,0.35864110000000005
87,"('unsuccessful', 'successful')",0.1409839,-0.2906179,-0.4316018
88,"('low', 'eminent')",1.0999818,0.9482099,-0.15177189999999985
