,Value_Male,0,1,Value_Female,female-male,tuple
0,0.07948425,unsociable,sociable,-0.30990544,-0.3893897,"('unsociable', 'sociable')"
1,1.851044,unfriendly,friendly,2.183097,0.33205283,"('unfriendly', 'friendly')"
2,0.99543554,unlikable,likable,0.20013657,-0.79529893,"('unlikable', 'likable')"
3,0.27354056,repellent,pleasant,0.42772287,0.15418231,"('repellent', 'pleasant')"
4,-0.3057512,disliked,liked,0.15439394,0.46014515,"('disliked', 'liked')"
5,0.3625314,distant,outgoing,0.8262715,0.46374008,"('distant', 'outgoing')"
6,0.37697405,distant,open,0.9412366,0.56426257,"('distant', 'open')"
7,1.1412045,insensitive,sensitive,1.3044696,0.16326511,"('insensitive', 'sensitive')"
8,1.0025126,unaffectionate,affectionate,1.5775902,0.57507765,"('unaffectionate', 'affectionate')"
9,0.95618236,unaffectionate,caring,1.7173688,0.7611865,"('unaffectionate', 'caring')"
10,0.81789374,unsympathetic,sympathetic,0.53207904,-0.2858147,"('unsympathetic', 'sympathetic')"
11,0.37954563,unhelpful,helpful,0.24650107,-0.13304456,"('unhelpful', 'helpful')"
12,0.020642377,unsupportive,supportive,0.88591546,0.86527306,"('unsupportive', 'supportive')"
13,0.11542248,impolite,polite,-0.1012656,-0.21668808,"('impolite', 'polite')"
14,-0.9615919,antisocial,social,-0.25751054,0.70408136,"('antisocial', 'social')"
15,0.9785512,boring,funny,0.80106944,-0.17748177,"('boring', 'funny')"
16,0.8860513,unpopular,popular,0.5815283,-0.304523,"('unpopular', 'popular')"
17,0.27728635,nasty,nice,0.64428294,0.3669966,"('nasty', 'nice')"
18,0.6450338,disagreeable,welcoming,1.506483,0.8614492,"('disagreeable', 'welcoming')"
19,0.9097868,inhospitable,hospitable,0.26116893,-0.64861786,"('inhospitable', 'hospitable')"
20,-0.40154478,rough,thoughtful,-0.3964088,0.005135983,"('rough', 'thoughtful')"
21,0.26098678,immoral,moral,-0.20919959,-0.47018635,"('immoral', 'moral')"
22,-0.29454207,untrustworthy,trustworthy,-0.093847595,0.20069447,"('untrustworthy', 'trustworthy')"
23,1.2032744,insincere,sincere,1.2126348,0.009360433,"('insincere', 'sincere')"
24,1.311823,dishonest,honest,1.3441898,0.032366753,"('dishonest', 'honest')"
25,0.95487106,egoistic,altruistic,1.1237354,0.16886437,"('egoistic', 'altruistic')"
26,-0.09510513,hardhearted,benevolent,0.7725138,0.8676189,"('hardhearted', 'benevolent')"
27,0.38619122,hardhearted,softhearted,1.1845362,0.79834497,"('hardhearted', 'softhearted')"
28,0.45342267,disloyal,loyal,0.33566934,-0.11775333,"('disloyal', 'loyal')"
29,-1.5368532,unfair,fair,-0.99539185,0.54146135,"('unfair', 'fair')"
30,0.6735701,intolerant,tolerant,0.8421453,0.16857523,"('intolerant', 'tolerant')"
31,-0.32813874,evil,good,-0.2691232,0.059015542,"('evil', 'good')"
32,1.7739182,unkind,kind,1.6917448,-0.08217335,"('unkind', 'kind')"
33,-0.37423155,wrong,right,0.43173084,0.8059624,"('wrong', 'right')"
34,0.74922156,mean,honorable,0.3928734,-0.35634816,"('mean', 'honorable')"
35,-0.2745421,corrupt,incorrupt,-0.41973382,-0.14519173,"('corrupt', 'incorrupt')"
36,0.6302271,hostile,amicable,0.8274785,0.19725144,"('hostile', 'amicable')"
37,0.74489754,fake,genuine,0.5105473,-0.23435026,"('fake', 'genuine')"
38,0.47125712,untruthful,truthful,0.53140897,0.060151845,"('untruthful', 'truthful')"
39,0.0078358445,exploitative,cooperative,0.38697782,0.379142,"('exploitative', 'cooperative')"
40,-0.19537455,stingy,generous,-0.23578101,-0.040406466,"('stingy', 'generous')"
41,0.5057347,unforgiving,forgiving,0.25642082,-0.24931386,"('unforgiving', 'forgiving')"
42,0.29853705,unreliable,reliable,0.7433077,0.44477066,"('unreliable', 'reliable')"
43,0.7295904,irresponsible,responsible,0.9874827,0.2578923,"('irresponsible', 'responsible')"
44,-0.87522364,prejudiced,unprejudiced,-1.3317276,-0.456504,"('prejudiced', 'unprejudiced')"
45,0.19543241,incompetent,competent,0.2825701,0.087137684,"('incompetent', 'competent')"
46,-0.63744754,uncompetitive,competitive,-0.51567924,0.121768296,"('uncompetitive', 'competitive')"
47,0.71555394,stupid,smart,0.3547564,-0.36079752,"('stupid', 'smart')"
48,0.27596384,unintelligent,intelligent,0.006255243,-0.2697086,"('unintelligent', 'intelligent')"
