,Value_Male,0,1,Value_Female,female-male,tuple
0,1.478359,unsociable,sociable,0.49490264,-0.9834564,"('unsociable', 'sociable')"
1,0.71864676,unfriendly,friendly,1.4841284,0.7654816,"('unfriendly', 'friendly')"
2,0.93826544,unlikable,likable,0.48821133,-0.4500541,"('unlikable', 'likable')"
3,0.55557364,repellent,pleasant,1.0066967,0.45112306,"('repellent', 'pleasant')"
4,-0.44081762,disliked,liked,0.17293936,0.613757,"('disliked', 'liked')"
5,0.07651378,distant,outgoing,0.2890843,0.2125705,"('distant', 'outgoing')"
6,0.16076928,distant,open,0.45135945,0.29059017,"('distant', 'open')"
7,1.7712367,insensitive,sensitive,1.9964421,0.22520542,"('insensitive', 'sensitive')"
8,0.023964697,unaffectionate,affectionate,0.8707168,0.8467521,"('unaffectionate', 'affectionate')"
9,-0.08024545,unaffectionate,caring,0.9224655,1.0027109,"('unaffectionate', 'caring')"
10,2.4285052,unsympathetic,sympathetic,1.2604388,-1.1680664,"('unsympathetic', 'sympathetic')"
11,-0.008610736,unhelpful,helpful,-0.24450047,-0.23588973,"('unhelpful', 'helpful')"
12,0.4194873,unsupportive,supportive,1.2340226,0.8145353,"('unsupportive', 'supportive')"
13,0.3390164,impolite,polite,-0.07466983,-0.41368625,"('impolite', 'polite')"
14,0.04052185,antisocial,social,0.25370914,0.21318729,"('antisocial', 'social')"
15,0.3214515,boring,funny,0.15137136,-0.17008013,"('boring', 'funny')"
16,-0.52203095,unpopular,popular,0.055567876,0.5775988,"('unpopular', 'popular')"
17,0.29334894,nasty,nice,0.4966327,0.20328376,"('nasty', 'nice')"
18,-0.27101144,disagreeable,welcoming,0.8183665,1.089378,"('disagreeable', 'welcoming')"
19,-0.10816842,inhospitable,hospitable,-0.33257496,-0.22440654,"('inhospitable', 'hospitable')"
20,-0.054401428,rough,thoughtful,0.18989983,0.24430126,"('rough', 'thoughtful')"
21,0.981227,immoral,moral,0.32948938,-0.6517376,"('immoral', 'moral')"
22,0.67709684,untrustworthy,trustworthy,0.5416527,-0.13544416,"('untrustworthy', 'trustworthy')"
23,0.8546549,insincere,sincere,1.0255964,0.17094147,"('insincere', 'sincere')"
24,1.7548873,dishonest,honest,1.3710579,-0.38382947,"('dishonest', 'honest')"
25,-0.088337615,egoistic,altruistic,0.5894732,0.6778108,"('egoistic', 'altruistic')"
26,0.46751234,hardhearted,benevolent,0.53363985,0.06612751,"('hardhearted', 'benevolent')"
27,0.95266706,hardhearted,softhearted,1.722834,0.77016693,"('hardhearted', 'softhearted')"
28,0.6276034,disloyal,loyal,0.23019317,-0.39741024,"('disloyal', 'loyal')"
29,-0.7834209,unfair,fair,-0.08344546,0.6999755,"('unfair', 'fair')"
30,1.3675966,intolerant,tolerant,0.96549505,-0.40210158,"('intolerant', 'tolerant')"
31,-0.76097655,evil,good,-0.58602,0.17495656,"('evil', 'good')"
32,1.4159226,unkind,kind,1.3221356,-0.093787074,"('unkind', 'kind')"
33,-0.8909979,wrong,right,0.23161761,1.1226155,"('wrong', 'right')"
34,0.3389848,mean,honorable,0.048655637,-0.29032916,"('mean', 'honorable')"
35,-1.5300066,corrupt,incorrupt,-1.3736326,0.1563741,"('corrupt', 'incorrupt')"
36,0.27129474,hostile,amicable,0.82325757,0.55196285,"('hostile', 'amicable')"
37,0.62836516,fake,genuine,0.54493624,-0.08342892,"('fake', 'genuine')"
38,-0.60894585,untruthful,truthful,-0.614489,-0.0055431724,"('untruthful', 'truthful')"
39,-0.9291549,exploitative,cooperative,-0.11120737,0.8179475,"('exploitative', 'cooperative')"
40,1.3066195,stingy,generous,1.0220901,-0.28452945,"('stingy', 'generous')"
41,1.60137,unforgiving,forgiving,0.6869451,-0.9144249,"('unforgiving', 'forgiving')"
42,0.68946517,unreliable,reliable,0.99987835,0.31041318,"('unreliable', 'reliable')"
43,1.100792,irresponsible,responsible,1.1814522,0.080660105,"('irresponsible', 'responsible')"
44,-0.75269526,prejudiced,unprejudiced,-1.3048329,-0.5521377,"('prejudiced', 'unprejudiced')"
45,1.5617431,incompetent,competent,1.0087597,-0.5529834,"('incompetent', 'competent')"
46,0.45472378,uncompetitive,competitive,0.3070281,-0.14769566,"('uncompetitive', 'competitive')"
