,Value_Male,0,1,Value_Female,female-male,tuple
0,0.7783412,unsociable,sociable,-0.32381177,-1.102153,"('unsociable', 'sociable')"
1,2.0068164,unfriendly,friendly,2.547985,0.5411687,"('unfriendly', 'friendly')"
2,1.5383984,unlikable,likable,0.505608,-1.0327904,"('unlikable', 'likable')"
3,0.5917536,repellent,pleasant,0.8321366,0.24038297,"('repellent', 'pleasant')"
4,-0.15498005,disliked,liked,0.37658912,0.5315692,"('disliked', 'liked')"
5,1.0327333,distant,outgoing,1.3846269,0.35189354,"('distant', 'outgoing')"
6,0.7976647,distant,open,1.2800632,0.48239845,"('distant', 'open')"
7,1.4342158,insensitive,sensitive,1.4727415,0.0385257,"('insensitive', 'sensitive')"
8,0.8724229,unaffectionate,affectionate,1.6161442,0.7437213,"('unaffectionate', 'affectionate')"
9,0.8872183,unaffectionate,caring,1.6962762,0.8090579,"('unaffectionate', 'caring')"
10,1.6708341,unsympathetic,sympathetic,0.9860921,-0.684742,"('unsympathetic', 'sympathetic')"
11,0.57272935,unhelpful,helpful,0.09658932,-0.47614002,"('unhelpful', 'helpful')"
12,0.340362,unsupportive,supportive,0.9311098,0.5907478,"('unsupportive', 'supportive')"
13,1.1220027,impolite,polite,0.5396712,-0.58233154,"('impolite', 'polite')"
14,-1.3318872,antisocial,social,-1.4153565,-0.08346927,"('antisocial', 'social')"
15,1.2030891,boring,funny,0.88651466,-0.31657445,"('boring', 'funny')"
16,1.2132511,unpopular,popular,0.89613426,-0.31711686,"('unpopular', 'popular')"
17,0.44765136,nasty,nice,0.60220844,0.15455708,"('nasty', 'nice')"
18,0.6825334,disagreeable,welcoming,1.1761163,0.49358296,"('disagreeable', 'welcoming')"
19,0.86747444,inhospitable,hospitable,0.66128564,-0.2061888,"('inhospitable', 'hospitable')"
20,-0.27133933,rough,thoughtful,-0.27135387,-1.4543533e-05,"('rough', 'thoughtful')"
21,1.2178571,immoral,moral,0.25264433,-0.9652128,"('immoral', 'moral')"
22,0.10381605,untrustworthy,trustworthy,0.0004500337,-0.10336602,"('untrustworthy', 'trustworthy')"
23,1.3952649,insincere,sincere,1.0536108,-0.34165406,"('insincere', 'sincere')"
24,1.7220075,dishonest,honest,1.6251122,-0.09689534,"('dishonest', 'honest')"
25,0.4404539,egoistic,altruistic,0.64054835,0.20009446,"('egoistic', 'altruistic')"
26,-0.19555415,hardhearted,benevolent,0.34997654,0.5455307,"('hardhearted', 'benevolent')"
27,0.8539007,hardhearted,softhearted,1.9548942,1.1009935,"('hardhearted', 'softhearted')"
28,0.5581097,disloyal,loyal,0.33337635,-0.22473335,"('disloyal', 'loyal')"
29,-1.4146967,unfair,fair,-0.6957967,0.71889997,"('unfair', 'fair')"
30,0.977993,intolerant,tolerant,0.63840413,-0.33958888,"('intolerant', 'tolerant')"
31,-0.57843083,evil,good,-0.50665843,0.0717724,"('evil', 'good')"
32,2.1340144,unkind,kind,1.8691342,-0.26488018,"('unkind', 'kind')"
33,-0.17399769,wrong,right,0.7281264,0.9021241,"('wrong', 'right')"
34,0.773072,mean,honorable,0.39315957,-0.37991244,"('mean', 'honorable')"
35,-1.0949872,corrupt,incorrupt,-0.68292236,0.4120648,"('corrupt', 'incorrupt')"
36,0.744608,hostile,amicable,1.4481108,0.70350283,"('hostile', 'amicable')"
37,0.75295955,fake,genuine,0.68122166,-0.071737885,"('fake', 'genuine')"
38,0.24647519,untruthful,truthful,0.5417776,0.29530242,"('untruthful', 'truthful')"
39,-0.048776798,exploitative,cooperative,0.09025027,0.13902706,"('exploitative', 'cooperative')"
40,0.6020957,stingy,generous,0.2526603,-0.34943542,"('stingy', 'generous')"
41,0.85823965,unforgiving,forgiving,0.5034201,-0.35481954,"('unforgiving', 'forgiving')"
42,0.6193806,unreliable,reliable,0.6937137,0.07433313,"('unreliable', 'reliable')"
43,1.0241925,irresponsible,responsible,0.89697117,-0.12722129,"('irresponsible', 'responsible')"
44,-0.70693046,prejudiced,unprejudiced,-1.0855755,-0.378645,"('prejudiced', 'unprejudiced')"
45,0.5562366,incompetent,competent,0.6427358,0.086499155,"('incompetent', 'competent')"
46,0.33768886,uncompetitive,competitive,0.34418818,0.0064993203,"('uncompetitive', 'competitive')"
47,0.740088,stupid,smart,0.26994738,-0.4701406,"('stupid', 'smart')"
48,1.442734,unintelligent,intelligent,0.78213584,-0.66059816,"('unintelligent', 'intelligent')"
