,Value_Male,0,1,Value_Female,female-male,tuple
0,0.3624887,unsociable,sociable,-0.33292252,-0.6954112,"('unsociable', 'sociable')"
1,2.147302,unfriendly,friendly,2.2239027,0.07660079,"('unfriendly', 'friendly')"
2,0.6670427,unlikable,likable,-0.030349057,-0.69739175,"('unlikable', 'likable')"
3,0.22763535,repellent,pleasant,0.4083077,0.18067235,"('repellent', 'pleasant')"
4,-0.10936245,disliked,liked,0.059569217,0.16893166,"('disliked', 'liked')"
5,0.1668884,distant,outgoing,0.41306478,0.24617638,"('distant', 'outgoing')"
6,0.26754728,distant,open,0.65512484,0.38757756,"('distant', 'open')"
7,1.1306767,insensitive,sensitive,1.1083245,-0.022352219,"('insensitive', 'sensitive')"
8,1.6608984,unaffectionate,affectionate,1.9816355,0.320737,"('unaffectionate', 'affectionate')"
9,1.2785044,unaffectionate,caring,1.7322949,0.45379055,"('unaffectionate', 'caring')"
10,1.3980255,unsympathetic,sympathetic,0.9017334,-0.4962921,"('unsympathetic', 'sympathetic')"
11,0.16598281,unhelpful,helpful,-0.24418671,-0.41016954,"('unhelpful', 'helpful')"
12,0.32501483,unsupportive,supportive,0.9971058,0.67209095,"('unsupportive', 'supportive')"
13,-0.011706442,impolite,polite,-0.28803828,-0.27633184,"('impolite', 'polite')"
14,-0.4242084,antisocial,social,0.027380502,0.4515889,"('antisocial', 'social')"
15,0.28369564,boring,funny,0.1790987,-0.10459694,"('boring', 'funny')"
16,-0.18994771,unpopular,popular,-0.35785842,-0.16791071,"('unpopular', 'popular')"
17,0.17010261,nasty,nice,0.30570164,0.13559903,"('nasty', 'nice')"
18,0.1413516,disagreeable,welcoming,0.9781679,0.8368163,"('disagreeable', 'welcoming')"
19,0.2969122,inhospitable,hospitable,-0.18490823,-0.4818204,"('inhospitable', 'hospitable')"
20,-0.5867453,rough,thoughtful,-0.47068858,0.11605674,"('rough', 'thoughtful')"
21,0.4639214,immoral,moral,-0.15908109,-0.62300247,"('immoral', 'moral')"
22,-0.026144736,untrustworthy,trustworthy,0.21835208,0.24449682,"('untrustworthy', 'trustworthy')"
23,1.2545431,insincere,sincere,1.1448509,-0.109692216,"('insincere', 'sincere')"
24,1.8119454,dishonest,honest,1.6971655,-0.11477995,"('dishonest', 'honest')"
25,1.3558168,egoistic,altruistic,1.4808967,0.12507987,"('egoistic', 'altruistic')"
26,0.732546,hardhearted,benevolent,1.0949954,0.3624494,"('hardhearted', 'benevolent')"
27,1.0399703,hardhearted,softhearted,1.5759681,0.53599787,"('hardhearted', 'softhearted')"
28,1.0431964,disloyal,loyal,0.44965914,-0.59353733,"('disloyal', 'loyal')"
29,-1.3635216,unfair,fair,-0.85599077,0.5075308,"('unfair', 'fair')"
30,0.35510257,intolerant,tolerant,0.41809738,0.06299481,"('intolerant', 'tolerant')"
31,-0.54593533,evil,good,-0.45714593,0.0887894,"('evil', 'good')"
32,2.1357403,unkind,kind,1.7947859,-0.34095442,"('unkind', 'kind')"
33,-0.13524532,wrong,right,0.5348214,0.6700667,"('wrong', 'right')"
34,0.42720613,mean,honorable,0.029588394,-0.39761773,"('mean', 'honorable')"
35,-1.325422,corrupt,incorrupt,-0.9893982,0.33602387,"('corrupt', 'incorrupt')"
36,0.10153106,hostile,amicable,0.49974388,0.39821282,"('hostile', 'amicable')"
37,1.0726953,fake,genuine,0.87719804,-0.19549721,"('fake', 'genuine')"
38,0.3515299,untruthful,truthful,0.2953442,-0.056185693,"('untruthful', 'truthful')"
39,-0.10743605,exploitative,cooperative,0.42750823,0.5349443,"('exploitative', 'cooperative')"
40,1.04732,stingy,generous,0.8064272,-0.24089283,"('stingy', 'generous')"
41,0.8431482,unforgiving,forgiving,0.38917533,-0.45397285,"('unforgiving', 'forgiving')"
42,-0.3261849,unreliable,reliable,0.25890207,0.58508694,"('unreliable', 'reliable')"
43,0.40525752,irresponsible,responsible,0.588305,0.18304747,"('irresponsible', 'responsible')"
44,-1.2039304,prejudiced,unprejudiced,-1.3056582,-0.10172784,"('prejudiced', 'unprejudiced')"
45,0.40616938,incompetent,competent,0.29673904,-0.10943034,"('incompetent', 'competent')"
46,-0.14469658,uncompetitive,competitive,-0.25874773,-0.11405115,"('uncompetitive', 'competitive')"
47,0.49802834,stupid,smart,0.08629249,-0.41173583,"('stupid', 'smart')"
48,0.71746665,unintelligent,intelligent,0.4363463,-0.28112036,"('unintelligent', 'intelligent')"
49,-0.38771275,unable,able,0.0609044,0.44861716,"('unable', 'able')"
50,0.19515716,clumsy,skillful,0.12808602,-0.06707114,"('clumsy', 'skillful')"
51,1.0017403,uneducated,educated,0.49715778,-0.5045825,"('uneducated', 'educated')"
52,0.44478866,irrational,rational,0.33221966,-0.112569004,"('irrational', 'rational')"
53,0.8003655,uncreative,creative,0.96627545,0.16590995,"('uncreative', 'creative')"
54,1.4645689,incapable,capable,0.73781925,-0.7267496,"('incapable', 'capable')"
55,0.31052902,incompetent,clever,0.36261645,0.052087426,"('incompetent', 'clever')"
56,0.05128374,impractical,practical,0.26306313,0.21177939,"('impractical', 'practical')"
57,0.41689068,unimaginative,imaginative,0.1431892,-0.2737015,"('unimaginative', 'imaginative')"
58,1.1034548,undiscriminating,discriminating,0.72809523,-0.3753596,"('undiscriminating', 'discriminating')"
59,-0.33649728,foolish,wise,-0.3162787,0.020218581,"('foolish', 'wise')"
60,-0.26614437,inefficient,efficient,0.07302466,0.33916903,"('inefficient', 'efficient')"
61,-0.76767904,illogical,logical,-0.47626206,0.29141697,"('illogical', 'logical')"
62,0.25913125,incompetent,brilliant,0.2911035,0.03197226,"('incompetent', 'brilliant')"
63,0.6110724,unperceptive,insightful,0.49975726,-0.11131516,"('unperceptive', 'insightful')"
64,-1.1799992,shy,confident,-1.629414,-0.44941473,"('shy', 'confident')"
65,-0.36109602,insecure,secure,-1.0300109,-0.6689149,"('insecure', 'secure')"
66,-0.4520511,inactive,active,-0.47173536,-0.019684255,"('inactive', 'active')"
67,-1.0304245,doubtful,determined,-0.8057606,0.22466385,"('doubtful', 'determined')"
68,-0.6905361,dependent,independent,-0.47797403,0.21256205,"('dependent', 'independent')"
69,-1.4009919,lazy,industrious,-0.737561,0.6634309,"('lazy', 'industrious')"
70,0.59771955,lethargic,energetic,0.813171,0.21545148,"('lethargic', 'energetic')"
71,-0.53812456,diffident,self-confident,-0.22233005,0.31579453,"('diffident', 'self-confident')"
72,1.1006894,unambitious,ambitious,0.5965378,-0.5041516,"('unambitious', 'ambitious')"
73,0.23643288,helpless,self-reliant,0.34487173,0.10843885,"('helpless', 'self-reliant')"
74,0.5732387,undedicated,dedicated,1.687735,1.1144962,"('undedicated', 'dedicated')"
75,0.053247884,meek,impulsive,-0.65091234,-0.7041602,"('meek', 'impulsive')"
76,0.4095469,anxious,daring,0.2539146,-0.15563232,"('anxious', 'daring')"
77,-0.6243974,unmotivated,motivated,-0.9920612,-0.3676638,"('unmotivated', 'motivated')"
78,-0.9151285,nonresilient,resilient,-0.56852305,0.34660548,"('nonresilient', 'resilient')"
79,0.24161898,wavering,unwavering,0.13600837,-0.10561061,"('wavering', 'unwavering')"
80,-0.45454,dominated,dominating,-0.90685344,-0.45231342,"('dominated', 'dominating')"
81,0.7435073,submissive,aggressive,-0.8284445,-1.5719519,"('submissive', 'aggressive')"
82,1.197262,poor,rich,0.3983802,-0.7988819,"('poor', 'rich')"
83,-0.60868526,powerless,powerful,-0.59756416,0.011121094,"('powerless', 'powerful')"
84,-0.688915,inferior,superior,-0.80273795,-0.11382294,"('inferior', 'superior')"
85,0.97385406,insignificant,prestigious,1.1199257,0.14607167,"('insignificant', 'prestigious')"
86,0.8982306,uninfluential,influential,0.8255302,-0.07270044,"('uninfluential', 'influential')"
87,-0.14181998,unsuccessful,successful,-0.58485574,-0.44303575,"('unsuccessful', 'successful')"
88,0.968878,low,eminent,0.8088373,-0.16004068,"('low', 'eminent')"
