,Value_Male,0,1,Value_Female,female-male,tuple
0,0.357813,unsociable,sociable,-0.30427435,-0.6620873,"('unsociable', 'sociable')"
1,2.415745,unfriendly,friendly,2.5171306,0.10138559,"('unfriendly', 'friendly')"
2,0.8380625,unlikable,likable,-0.07033321,-0.90839577,"('unlikable', 'likable')"
3,-0.6014159,repellent,pleasant,-0.17557788,0.425838,"('repellent', 'pleasant')"
4,0.6005447,disliked,liked,0.8124441,0.2118994,"('disliked', 'liked')"
5,1.3763531,distant,outgoing,1.3557612,-0.020591974,"('distant', 'outgoing')"
6,1.4810257,distant,open,1.4822326,0.0012068748,"('distant', 'open')"
7,0.9572954,insensitive,sensitive,1.227811,0.27051556,"('insensitive', 'sensitive')"
8,1.2926913,unaffectionate,affectionate,1.6599841,0.36729276,"('unaffectionate', 'affectionate')"
9,1.3601775,unaffectionate,caring,1.9998443,0.6396668,"('unaffectionate', 'caring')"
10,0.9456419,unsympathetic,sympathetic,0.651849,-0.2937929,"('unsympathetic', 'sympathetic')"
11,-0.23009107,unhelpful,helpful,-0.443246,-0.21315494,"('unhelpful', 'helpful')"
12,0.24023686,unsupportive,supportive,1.0666945,0.8264576,"('unsupportive', 'supportive')"
13,-0.35832062,impolite,polite,-0.41209617,-0.05377555,"('impolite', 'polite')"
14,-0.6942053,antisocial,social,-0.02886443,0.66534084,"('antisocial', 'social')"
15,0.52291256,boring,funny,0.5049464,-0.017966151,"('boring', 'funny')"
16,0.21747538,unpopular,popular,0.1459523,-0.071523085,"('unpopular', 'popular')"
17,0.03845139,nasty,nice,0.35870755,0.32025617,"('nasty', 'nice')"
18,0.035175733,disagreeable,welcoming,0.98431534,0.9491396,"('disagreeable', 'welcoming')"
19,0.5525892,inhospitable,hospitable,0.041750237,-0.5108389,"('inhospitable', 'hospitable')"
20,-0.084523216,rough,thoughtful,-0.209459,-0.12493579,"('rough', 'thoughtful')"
21,-0.2111473,immoral,moral,-0.41079727,-0.19964997,"('immoral', 'moral')"
22,0.75647455,untrustworthy,trustworthy,0.9219147,0.16544014,"('untrustworthy', 'trustworthy')"
23,0.3373765,insincere,sincere,0.5598574,0.22248092,"('insincere', 'sincere')"
24,1.7774527,dishonest,honest,1.7500902,-0.027362466,"('dishonest', 'honest')"
25,0.5465326,egoistic,altruistic,0.90827286,0.3617403,"('egoistic', 'altruistic')"
26,0.6708687,hardhearted,benevolent,1.2219005,0.55103177,"('hardhearted', 'benevolent')"
27,0.9833348,hardhearted,softhearted,1.4542862,0.47095144,"('hardhearted', 'softhearted')"
28,0.678865,disloyal,loyal,0.4395155,-0.23934951,"('disloyal', 'loyal')"
29,-0.78364736,unfair,fair,-0.23888212,0.54476523,"('unfair', 'fair')"
30,0.08607198,intolerant,tolerant,0.2468016,0.16072962,"('intolerant', 'tolerant')"
31,0.22103657,evil,good,0.3428652,0.12182863,"('evil', 'good')"
32,1.8243378,unkind,kind,1.7180597,-0.10627818,"('unkind', 'kind')"
33,0.17947026,wrong,right,0.75390846,0.5744382,"('wrong', 'right')"
34,0.3736289,mean,honorable,0.07974398,-0.29388493,"('mean', 'honorable')"
35,-0.017121136,corrupt,incorrupt,-0.18450549,-0.16738436,"('corrupt', 'incorrupt')"
36,0.8571333,hostile,amicable,1.0072577,0.15012437,"('hostile', 'amicable')"
37,0.99382156,fake,genuine,0.614944,-0.37887758,"('fake', 'genuine')"
38,0.33784243,untruthful,truthful,0.3950059,0.057163477,"('untruthful', 'truthful')"
39,0.1423678,exploitative,cooperative,0.639325,0.49695724,"('exploitative', 'cooperative')"
40,0.6492629,stingy,generous,0.28484324,-0.36441967,"('stingy', 'generous')"
41,0.5297038,unforgiving,forgiving,0.13530467,-0.3943991,"('unforgiving', 'forgiving')"
42,0.5369764,unreliable,reliable,0.95597523,0.41899884,"('unreliable', 'reliable')"
43,0.8884476,irresponsible,responsible,1.0040148,0.11556727,"('irresponsible', 'responsible')"
44,-0.79000825,prejudiced,unprejudiced,-1.2500027,-0.4599945,"('prejudiced', 'unprejudiced')"
45,0.91802627,incompetent,competent,0.9759823,0.05795604,"('incompetent', 'competent')"
46,-0.23413618,uncompetitive,competitive,-0.30673248,-0.0725963,"('uncompetitive', 'competitive')"
47,0.78913164,stupid,smart,0.36786398,-0.42126766,"('stupid', 'smart')"
48,0.121906824,unintelligent,intelligent,-0.17294034,-0.29484716,"('unintelligent', 'intelligent')"
49,-0.36790252,unable,able,0.5761289,0.9440314,"('unable', 'able')"
50,0.42917752,clumsy,skillful,0.19530976,-0.23386776,"('clumsy', 'skillful')"
51,-0.4085847,uneducated,educated,-0.52302706,-0.11444235,"('uneducated', 'educated')"
52,0.5945755,irrational,rational,0.3816162,-0.21295932,"('irrational', 'rational')"
53,1.3802643,uncreative,creative,1.6573346,0.27707028,"('uncreative', 'creative')"
54,1.615614,incapable,capable,0.9372713,-0.67834276,"('incapable', 'capable')"
55,-0.25650486,incompetent,clever,0.015784845,0.2722897,"('incompetent', 'clever')"
56,0.3561206,impractical,practical,0.73997647,0.38385588,"('impractical', 'practical')"
57,1.29133,unimaginative,imaginative,0.9044208,-0.3869092,"('unimaginative', 'imaginative')"
58,1.2592471,undiscriminating,discriminating,0.78760844,-0.47163862,"('undiscriminating', 'discriminating')"
59,0.3523306,foolish,wise,0.37811562,0.025785029,"('foolish', 'wise')"
60,-0.37665907,inefficient,efficient,0.06798491,0.44464397,"('inefficient', 'efficient')"
61,0.018034404,illogical,logical,0.19993657,0.18190217,"('illogical', 'logical')"
62,0.08143381,incompetent,brilliant,0.19314457,0.111710764,"('incompetent', 'brilliant')"
63,0.59336823,unperceptive,insightful,0.5978768,0.004508555,"('unperceptive', 'insightful')"
64,-0.5037422,shy,confident,-1.1405642,-0.636822,"('shy', 'confident')"
65,-0.26348168,insecure,secure,-1.0343245,-0.77084285,"('insecure', 'secure')"
66,0.3727276,inactive,active,0.32473338,-0.047994226,"('inactive', 'active')"
67,-1.2528908,doubtful,determined,-0.8815076,0.37138325,"('doubtful', 'determined')"
68,-0.21348815,dependent,independent,-0.13809791,0.075390235,"('dependent', 'independent')"
69,-0.37734917,lazy,industrious,0.17033798,0.5476872,"('lazy', 'industrious')"
70,1.0390607,lethargic,energetic,1.2928337,0.25377297,"('lethargic', 'energetic')"
