,Value_Male,0,1,Value_Female,female-male,tuple
0,0.17051876,unsociable,sociable,-0.37322715,-0.5437459,"('unsociable', 'sociable')"
1,1.8683176,unfriendly,friendly,1.9045062,0.036188602,"('unfriendly', 'friendly')"
2,0.69034195,unlikable,likable,0.12279537,-0.5675466,"('unlikable', 'likable')"
3,-0.028813245,repellent,pleasant,0.2742032,0.30301645,"('repellent', 'pleasant')"
4,-0.22199813,disliked,liked,-0.032853663,0.18914446,"('disliked', 'liked')"
5,0.5959219,distant,outgoing,0.6054386,0.009516716,"('distant', 'outgoing')"
6,0.72517926,distant,open,0.78445184,0.059272587,"('distant', 'open')"
7,1.0910391,insensitive,sensitive,1.3932018,0.30216277,"('insensitive', 'sensitive')"
8,1.3698748,unaffectionate,affectionate,1.7879838,0.41810894,"('unaffectionate', 'affectionate')"
9,1.1053345,unaffectionate,caring,1.7325128,0.6271783,"('unaffectionate', 'caring')"
10,0.8520288,unsympathetic,sympathetic,0.61890054,-0.23312825,"('unsympathetic', 'sympathetic')"
11,-0.17876038,unhelpful,helpful,-0.44064242,-0.26188204,"('unhelpful', 'helpful')"
12,0.17902341,unsupportive,supportive,0.96642196,0.7873986,"('unsupportive', 'supportive')"
13,0.08869965,impolite,polite,-3.540702e-05,-0.08873505,"('impolite', 'polite')"
14,-0.27649403,antisocial,social,0.20753513,0.48402917,"('antisocial', 'social')"
15,0.3357593,boring,funny,0.38184094,0.046081632,"('boring', 'funny')"
16,-0.26916087,unpopular,popular,-0.25132197,0.017838895,"('unpopular', 'popular')"
17,0.19275449,nasty,nice,0.31192312,0.119168624,"('nasty', 'nice')"
18,0.26370308,disagreeable,welcoming,1.093161,0.8294579,"('disagreeable', 'welcoming')"
19,0.6416716,inhospitable,hospitable,-0.036083445,-0.67775506,"('inhospitable', 'hospitable')"
20,-0.48778147,rough,thoughtful,-0.48083764,0.006943822,"('rough', 'thoughtful')"
21,0.19289169,immoral,moral,0.005211437,-0.18768024,"('immoral', 'moral')"
22,0.079948924,untrustworthy,trustworthy,0.40602583,0.3260769,"('untrustworthy', 'trustworthy')"
23,0.84327376,insincere,sincere,0.974206,0.13093221,"('insincere', 'sincere')"
24,1.4662013,dishonest,honest,1.513509,0.04730773,"('dishonest', 'honest')"
25,1.1761005,egoistic,altruistic,1.2812829,0.10518241,"('egoistic', 'altruistic')"
26,0.77024245,hardhearted,benevolent,1.2322757,0.46203327,"('hardhearted', 'benevolent')"
27,0.74576837,hardhearted,softhearted,1.3042374,0.558469,"('hardhearted', 'softhearted')"
28,0.79342324,disloyal,loyal,0.29223093,-0.50119233,"('disloyal', 'loyal')"
29,-1.4360687,unfair,fair,-0.714083,0.72198564,"('unfair', 'fair')"
30,0.14115927,intolerant,tolerant,0.37101543,0.22985616,"('intolerant', 'tolerant')"
31,-0.048321363,evil,good,-0.3235782,-0.27525684,"('evil', 'good')"
32,1.6020887,unkind,kind,1.7236351,0.12154639,"('unkind', 'kind')"
33,-0.105260596,wrong,right,0.56400543,0.66926605,"('wrong', 'right')"
34,0.4382394,mean,honorable,0.112654425,-0.32558498,"('mean', 'honorable')"
35,-0.40931472,corrupt,incorrupt,-0.64999884,-0.24068412,"('corrupt', 'incorrupt')"
36,0.70747256,hostile,amicable,0.64358515,-0.06388742,"('hostile', 'amicable')"
37,1.1333373,fake,genuine,0.81113416,-0.3222031,"('fake', 'genuine')"
38,0.27256888,untruthful,truthful,0.18831703,-0.08425185,"('untruthful', 'truthful')"
39,0.05582874,exploitative,cooperative,0.6054993,0.5496706,"('exploitative', 'cooperative')"
40,0.8224526,stingy,generous,0.6334586,-0.18899399,"('stingy', 'generous')"
41,0.8954421,unforgiving,forgiving,0.43853477,-0.45690736,"('unforgiving', 'forgiving')"
42,-0.26681957,unreliable,reliable,0.19800866,0.46482822,"('unreliable', 'reliable')"
43,0.3224451,irresponsible,responsible,0.71225035,0.38980526,"('irresponsible', 'responsible')"
44,-1.0765039,prejudiced,unprejudiced,-1.4095395,-0.3330356,"('prejudiced', 'unprejudiced')"
