,Value_Male,0,1,Value_Female,female-male,tuple
0,1.6213248,unsociable,sociable,0.48338547,-1.1379393,"('unsociable', 'sociable')"
1,1.5880827,unfriendly,friendly,2.2832623,0.6951796,"('unfriendly', 'friendly')"
2,1.6612837,unlikable,likable,0.8752722,-0.7860115,"('unlikable', 'likable')"
3,0.8330915,repellent,pleasant,1.2969834,0.46389186,"('repellent', 'pleasant')"
4,-0.010493305,disliked,liked,0.36280876,0.37330207,"('disliked', 'liked')"
5,0.21595472,distant,outgoing,0.4829502,0.2669955,"('distant', 'outgoing')"
6,0.008841187,distant,open,0.59151983,0.5826787,"('distant', 'open')"
7,2.5927093,insensitive,sensitive,2.7301376,0.13742828,"('insensitive', 'sensitive')"
8,0.4075916,unaffectionate,affectionate,1.2225693,0.81497777,"('unaffectionate', 'affectionate')"
9,0.4602947,unaffectionate,caring,1.4331675,0.97287273,"('unaffectionate', 'caring')"
10,2.1364164,unsympathetic,sympathetic,1.3767102,-0.75970626,"('unsympathetic', 'sympathetic')"
11,0.25869074,unhelpful,helpful,-0.0048058145,-0.26349655,"('unhelpful', 'helpful')"
12,0.7707157,unsupportive,supportive,1.5011288,0.7304131,"('unsupportive', 'supportive')"
13,0.81678087,impolite,polite,0.30606392,-0.5107169,"('impolite', 'polite')"
14,-0.1317656,antisocial,social,-0.062046733,0.06971887,"('antisocial', 'social')"
15,0.5563476,boring,funny,0.39033318,-0.16601443,"('boring', 'funny')"
16,0.15418614,unpopular,popular,0.25833613,0.10414998,"('unpopular', 'popular')"
17,-0.039756685,nasty,nice,0.23024517,0.27000186,"('nasty', 'nice')"
18,0.42030802,disagreeable,welcoming,1.2592839,0.8389759,"('disagreeable', 'welcoming')"
19,0.19561414,inhospitable,hospitable,-0.045036852,-0.240651,"('inhospitable', 'hospitable')"
20,0.022455709,rough,thoughtful,0.28478277,0.26232705,"('rough', 'thoughtful')"
21,1.8252442,immoral,moral,0.5863172,-1.238927,"('immoral', 'moral')"
22,0.48343295,untrustworthy,trustworthy,0.23657513,-0.24685782,"('untrustworthy', 'trustworthy')"
23,1.8946236,insincere,sincere,1.6107328,-0.28389084,"('insincere', 'sincere')"
24,2.1650882,dishonest,honest,1.8818128,-0.28327537,"('dishonest', 'honest')"
25,0.48521873,egoistic,altruistic,0.8725094,0.3872907,"('egoistic', 'altruistic')"
26,-0.4777183,hardhearted,benevolent,0.33358258,0.8113009,"('hardhearted', 'benevolent')"
27,1.1054289,hardhearted,softhearted,2.196148,1.090719,"('hardhearted', 'softhearted')"
28,0.63650465,disloyal,loyal,0.47303873,-0.16346592,"('disloyal', 'loyal')"
29,-0.69919443,unfair,fair,-0.02993428,0.66926014,"('unfair', 'fair')"
30,1.4421657,intolerant,tolerant,1.0418668,-0.40029895,"('intolerant', 'tolerant')"
31,-0.91097564,evil,good,-0.7115526,0.19942302,"('evil', 'good')"
32,1.8978758,unkind,kind,1.7891628,-0.10871303,"('unkind', 'kind')"
33,-0.44791436,wrong,right,0.4711225,0.91903687,"('wrong', 'right')"
