,Value_Male,0,1,Value_Female,female-male,tuple
0,0.7039945,unsociable,sociable,-0.031230716,-0.7352252,"('unsociable', 'sociable')"
1,1.5477726,unfriendly,friendly,2.0550358,0.5072632,"('unfriendly', 'friendly')"
2,1.3191901,unlikable,likable,0.42283365,-0.89635646,"('unlikable', 'likable')"
3,0.6264826,repellent,pleasant,0.7296806,0.10319799,"('repellent', 'pleasant')"
4,-0.4928399,disliked,liked,-0.043039925,0.44979998,"('disliked', 'liked')"
5,-0.41689265,distant,outgoing,0.2430325,0.65992516,"('distant', 'outgoing')"
6,-0.6422811,distant,open,0.11103907,0.7533202,"('distant', 'open')"
7,1.8849621,insensitive,sensitive,1.8660476,-0.018914461,"('insensitive', 'sensitive')"
8,0.8923988,unaffectionate,affectionate,1.5005196,0.60812086,"('unaffectionate', 'affectionate')"
9,0.72961116,unaffectionate,caring,1.5745056,0.8448944,"('unaffectionate', 'caring')"
10,1.9238368,unsympathetic,sympathetic,1.2622879,-0.661549,"('unsympathetic', 'sympathetic')"
11,0.52918136,unhelpful,helpful,0.16418326,-0.3649981,"('unhelpful', 'helpful')"
12,0.77663344,unsupportive,supportive,1.4069774,0.630344,"('unsupportive', 'supportive')"
13,0.38180926,impolite,polite,0.12191641,-0.25989285,"('impolite', 'polite')"
14,-0.6367431,antisocial,social,-0.091695756,0.5450474,"('antisocial', 'social')"
15,0.32635784,boring,funny,0.14667791,-0.17967993,"('boring', 'funny')"
16,0.6870965,unpopular,popular,0.52873576,-0.15836072,"('unpopular', 'popular')"
17,0.06482786,nasty,nice,0.41677734,0.35194948,"('nasty', 'nice')"
18,0.4165658,disagreeable,welcoming,1.2650107,0.84844494,"('disagreeable', 'welcoming')"
19,0.18085353,inhospitable,hospitable,-0.14663437,-0.3274879,"('inhospitable', 'hospitable')"
20,-0.4413623,rough,thoughtful,-0.43482298,0.006539315,"('rough', 'thoughtful')"
21,1.2689319,immoral,moral,0.44228238,-0.8266495,"('immoral', 'moral')"
22,0.26042274,untrustworthy,trustworthy,0.10637347,-0.15404928,"('untrustworthy', 'trustworthy')"
23,1.533515,insincere,sincere,1.3521346,-0.18138039,"('insincere', 'sincere')"
24,1.8394439,dishonest,honest,1.684385,-0.15505898,"('dishonest', 'honest')"
25,0.8369821,egoistic,altruistic,0.9900244,0.15304232,"('egoistic', 'altruistic')"
26,-0.08416505,hardhearted,benevolent,0.62924916,0.7134142,"('hardhearted', 'benevolent')"
