,Value_Male,0,1,Value_Female,female-male,tuple
0,1.4185395,unsociable,sociable,0.48571762,-0.93282187,"('unsociable', 'sociable')"
1,1.5676595,unfriendly,friendly,2.2310114,0.6633519,"('unfriendly', 'friendly')"
2,1.4174573,unlikable,likable,0.8642257,-0.55323166,"('unlikable', 'likable')"
3,0.73057854,repellent,pleasant,1.1291875,0.39860892,"('repellent', 'pleasant')"
4,-0.18368591,disliked,liked,0.28305328,0.46673918,"('disliked', 'liked')"
5,0.0472321,distant,outgoing,0.5232871,0.47605503,"('distant', 'outgoing')"
6,-0.115730554,distant,open,0.5116418,0.6273724,"('distant', 'open')"
7,2.333338,insensitive,sensitive,2.6345747,0.30123663,"('insensitive', 'sensitive')"
8,0.41559654,unaffectionate,affectionate,1.19509,0.7794935,"('unaffectionate', 'affectionate')"
9,0.4583965,unaffectionate,caring,1.49875,1.0403535,"('unaffectionate', 'caring')"
10,2.214209,unsympathetic,sympathetic,1.4432151,-0.77099395,"('unsympathetic', 'sympathetic')"
11,0.2957992,unhelpful,helpful,0.114956,-0.1808432,"('unhelpful', 'helpful')"
12,0.75183856,unsupportive,supportive,1.5478503,0.7960117,"('unsupportive', 'supportive')"
13,0.7688747,impolite,polite,0.27983752,-0.4890372,"('impolite', 'polite')"
14,-0.18348098,antisocial,social,0.015699022,0.19918,"('antisocial', 'social')"
15,0.38327396,boring,funny,0.3093179,-0.07395607,"('boring', 'funny')"
16,-0.13447648,unpopular,popular,-0.0579174,0.07655908,"('unpopular', 'popular')"
17,-0.17509821,nasty,nice,0.10067256,0.27577078,"('nasty', 'nice')"
18,0.17023921,disagreeable,welcoming,1.0657814,0.89554214,"('disagreeable', 'welcoming')"
19,-0.0002966784,inhospitable,hospitable,-0.06541945,-0.06512277,"('inhospitable', 'hospitable')"
20,0.046866246,rough,thoughtful,0.31882563,0.2719594,"('rough', 'thoughtful')"
21,1.6926532,immoral,moral,0.73914737,-0.9535058,"('immoral', 'moral')"
22,0.7905389,untrustworthy,trustworthy,0.4517126,-0.3388263,"('untrustworthy', 'trustworthy')"
23,1.7644993,insincere,sincere,1.5896915,-0.17480779,"('insincere', 'sincere')"
24,2.2287664,dishonest,honest,1.9291675,-0.29959893,"('dishonest', 'honest')"
25,0.43699282,egoistic,altruistic,0.820365,0.3833722,"('egoistic', 'altruistic')"
26,-0.30851528,hardhearted,benevolent,0.21134117,0.51985645,"('hardhearted', 'benevolent')"
27,1.0681437,hardhearted,softhearted,2.0961845,1.0280408,"('hardhearted', 'softhearted')"
28,0.57092553,disloyal,loyal,0.41584194,-0.1550836,"('disloyal', 'loyal')"
29,-0.762305,unfair,fair,-0.005272761,0.7570323,"('unfair', 'fair')"
30,1.3175603,intolerant,tolerant,1.0593228,-0.25823748,"('intolerant', 'tolerant')"
31,-1.0820801,evil,good,-0.860243,0.2218371,"('evil', 'good')"
32,1.801424,unkind,kind,1.7116977,-0.08972633,"('unkind', 'kind')"
33,-0.42656112,wrong,right,0.38921458,0.8157757,"('wrong', 'right')"
34,0.4389172,mean,honorable,0.1440776,-0.2948396,"('mean', 'honorable')"
35,-2.1768136,corrupt,incorrupt,-1.5542256,0.62258804,"('corrupt', 'incorrupt')"
36,-0.27160722,hostile,amicable,0.5335708,0.80517805,"('hostile', 'amicable')"
37,1.1115638,fake,genuine,0.94459265,-0.16697115,"('fake', 'genuine')"
38,-0.20234439,untruthful,truthful,-0.061341777,0.14100261,"('untruthful', 'truthful')"
39,-0.34158918,exploitative,cooperative,0.13480397,0.47639316,"('exploitative', 'cooperative')"
40,1.4077169,stingy,generous,1.192563,-0.21515381,"('stingy', 'generous')"
41,1.2210461,unforgiving,forgiving,0.66042894,-0.56061715,"('unforgiving', 'forgiving')"
42,0.7376676,unreliable,reliable,0.98603797,0.24837035,"('unreliable', 'reliable')"
43,1.6204443,irresponsible,responsible,1.516436,-0.10400832,"('irresponsible', 'responsible')"
44,-0.8599709,prejudiced,unprejudiced,-1.2978234,-0.4378525,"('prejudiced', 'unprejudiced')"
45,0.949678,incompetent,competent,1.0307016,0.08102363,"('incompetent', 'competent')"
46,0.8029572,uncompetitive,competitive,0.63797945,-0.16497773,"('uncompetitive', 'competitive')"
47,1.0819532,stupid,smart,0.7760421,-0.30591106,"('stupid', 'smart')"
48,1.9286672,unintelligent,intelligent,1.4871457,-0.44152153,"('unintelligent', 'intelligent')"
49,0.5288703,unable,able,1.3364161,0.80754584,"('unable', 'able')"
50,-0.122624084,clumsy,skillful,0.40113175,0.52375585,"('clumsy', 'skillful')"
51,0.97895753,uneducated,educated,0.6250446,-0.35391295,"('uneducated', 'educated')"
52,-0.5816444,irrational,rational,-0.22247067,0.35917374,"('irrational', 'rational')"
53,0.7383999,uncreative,creative,1.3076952,0.5692952,"('uncreative', 'creative')"
54,1.3767681,incapable,capable,0.8900948,-0.4866733,"('incapable', 'capable')"
55,1.1080475,incompetent,clever,0.9047073,-0.20334017,"('incompetent', 'clever')"
56,1.1747775,impractical,practical,1.2792325,0.104454994,"('impractical', 'practical')"
57,0.65966374,unimaginative,imaginative,0.39178967,-0.26787406,"('unimaginative', 'imaginative')"
58,0.8722938,undiscriminating,discriminating,0.7053838,-0.16691,"('undiscriminating', 'discriminating')"
59,-0.32749432,foolish,wise,0.006991446,0.33448577,"('foolish', 'wise')"
60,0.7333128,inefficient,efficient,0.8230895,0.089776695,"('inefficient', 'efficient')"
61,0.4821639,illogical,logical,0.9183051,0.4361412,"('illogical', 'logical')"
62,1.5601479,incompetent,brilliant,1.4276093,-0.13253856,"('incompetent', 'brilliant')"
63,1.4818885,unperceptive,insightful,1.361637,-0.12025154,"('unperceptive', 'insightful')"
64,-0.45406097,shy,confident,-1.1309826,-0.67692167,"('shy', 'confident')"
65,1.2467633,insecure,secure,0.06823299,-1.1785303,"('insecure', 'secure')"
66,-0.60803306,inactive,active,-0.32383555,0.2841975,"('inactive', 'active')"
67,-1.0452869,doubtful,determined,-1.0370884,0.0081985,"('doubtful', 'determined')"
68,-0.14576156,dependent,independent,0.24749613,0.39325768,"('dependent', 'independent')"
69,-1.8846517,lazy,industrious,-0.69418204,1.1904696,"('lazy', 'industrious')"
70,1.8573542,lethargic,energetic,1.7820141,-0.07534003,"('lethargic', 'energetic')"
71,-0.17567521,diffident,self-confident,0.28894296,0.46461818,"('diffident', 'self-confident')"
72,1.2168597,unambitious,ambitious,0.40809232,-0.8087674,"('unambitious', 'ambitious')"
73,-0.044240374,helpless,self-reliant,0.12286286,0.16710323,"('helpless', 'self-reliant')"
74,0.6805623,undedicated,dedicated,2.0567532,1.3761909,"('undedicated', 'dedicated')"
75,-0.17093226,meek,impulsive,-0.52333045,-0.3523982,"('meek', 'impulsive')"
76,1.077866,anxious,daring,0.6852351,-0.39263088,"('anxious', 'daring')"
77,0.6623108,unmotivated,motivated,-0.082242705,-0.7445535,"('unmotivated', 'motivated')"
78,-0.69100714,nonresilient,resilient,-0.0022347942,0.6887723,"('nonresilient', 'resilient')"
79,-0.38964996,wavering,unwavering,-0.17172119,0.21792877,"('wavering', 'unwavering')"
80,-0.03644888,dominated,dominating,-0.8349053,-0.79845643,"('dominated', 'dominating')"
81,1.7850775,submissive,aggressive,-0.24760407,-2.0326815,"('submissive', 'aggressive')"
82,1.7396166,poor,rich,1.2039101,-0.5357065,"('poor', 'rich')"
83,-0.5861236,powerless,powerful,-0.49230194,0.093821645,"('powerless', 'powerful')"
84,0.1652581,inferior,superior,-0.16709873,-0.3323568,"('inferior', 'superior')"
85,-0.31063712,insignificant,prestigious,0.292688,0.6033251,"('insignificant', 'prestigious')"
86,0.68442625,uninfluential,influential,0.94095504,0.2565288,"('uninfluential', 'influential')"
87,0.2629587,unsuccessful,successful,-0.17899717,-0.44195586,"('unsuccessful', 'successful')"
88,1.080742,low,eminent,1.205786,0.12504399,"('low', 'eminent')"
