,Value_Male,0,1,Value_Female,female-male,tuple
0,0.09828167,unsociable,sociable,-0.44302496,-0.5413066,"('unsociable', 'sociable')"
1,1.9162796,unfriendly,friendly,2.3146834,0.39840388,"('unfriendly', 'friendly')"
2,0.87619734,unlikable,likable,0.06704785,-0.8091495,"('unlikable', 'likable')"
3,0.26083505,repellent,pleasant,0.37443456,0.11359951,"('repellent', 'pleasant')"
4,-0.45180196,disliked,liked,-0.09937076,0.35243118,"('disliked', 'liked')"
5,0.70286036,distant,outgoing,0.9596373,0.25677693,"('distant', 'outgoing')"
6,0.6577661,distant,open,1.0965179,0.43875182,"('distant', 'open')"
7,0.9012754,insensitive,sensitive,1.2253379,0.32406247,"('insensitive', 'sensitive')"
8,0.88271177,unaffectionate,affectionate,1.5677434,0.68503165,"('unaffectionate', 'affectionate')"
9,0.94633937,unaffectionate,caring,1.8530416,0.9067023,"('unaffectionate', 'caring')"
10,0.66190296,unsympathetic,sympathetic,0.5271927,-0.13471025,"('unsympathetic', 'sympathetic')"
11,0.3556184,unhelpful,helpful,0.16038617,-0.19523221,"('unhelpful', 'helpful')"
12,0.19075778,unsupportive,supportive,1.0223932,0.8316355,"('unsupportive', 'supportive')"
13,0.37578538,impolite,polite,0.18369108,-0.1920943,"('impolite', 'polite')"
14,-1.2410158,antisocial,social,-0.6147498,0.626266,"('antisocial', 'social')"
15,0.4348366,boring,funny,0.41210946,-0.022727132,"('boring', 'funny')"
16,0.9424186,unpopular,popular,0.6256186,-0.3168,"('unpopular', 'popular')"
17,0.24408364,nasty,nice,0.44105655,0.1969729,"('nasty', 'nice')"
18,0.55088127,disagreeable,welcoming,1.35449,0.8036088,"('disagreeable', 'welcoming')"
19,0.5478437,inhospitable,hospitable,-0.0383124,-0.5861561,"('inhospitable', 'hospitable')"
20,-0.47275317,rough,thoughtful,-0.46909657,0.003656596,"('rough', 'thoughtful')"
21,0.21907303,immoral,moral,-0.27152187,-0.4905949,"('immoral', 'moral')"
22,-0.028210599,untrustworthy,trustworthy,0.07357748,0.101788074,"('untrustworthy', 'trustworthy')"
23,1.1113987,insincere,sincere,1.1238984,0.01249969,"('insincere', 'sincere')"
24,1.467103,dishonest,honest,1.6622308,0.19512784,"('dishonest', 'honest')"
25,0.9192536,egoistic,altruistic,1.0876254,0.1683718,"('egoistic', 'altruistic')"
26,-0.18556729,hardhearted,benevolent,0.51304483,0.6986121,"('hardhearted', 'benevolent')"
27,0.417955,hardhearted,softhearted,1.1945848,0.7766298,"('hardhearted', 'softhearted')"
28,0.5870158,disloyal,loyal,0.30610132,-0.2809145,"('disloyal', 'loyal')"
29,-1.7480918,unfair,fair,-1.0347633,0.7133285,"('unfair', 'fair')"
30,0.6248477,intolerant,tolerant,0.6070954,-0.01775229,"('intolerant', 'tolerant')"
31,-0.19196627,evil,good,-0.18074353,0.011222735,"('evil', 'good')"
32,1.7133204,unkind,kind,1.6059177,-0.10740268,"('unkind', 'kind')"
33,0.056819126,wrong,right,0.79463995,0.7378208,"('wrong', 'right')"
34,0.5700752,mean,honorable,0.3060584,-0.2640168,"('mean', 'honorable')"
35,-0.4775149,corrupt,incorrupt,-0.49522752,-0.017712623,"('corrupt', 'incorrupt')"
36,0.42475492,hostile,amicable,0.7878517,0.36309677,"('hostile', 'amicable')"
37,0.5806983,fake,genuine,0.471182,-0.10951632,"('fake', 'genuine')"
38,0.38280684,untruthful,truthful,0.6860448,0.30323797,"('untruthful', 'truthful')"
39,0.3211242,exploitative,cooperative,0.5825297,0.26140553,"('exploitative', 'cooperative')"
40,0.42547727,stingy,generous,0.10664878,-0.3188285,"('stingy', 'generous')"
41,0.2716006,unforgiving,forgiving,0.019573068,-0.25202754,"('unforgiving', 'forgiving')"
42,0.2525553,unreliable,reliable,0.70062464,0.44806933,"('unreliable', 'reliable')"
43,0.61039907,irresponsible,responsible,0.8918716,0.2814725,"('irresponsible', 'responsible')"
44,-0.9115218,prejudiced,unprejudiced,-1.2637106,-0.35218883,"('prejudiced', 'unprejudiced')"
45,-0.16314393,incompetent,competent,-0.049831696,0.11331224,"('incompetent', 'competent')"
46,-0.429493,uncompetitive,competitive,-0.5298089,-0.10031587,"('uncompetitive', 'competitive')"
47,0.6327954,stupid,smart,0.108034864,-0.52476054,"('stupid', 'smart')"
48,0.61293346,unintelligent,intelligent,0.2799559,-0.33297756,"('unintelligent', 'intelligent')"
49,-0.4459957,unable,able,0.3015489,0.7475446,"('unable', 'able')"
50,0.660924,clumsy,skillful,0.49465525,-0.16626877,"('clumsy', 'skillful')"
51,0.44305477,uneducated,educated,0.0849165,-0.35813826,"('uneducated', 'educated')"
52,0.61996317,irrational,rational,0.6408156,0.020852447,"('irrational', 'rational')"
53,1.4123766,uncreative,creative,1.6122366,0.19985998,"('uncreative', 'creative')"
54,1.7707311,incapable,capable,1.0163628,-0.7543683,"('incapable', 'capable')"
55,-0.2433542,incompetent,clever,-0.10361488,0.13973932,"('incompetent', 'clever')"
56,0.58390445,impractical,practical,0.9302592,0.34635478,"('impractical', 'practical')"
57,0.29326224,unimaginative,imaginative,0.050832648,-0.2424296,"('unimaginative', 'imaginative')"
58,0.36498588,undiscriminating,discriminating,0.2202236,-0.14476228,"('undiscriminating', 'discriminating')"
59,0.64286256,foolish,wise,0.44628602,-0.19657654,"('foolish', 'wise')"
60,-0.23001799,inefficient,efficient,0.24911718,0.47913516,"('inefficient', 'efficient')"
61,-0.4818802,illogical,logical,-0.1633123,0.31856787,"('illogical', 'logical')"
62,0.27135926,incompetent,brilliant,0.19135675,-0.08000252,"('incompetent', 'brilliant')"
63,0.76160276,unperceptive,insightful,0.56401074,-0.19759202,"('unperceptive', 'insightful')"
64,-0.93569565,shy,confident,-1.5949143,-0.65921867,"('shy', 'confident')"
65,-0.14117481,insecure,secure,-0.93241274,-0.79123795,"('insecure', 'secure')"
66,-0.13678184,inactive,active,-0.03095743,0.10582441,"('inactive', 'active')"
67,-0.99542373,doubtful,determined,-0.68588895,0.3095348,"('doubtful', 'determined')"
68,-0.004193276,dependent,independent,-0.11353887,-0.10934559,"('dependent', 'independent')"
69,-0.8288776,lazy,industrious,-0.12515599,0.70372164,"('lazy', 'industrious')"
70,0.926587,lethargic,energetic,1.1488539,0.22226691,"('lethargic', 'energetic')"
71,-0.068270855,diffident,self-confident,0.106690004,0.17496085,"('diffident', 'self-confident')"
72,0.815215,unambitious,ambitious,0.2998722,-0.51534283,"('unambitious', 'ambitious')"
73,0.6017739,helpless,self-reliant,0.41269594,-0.18907797,"('helpless', 'self-reliant')"
74,0.14081223,undedicated,dedicated,1.3281379,1.1873256,"('undedicated', 'dedicated')"
75,0.32636303,meek,impulsive,-0.55592877,-0.8822918,"('meek', 'impulsive')"
76,0.46071523,anxious,daring,0.27954656,-0.18116868,"('anxious', 'daring')"
77,-0.054925382,unmotivated,motivated,-0.61186653,-0.55694115,"('unmotivated', 'motivated')"
78,-1.0533279,nonresilient,resilient,-0.5240798,0.5292481,"('nonresilient', 'resilient')"
79,0.7775528,wavering,unwavering,0.64981,-0.12774277,"('wavering', 'unwavering')"
80,-0.6960115,dominated,dominating,-1.2824554,-0.58644396,"('dominated', 'dominating')"
