,Value_Male,0,1,Value_Female,female-male,tuple
0,0.121831596,unsociable,sociable,-0.52937067,-0.65120226,"('unsociable', 'sociable')"
1,1.117778,unfriendly,friendly,1.6059977,0.48821974,"('unfriendly', 'friendly')"
2,0.57773703,unlikable,likable,-0.036050785,-0.61378783,"('unlikable', 'likable')"
3,0.19012414,repellent,pleasant,0.31746823,0.12734409,"('repellent', 'pleasant')"
4,-0.07701342,disliked,liked,0.18715249,0.2641659,"('disliked', 'liked')"
5,0.26222932,distant,outgoing,0.69404906,0.43181974,"('distant', 'outgoing')"
6,0.6706691,distant,open,1.0462297,0.37556064,"('distant', 'open')"
7,0.7490785,insensitive,sensitive,1.010624,0.26154554,"('insensitive', 'sensitive')"
8,0.6249549,unaffectionate,affectionate,1.2695147,0.6445598,"('unaffectionate', 'affectionate')"
9,0.6337825,unaffectionate,caring,1.5246861,0.8909036,"('unaffectionate', 'caring')"
10,0.83234686,unsympathetic,sympathetic,0.52257115,-0.3097757,"('unsympathetic', 'sympathetic')"
11,-0.035290778,unhelpful,helpful,-0.2657226,-0.23043182,"('unhelpful', 'helpful')"
12,0.013635211,unsupportive,supportive,0.7744392,0.760804,"('unsupportive', 'supportive')"
13,-0.21890876,impolite,polite,-0.28367722,-0.06476846,"('impolite', 'polite')"
14,-0.31922835,antisocial,social,0.15582806,0.4750564,"('antisocial', 'social')"
15,0.4317057,boring,funny,0.3437087,-0.08799702,"('boring', 'funny')"
16,0.5045506,unpopular,popular,0.21540268,-0.2891479,"('unpopular', 'popular')"
17,0.050746515,nasty,nice,0.38916755,0.33842105,"('nasty', 'nice')"
18,0.4133402,disagreeable,welcoming,1.2855961,0.8722559,"('disagreeable', 'welcoming')"
19,0.20126432,inhospitable,hospitable,-0.12534888,-0.3266132,"('inhospitable', 'hospitable')"
20,-0.29266754,rough,thoughtful,-0.30364478,-0.010977238,"('rough', 'thoughtful')"
21,0.3144033,immoral,moral,-0.030259,-0.3446623,"('immoral', 'moral')"
22,0.20900206,untrustworthy,trustworthy,0.3632749,0.15427284,"('untrustworthy', 'trustworthy')"
23,0.7471824,insincere,sincere,0.8441406,0.09695816,"('insincere', 'sincere')"
24,1.2539744,dishonest,honest,1.3585818,0.10460734,"('dishonest', 'honest')"
25,0.547305,egoistic,altruistic,0.80197746,0.25467247,"('egoistic', 'altruistic')"
26,0.28285843,hardhearted,benevolent,0.9239523,0.64109385,"('hardhearted', 'benevolent')"
27,0.4365608,hardhearted,softhearted,1.0370891,0.6005283,"('hardhearted', 'softhearted')"
28,0.34915575,disloyal,loyal,0.09913056,-0.25002518,"('disloyal', 'loyal')"
29,-1.3760197,unfair,fair,-0.6842241,0.6917956,"('unfair', 'fair')"
30,0.71820617,intolerant,tolerant,0.6925993,-0.02560687,"('intolerant', 'tolerant')"
31,0.093751006,evil,good,0.1337539,0.04000289,"('evil', 'good')"
32,1.3074423,unkind,kind,1.4252183,0.117776036,"('unkind', 'kind')"
33,-0.67008317,wrong,right,0.11358358,0.78366673,"('wrong', 'right')"
34,0.61160034,mean,honorable,0.32506877,-0.28653157,"('mean', 'honorable')"
35,-0.2784501,corrupt,incorrupt,-0.4117425,-0.1332924,"('corrupt', 'incorrupt')"
36,0.31917718,hostile,amicable,0.5702496,0.25107244,"('hostile', 'amicable')"
37,0.654906,fake,genuine,0.5205184,-0.13438755,"('fake', 'genuine')"
38,0.21005717,untruthful,truthful,0.2476211,0.037563935,"('untruthful', 'truthful')"
39,0.60365653,exploitative,cooperative,0.9606798,0.3570233,"('exploitative', 'cooperative')"
40,0.5095376,stingy,generous,0.103778094,-0.40575948,"('stingy', 'generous')"
41,0.498784,unforgiving,forgiving,0.14092556,-0.35785845,"('unforgiving', 'forgiving')"
42,0.40630698,unreliable,reliable,0.8500625,0.4437555,"('unreliable', 'reliable')"
43,0.6057831,irresponsible,responsible,0.88185513,0.27607203,"('irresponsible', 'responsible')"
