,Value_Male,0,1,Value_Female,female-male,tuple
0,0.64731556,unsociable,sociable,-0.08299593,-0.7303115,"('unsociable', 'sociable')"
1,1.6518719,unfriendly,friendly,2.065084,0.41321206,"('unfriendly', 'friendly')"
2,1.2875634,unlikable,likable,0.46407133,-0.8234921,"('unlikable', 'likable')"
3,0.47305354,repellent,pleasant,0.77358013,0.3005266,"('repellent', 'pleasant')"
4,-0.57158375,disliked,liked,-0.11125975,0.460324,"('disliked', 'liked')"
5,-0.20730776,distant,outgoing,0.2393632,0.44667095,"('distant', 'outgoing')"
6,-0.37920636,distant,open,0.15100473,0.5302111,"('distant', 'open')"
7,1.8934213,insensitive,sensitive,2.054765,0.1613437,"('insensitive', 'sensitive')"
8,0.9728849,unaffectionate,affectionate,1.4464957,0.47361076,"('unaffectionate', 'affectionate')"
9,0.73748934,unaffectionate,caring,1.4599564,0.72246706,"('unaffectionate', 'caring')"
10,1.9017562,unsympathetic,sympathetic,1.3349326,-0.5668236,"('unsympathetic', 'sympathetic')"
11,0.27408904,unhelpful,helpful,0.07915359,-0.19493544,"('unhelpful', 'helpful')"
12,1.062328,unsupportive,supportive,1.6122162,0.54988825,"('unsupportive', 'supportive')"
13,0.3807129,impolite,polite,0.28316972,-0.09754318,"('impolite', 'polite')"
14,-0.6508238,antisocial,social,-0.14443207,0.5063917,"('antisocial', 'social')"
15,0.0494323,boring,funny,0.02152707,-0.02790523,"('boring', 'funny')"
16,0.44613093,unpopular,popular,0.3648008,-0.08133012,"('unpopular', 'popular')"
17,-0.07418181,nasty,nice,0.330604,0.4047858,"('nasty', 'nice')"
18,0.54348826,disagreeable,welcoming,1.3034223,0.75993407,"('disagreeable', 'welcoming')"
19,0.14987023,inhospitable,hospitable,-0.06153526,-0.21140549,"('inhospitable', 'hospitable')"
20,-0.45825696,rough,thoughtful,-0.25687057,0.20138639,"('rough', 'thoughtful')"
21,1.2794797,immoral,moral,0.502146,-0.77733374,"('immoral', 'moral')"
22,0.29723746,untrustworthy,trustworthy,0.25968692,-0.03755054,"('untrustworthy', 'trustworthy')"
23,1.4663891,insincere,sincere,1.3651731,-0.10121596,"('insincere', 'sincere')"
24,1.8722134,dishonest,honest,1.6838795,-0.18833387,"('dishonest', 'honest')"
25,0.72437507,egoistic,altruistic,0.84030414,0.11592907,"('egoistic', 'altruistic')"
26,0.16404983,hardhearted,benevolent,0.6995884,0.53553855,"('hardhearted', 'benevolent')"
27,0.56942755,hardhearted,softhearted,1.5574684,0.98804086,"('hardhearted', 'softhearted')"
28,0.65323234,disloyal,loyal,0.34249446,-0.31073788,"('disloyal', 'loyal')"
29,-1.4371355,unfair,fair,-0.7712719,0.6658636,"('unfair', 'fair')"
30,1.0482742,intolerant,tolerant,0.90375316,-0.144521,"('intolerant', 'tolerant')"
31,-1.0703022,evil,good,-0.97182256,0.09847969,"('evil', 'good')"
32,2.1141415,unkind,kind,1.896528,-0.21761346,"('unkind', 'kind')"
33,-0.38894317,wrong,right,0.46888968,0.85783285,"('wrong', 'right')"
34,0.25490212,mean,honorable,0.11230296,-0.14259917,"('mean', 'honorable')"
35,-1.8491882,corrupt,incorrupt,-1.656143,0.19304526,"('corrupt', 'incorrupt')"
36,-0.1579573,hostile,amicable,0.20547786,0.36343515,"('hostile', 'amicable')"
37,0.92371315,fake,genuine,0.7307265,-0.19298667,"('fake', 'genuine')"
38,0.34969315,untruthful,truthful,0.37823978,0.028546631,"('untruthful', 'truthful')"
39,0.10511169,exploitative,cooperative,0.40594,0.3008283,"('exploitative', 'cooperative')"
40,0.7652012,stingy,generous,0.39512813,-0.37007308,"('stingy', 'generous')"
41,1.0987803,unforgiving,forgiving,0.66253626,-0.436244,"('unforgiving', 'forgiving')"
42,0.6079779,unreliable,reliable,0.8720212,0.26404327,"('unreliable', 'reliable')"
43,1.7061563,irresponsible,responsible,1.6708755,-0.035280704,"('irresponsible', 'responsible')"
44,-1.0150297,prejudiced,unprejudiced,-1.4255881,-0.41055846,"('prejudiced', 'unprejudiced')"
45,0.5339364,incompetent,competent,0.78199893,0.24806255,"('incompetent', 'competent')"
46,0.39422065,uncompetitive,competitive,0.47594944,0.081728786,"('uncompetitive', 'competitive')"
47,0.95082027,stupid,smart,0.61655813,-0.33426213,"('stupid', 'smart')"
48,1.7295773,unintelligent,intelligent,1.0832818,-0.64629555,"('unintelligent', 'intelligent')"
49,0.26565528,unable,able,1.1091717,0.84351647,"('unable', 'able')"
50,0.6267024,clumsy,skillful,0.8026234,0.17592096,"('clumsy', 'skillful')"
51,1.0029933,uneducated,educated,0.52040124,-0.4825921,"('uneducated', 'educated')"
52,-0.120169856,irrational,rational,-0.1592431,-0.03907325,"('irrational', 'rational')"
53,1.1401213,uncreative,creative,1.4709336,0.33081222,"('uncreative', 'creative')"
54,1.8951839,incapable,capable,1.0245708,-0.8706131,"('incapable', 'capable')"
55,0.5941568,incompetent,clever,0.52562845,-0.068528354,"('incompetent', 'clever')"
56,0.75034857,impractical,practical,1.133009,0.3826604,"('impractical', 'practical')"
