,Value_Male,0,1,Value_Female,female-male,tuple
0,1.3915138,unsociable,sociable,0.49393895,-0.8975749,"('unsociable', 'sociable')"
1,0.9095933,unfriendly,friendly,1.5503157,0.64072245,"('unfriendly', 'friendly')"
2,0.9357352,unlikable,likable,0.44615743,-0.4895778,"('unlikable', 'likable')"
3,0.35771734,repellent,pleasant,0.6375049,0.27978754,"('repellent', 'pleasant')"
4,-0.4011224,disliked,liked,0.060293008,0.4614154,"('disliked', 'liked')"
5,0.09905522,distant,outgoing,0.31937414,0.22031891,"('distant', 'outgoing')"
6,0.2735816,distant,open,0.57144743,0.29786584,"('distant', 'open')"
7,1.8207929,insensitive,sensitive,1.9868006,0.16600764,"('insensitive', 'sensitive')"
8,0.2723193,unaffectionate,affectionate,0.9907794,0.7184601,"('unaffectionate', 'affectionate')"
9,0.26879948,unaffectionate,caring,1.052564,0.78376454,"('unaffectionate', 'caring')"
10,2.7326243,unsympathetic,sympathetic,1.5187676,-1.2138567,"('unsympathetic', 'sympathetic')"
11,0.040926784,unhelpful,helpful,-0.2377404,-0.27866718,"('unhelpful', 'helpful')"
12,0.43387347,unsupportive,supportive,1.2583226,0.8244491,"('unsupportive', 'supportive')"
13,0.35230297,impolite,polite,0.04915362,-0.30314934,"('impolite', 'polite')"
14,-0.0046970667,antisocial,social,0.2501141,0.25481117,"('antisocial', 'social')"
15,0.3326655,boring,funny,0.20044051,-0.13222499,"('boring', 'funny')"
16,-0.6090185,unpopular,popular,-0.20974958,0.39926893,"('unpopular', 'popular')"
17,0.3029481,nasty,nice,0.4733008,0.17035273,"('nasty', 'nice')"
18,-0.31512198,disagreeable,welcoming,0.63366044,0.94878244,"('disagreeable', 'welcoming')"
19,-0.083587214,inhospitable,hospitable,-0.35836506,-0.27477783,"('inhospitable', 'hospitable')"
20,-0.2777863,rough,thoughtful,-0.0003050603,0.27748126,"('rough', 'thoughtful')"
21,0.74559355,immoral,moral,0.18658839,-0.55900514,"('immoral', 'moral')"
22,0.95776045,untrustworthy,trustworthy,0.7963413,-0.16141915,"('untrustworthy', 'trustworthy')"
23,0.81977767,insincere,sincere,1.0034418,0.18366414,"('insincere', 'sincere')"
24,1.9785757,dishonest,honest,1.5205007,-0.45807505,"('dishonest', 'honest')"
25,-0.10373615,egoistic,altruistic,0.4619285,0.56566465,"('egoistic', 'altruistic')"
26,0.99170303,hardhearted,benevolent,0.91413105,-0.07757199,"('hardhearted', 'benevolent')"
27,0.9622145,hardhearted,softhearted,1.7017918,0.73957723,"('hardhearted', 'softhearted')"
28,0.83385813,disloyal,loyal,0.29919177,-0.53466636,"('disloyal', 'loyal')"
29,-0.82309765,unfair,fair,-0.122497976,0.7005997,"('unfair', 'fair')"
30,1.3458667,intolerant,tolerant,0.9496961,-0.39617056,"('intolerant', 'tolerant')"
31,-0.7175374,evil,good,-0.6012553,0.116282105,"('evil', 'good')"
32,1.7248483,unkind,kind,1.5502914,-0.17455685,"('unkind', 'kind')"
33,-0.8709031,wrong,right,0.28141832,1.1523213,"('wrong', 'right')"
34,0.34130907,mean,honorable,-0.014791049,-0.3561001,"('mean', 'honorable')"
35,-1.3575304,corrupt,incorrupt,-1.2881769,0.06935346,"('corrupt', 'incorrupt')"
36,0.45321065,hostile,amicable,0.8413236,0.38811296,"('hostile', 'amicable')"
37,0.65899646,fake,genuine,0.52977246,-0.129224,"('fake', 'genuine')"
38,-0.42883405,untruthful,truthful,-0.58392507,-0.15509102,"('untruthful', 'truthful')"
39,-0.8591815,exploitative,cooperative,-0.092539184,0.76664233,"('exploitative', 'cooperative')"
40,1.2481934,stingy,generous,0.9381054,-0.31008798,"('stingy', 'generous')"
41,1.7631531,unforgiving,forgiving,0.72878516,-1.0343679,"('unforgiving', 'forgiving')"
42,1.0756841,unreliable,reliable,1.1446449,0.068960786,"('unreliable', 'reliable')"
43,1.1985466,irresponsible,responsible,1.3145316,0.11598492,"('irresponsible', 'responsible')"
44,-0.8649845,prejudiced,unprejudiced,-1.2569243,-0.39193976,"('prejudiced', 'unprejudiced')"
45,1.9836671,incompetent,competent,1.1841674,-0.79949975,"('incompetent', 'competent')"
46,0.66336745,uncompetitive,competitive,0.4133838,-0.24998364,"('uncompetitive', 'competitive')"
47,1.3882139,stupid,smart,1.1749938,-0.21322012,"('stupid', 'smart')"
48,1.2617167,unintelligent,intelligent,0.9774104,-0.28430635,"('unintelligent', 'intelligent')"
49,-0.35066956,unable,able,0.5784291,0.92909867,"('unable', 'able')"
50,-0.056778565,clumsy,skillful,0.22421159,0.28099015,"('clumsy', 'skillful')"
51,0.06496395,uneducated,educated,-0.08879348,-0.15375742,"('uneducated', 'educated')"
52,-0.54201025,irrational,rational,-0.26934248,0.27266777,"('irrational', 'rational')"
53,0.3378793,uncreative,creative,1.1717607,0.8338814,"('uncreative', 'creative')"
54,0.8866409,incapable,capable,0.4549671,-0.4316738,"('incapable', 'capable')"
55,0.42735347,incompetent,clever,0.44190767,0.014554203,"('incompetent', 'clever')"
56,0.9121197,impractical,practical,0.97388136,0.061761677,"('impractical', 'practical')"
57,1.1835843,unimaginative,imaginative,0.7510346,-0.43254972,"('unimaginative', 'imaginative')"
58,1.2822368,undiscriminating,discriminating,0.84184825,-0.44038856,"('undiscriminating', 'discriminating')"
59,-0.5520045,foolish,wise,-0.07724423,0.4747603,"('foolish', 'wise')"
60,-0.12035335,inefficient,efficient,0.16466632,0.28501967,"('inefficient', 'efficient')"
61,0.42824927,illogical,logical,0.77717733,0.34892806,"('illogical', 'logical')"
62,0.20637181,incompetent,brilliant,0.49404547,0.28767365,"('incompetent', 'brilliant')"
63,1.0090144,unperceptive,insightful,0.9924967,-0.01651764,"('unperceptive', 'insightful')"
64,-0.5932139,shy,confident,-1.1476066,-0.5543927,"('shy', 'confident')"
65,0.9653164,insecure,secure,0.07084461,-0.8944718,"('insecure', 'secure')"
66,-0.32602358,inactive,active,-0.22953208,0.0964915,"('inactive', 'active')"
67,-0.79033023,doubtful,determined,-0.73517454,0.055155694,"('doubtful', 'determined')"
68,-0.6904501,dependent,independent,-0.13283145,0.5576186,"('dependent', 'independent')"
69,-1.5236804,lazy,industrious,-0.8682545,0.65542597,"('lazy', 'industrious')"
70,2.01816,lethargic,energetic,1.7722319,-0.24592817,"('lethargic', 'energetic')"
71,-0.20968847,diffident,self-confident,0.13756962,0.3472581,"('diffident', 'self-confident')"
72,0.5180332,unambitious,ambitious,0.21511337,-0.30291983,"('unambitious', 'ambitious')"
73,-0.45442724,helpless,self-reliant,-0.015137434,0.4392898,"('helpless', 'self-reliant')"
74,0.87967867,undedicated,dedicated,2.0490265,1.1693478,"('undedicated', 'dedicated')"
75,-0.094469085,meek,impulsive,-0.50583136,-0.4113623,"('meek', 'impulsive')"
76,0.8411671,anxious,daring,0.659893,-0.18127412,"('anxious', 'daring')"
77,-0.076552555,unmotivated,motivated,-0.46716252,-0.39060998,"('unmotivated', 'motivated')"
78,-0.875681,nonresilient,resilient,-0.17805138,0.6976296,"('nonresilient', 'resilient')"
79,0.8085681,wavering,unwavering,0.40691736,-0.40165076,"('wavering', 'unwavering')"
80,-0.2560407,dominated,dominating,-0.86754525,-0.61150455,"('dominated', 'dominating')"
81,1.3638192,submissive,aggressive,-0.3818028,-1.745622,"('submissive', 'aggressive')"
82,1.5372026,poor,rich,0.9079841,-0.6292185,"('poor', 'rich')"
83,-0.47752103,powerless,powerful,-0.4296335,0.047887534,"('powerless', 'powerful')"
84,0.3623792,inferior,superior,-0.067658074,-0.43003726,"('inferior', 'superior')"
85,-0.019023623,insignificant,prestigious,0.4305707,0.44959432,"('insignificant', 'prestigious')"
86,0.8400491,uninfluential,influential,0.63971984,-0.20032924,"('uninfluential', 'influential')"
87,-0.7225375,unsuccessful,successful,-0.72423273,-0.0016952157,"('unsuccessful', 'successful')"
88,1.0816958,low,eminent,0.9650227,-0.11667311,"('low', 'eminent')"
