,Value_Male,0,1,Value_Female,female-male,tuple
0,0.1585998,unsociable,sociable,-0.4469375,-0.6055373,"('unsociable', 'sociable')"
1,1.604351,unfriendly,friendly,1.8006098,0.19625878,"('unfriendly', 'friendly')"
2,0.68141764,unlikable,likable,-0.0025957809,-0.6840134,"('unlikable', 'likable')"
3,0.13243084,repellent,pleasant,0.48732477,0.35489392,"('repellent', 'pleasant')"
4,-0.17632112,disliked,liked,0.046306632,0.22262776,"('disliked', 'liked')"
5,0.48577246,distant,outgoing,0.6283726,0.14260015,"('distant', 'outgoing')"
6,0.6648195,distant,open,0.7971602,0.13234073,"('distant', 'open')"
7,1.0769725,insensitive,sensitive,1.3406106,0.26363814,"('insensitive', 'sensitive')"
8,1.1285713,unaffectionate,affectionate,1.513631,0.3850597,"('unaffectionate', 'affectionate')"
9,0.90711963,unaffectionate,caring,1.4614335,0.5543139,"('unaffectionate', 'caring')"
10,0.7391668,unsympathetic,sympathetic,0.35534725,-0.38381955,"('unsympathetic', 'sympathetic')"
11,-0.13577689,unhelpful,helpful,-0.4166593,-0.28088242,"('unhelpful', 'helpful')"
12,0.26532888,unsupportive,supportive,1.0116748,0.7463459,"('unsupportive', 'supportive')"
13,0.008961193,impolite,polite,-0.076023,-0.08498419,"('impolite', 'polite')"
14,-0.25738248,antisocial,social,0.22301677,0.48039925,"('antisocial', 'social')"
15,0.46189478,boring,funny,0.50423145,0.042336673,"('boring', 'funny')"
16,-0.3038001,unpopular,popular,-0.30110815,0.0026919544,"('unpopular', 'popular')"
17,-0.0072685406,nasty,nice,0.23191643,0.23918498,"('nasty', 'nice')"
18,0.11893515,disagreeable,welcoming,0.9958676,0.87693244,"('disagreeable', 'welcoming')"
19,0.34225687,inhospitable,hospitable,-0.10537714,-0.447634,"('inhospitable', 'hospitable')"
20,-0.5676332,rough,thoughtful,-0.53102654,0.03660667,"('rough', 'thoughtful')"
21,0.18861814,immoral,moral,-0.048607264,-0.2372254,"('immoral', 'moral')"
22,0.36192974,untrustworthy,trustworthy,0.5966218,0.23469207,"('untrustworthy', 'trustworthy')"
23,0.83384293,insincere,sincere,0.96830416,0.13446122,"('insincere', 'sincere')"
24,1.3619262,dishonest,honest,1.30363,-0.058296204,"('dishonest', 'honest')"
25,0.9895704,egoistic,altruistic,1.1545445,0.1649741,"('egoistic', 'altruistic')"
26,0.6769915,hardhearted,benevolent,1.0741215,0.39712995,"('hardhearted', 'benevolent')"
27,0.90296113,hardhearted,softhearted,1.4521011,0.54914,"('hardhearted', 'softhearted')"
28,0.6795867,disloyal,loyal,0.1416017,-0.537985,"('disloyal', 'loyal')"
29,-1.1843758,unfair,fair,-0.39602217,0.78835356,"('unfair', 'fair')"
30,0.13393207,intolerant,tolerant,0.22653553,0.09260346,"('intolerant', 'tolerant')"
31,0.10328356,evil,good,0.025243904,-0.07803966,"('evil', 'good')"
32,1.4655442,unkind,kind,1.5341752,0.068630934,"('unkind', 'kind')"
33,-0.07477365,wrong,right,0.5312134,0.6059871,"('wrong', 'right')"
34,0.492823,mean,honorable,0.2074576,-0.2853654,"('mean', 'honorable')"
35,-0.7427883,corrupt,incorrupt,-0.8358834,-0.093095064,"('corrupt', 'incorrupt')"
36,0.46207786,hostile,amicable,0.56366295,0.10158509,"('hostile', 'amicable')"
37,1.0744662,fake,genuine,0.69558436,-0.37888187,"('fake', 'genuine')"
38,0.09075178,untruthful,truthful,-0.04420903,-0.13496082,"('untruthful', 'truthful')"
39,-0.08685679,exploitative,cooperative,0.38213167,0.46898845,"('exploitative', 'cooperative')"
40,0.9493344,stingy,generous,0.72627395,-0.22306043,"('stingy', 'generous')"
41,1.0354831,unforgiving,forgiving,0.5131616,-0.5223215,"('unforgiving', 'forgiving')"
42,-0.2072991,unreliable,reliable,0.30153993,0.508839,"('unreliable', 'reliable')"
43,0.60504454,irresponsible,responsible,0.74871886,0.14367431,"('irresponsible', 'responsible')"
44,-1.1828461,prejudiced,unprejudiced,-1.4793954,-0.29654932,"('prejudiced', 'unprejudiced')"
45,0.874386,incompetent,competent,0.7039802,-0.1704058,"('incompetent', 'competent')"
46,-0.45027393,uncompetitive,competitive,-0.42912242,0.021151513,"('uncompetitive', 'competitive')"
47,0.6050011,stupid,smart,0.3760262,-0.22897488,"('stupid', 'smart')"
48,0.17332476,unintelligent,intelligent,0.1764512,0.0031264424,"('unintelligent', 'intelligent')"
49,-0.74757004,unable,able,0.15422182,0.9017919,"('unable', 'able')"
50,0.1329939,clumsy,skillful,0.08689375,-0.046100155,"('clumsy', 'skillful')"
51,0.2291688,uneducated,educated,0.01421082,-0.21495798,"('uneducated', 'educated')"
52,0.33736154,irrational,rational,0.23646179,-0.100899756,"('irrational', 'rational')"
53,0.59466654,uncreative,creative,0.93692183,0.3422553,"('uncreative', 'creative')"
54,1.0580984,incapable,capable,0.40610895,-0.65198946,"('incapable', 'capable')"
55,0.08347966,incompetent,clever,0.27855635,0.19507669,"('incompetent', 'clever')"
56,-0.011637315,impractical,practical,0.49213952,0.50377685,"('impractical', 'practical')"
57,0.72129214,unimaginative,imaginative,0.27640733,-0.4448848,"('unimaginative', 'imaginative')"
58,1.0733076,undiscriminating,discriminating,0.62212986,-0.45117778,"('undiscriminating', 'discriminating')"
59,-0.024594245,foolish,wise,0.05522441,0.07981866,"('foolish', 'wise')"
60,-0.25629315,inefficient,efficient,0.27681822,0.53311133,"('inefficient', 'efficient')"
61,-0.6179276,illogical,logical,-0.1186594,0.4992682,"('illogical', 'logical')"
62,0.07442272,incompetent,brilliant,0.24087115,0.16644843,"('incompetent', 'brilliant')"
63,0.6252882,unperceptive,insightful,0.54452085,-0.08076733,"('unperceptive', 'insightful')"
64,-0.7339034,shy,confident,-1.2943983,-0.5604949,"('shy', 'confident')"
65,-0.025059186,insecure,secure,-0.6654768,-0.64041764,"('insecure', 'secure')"
66,-0.38821584,inactive,active,-0.50288683,-0.11467099,"('inactive', 'active')"
67,-1.0667863,doubtful,determined,-0.7524218,0.3143645,"('doubtful', 'determined')"
68,-0.42061874,dependent,independent,-0.1489675,0.27165124,"('dependent', 'independent')"
69,-0.87473017,lazy,industrious,-0.48321688,0.3915133,"('lazy', 'industrious')"
70,0.84263104,lethargic,energetic,0.940975,0.09834397,"('lethargic', 'energetic')"
71,-0.3577331,diffident,self-confident,0.1221713,0.4799044,"('diffident', 'self-confident')"
72,0.81566846,unambitious,ambitious,0.33856526,-0.4771032,"('unambitious', 'ambitious')"
73,0.50850374,helpless,self-reliant,0.427765,-0.08073872,"('helpless', 'self-reliant')"
74,0.5194601,undedicated,dedicated,1.6495017,1.1300416,"('undedicated', 'dedicated')"
75,0.62166166,meek,impulsive,-0.34930825,-0.9709699,"('meek', 'impulsive')"
76,-0.0210057,anxious,daring,0.052934617,0.073940314,"('anxious', 'daring')"
77,-0.8073939,unmotivated,motivated,-1.2259567,-0.41856277,"('unmotivated', 'motivated')"
78,-1.1653106,nonresilient,resilient,-0.49388787,0.6714227,"('nonresilient', 'resilient')"
79,0.5525044,wavering,unwavering,0.41981792,-0.1326865,"('wavering', 'unwavering')"
80,-0.56183916,dominated,dominating,-1.0263749,-0.46453577,"('dominated', 'dominating')"
81,0.38516334,submissive,aggressive,-0.96182525,-1.3469886,"('submissive', 'aggressive')"
82,1.31647,poor,rich,0.6251728,-0.69129723,"('poor', 'rich')"
83,-0.9421561,powerless,powerful,-0.6686366,0.27351946,"('powerless', 'powerful')"
84,-0.41106725,inferior,superior,-0.47904247,-0.06797522,"('inferior', 'superior')"
85,0.5988288,insignificant,prestigious,0.6387908,0.039961994,"('insignificant', 'prestigious')"
86,0.546324,uninfluential,influential,0.7275547,0.18123066,"('uninfluential', 'influential')"
87,0.15509075,unsuccessful,successful,-0.3424742,-0.49756494,"('unsuccessful', 'successful')"
88,0.63355863,low,eminent,0.4193048,-0.21425384,"('low', 'eminent')"
