,Value_Male,0,1,Value_Female,female-male,tuple
0,-0.010259289,unsociable,sociable,-0.4364385,-0.4261792,"('unsociable', 'sociable')"
1,1.6217046,unfriendly,friendly,2.048244,0.42653942,"('unfriendly', 'friendly')"
2,0.93007696,unlikable,likable,0.16804582,-0.76203114,"('unlikable', 'likable')"
3,0.48403007,repellent,pleasant,0.60807407,0.124044,"('repellent', 'pleasant')"
4,-0.40998793,disliked,liked,-0.016102966,0.39388496,"('disliked', 'liked')"
5,0.38050663,distant,outgoing,0.7731228,0.39261615,"('distant', 'outgoing')"
6,0.3988793,distant,open,0.8792161,0.4803368,"('distant', 'open')"
7,1.056154,insensitive,sensitive,1.3695393,0.31338525,"('insensitive', 'sensitive')"
8,0.8606313,unaffectionate,affectionate,1.4678806,0.6072493,"('unaffectionate', 'affectionate')"
9,0.7979179,unaffectionate,caring,1.6501443,0.85222644,"('unaffectionate', 'caring')"
10,0.8464625,unsympathetic,sympathetic,0.5966967,-0.24976581,"('unsympathetic', 'sympathetic')"
11,0.33657044,unhelpful,helpful,0.17953867,-0.15703177,"('unhelpful', 'helpful')"
12,-0.107532926,unsupportive,supportive,0.84540695,0.95293987,"('unsupportive', 'supportive')"
13,0.26932922,impolite,polite,0.14613968,-0.12318954,"('impolite', 'polite')"
14,-1.0029142,antisocial,social,-0.2124978,0.79041636,"('antisocial', 'social')"
15,0.65347326,boring,funny,0.39557427,-0.257899,"('boring', 'funny')"
16,0.9942714,unpopular,popular,0.5640857,-0.43018568,"('unpopular', 'popular')"
17,0.25423962,nasty,nice,0.47230077,0.21806115,"('nasty', 'nice')"
18,0.5993709,disagreeable,welcoming,1.5448229,0.94545203,"('disagreeable', 'welcoming')"
19,0.5571327,inhospitable,hospitable,-0.08941285,-0.6465456,"('inhospitable', 'hospitable')"
20,-0.58544296,rough,thoughtful,-0.52002907,0.06541389,"('rough', 'thoughtful')"
21,0.48813766,immoral,moral,-0.011678582,-0.49981624,"('immoral', 'moral')"
22,-0.056004547,untrustworthy,trustworthy,0.13932286,0.1953274,"('untrustworthy', 'trustworthy')"
23,1.1909463,insincere,sincere,1.2651973,0.07425094,"('insincere', 'sincere')"
24,1.477455,dishonest,honest,1.6829363,0.20548129,"('dishonest', 'honest')"
25,0.68951994,egoistic,altruistic,0.9105719,0.22105193,"('egoistic', 'altruistic')"
26,-0.17772259,hardhearted,benevolent,0.6698727,0.8475953,"('hardhearted', 'benevolent')"
27,0.25479758,hardhearted,softhearted,1.1154543,0.86065674,"('hardhearted', 'softhearted')"
28,0.44423103,disloyal,loyal,0.2617168,-0.18251422,"('disloyal', 'loyal')"
29,-1.6826313,unfair,fair,-0.9514268,0.73120445,"('unfair', 'fair')"
30,0.6177495,intolerant,tolerant,0.7286837,0.1109342,"('intolerant', 'tolerant')"
31,-0.35624656,evil,good,-0.32379487,0.03245169,"('evil', 'good')"
32,1.8796129,unkind,kind,1.7365068,-0.1431061,"('unkind', 'kind')"
33,-0.16784936,wrong,right,0.5602664,0.72811574,"('wrong', 'right')"
34,0.6491622,mean,honorable,0.39232194,-0.25684023,"('mean', 'honorable')"
35,-0.44601384,corrupt,incorrupt,-0.691086,-0.24507216,"('corrupt', 'incorrupt')"
36,0.40846896,hostile,amicable,0.6029604,0.19449145,"('hostile', 'amicable')"
37,0.43167105,fake,genuine,0.31036663,-0.12130442,"('fake', 'genuine')"
38,0.3074177,untruthful,truthful,0.48360246,0.17618477,"('untruthful', 'truthful')"
39,0.3507457,exploitative,cooperative,0.73705596,0.38631025,"('exploitative', 'cooperative')"
40,-0.007767502,stingy,generous,-0.09544774,-0.087680236,"('stingy', 'generous')"
41,0.47061783,unforgiving,forgiving,0.24097006,-0.22964777,"('unforgiving', 'forgiving')"
42,0.25259814,unreliable,reliable,0.7466982,0.49410006,"('unreliable', 'reliable')"
43,0.6533316,irresponsible,responsible,0.99964356,0.346312,"('irresponsible', 'responsible')"
44,-0.8050576,prejudiced,unprejudiced,-1.2080789,-0.40302128,"('prejudiced', 'unprejudiced')"
45,0.04129888,incompetent,competent,0.22535941,0.18406053,"('incompetent', 'competent')"
46,-0.52723575,uncompetitive,competitive,-0.4353739,0.091861844,"('uncompetitive', 'competitive')"
47,0.75190014,stupid,smart,0.43690366,-0.31499648,"('stupid', 'smart')"
48,0.45227152,unintelligent,intelligent,0.18995146,-0.26232004,"('unintelligent', 'intelligent')"
49,-0.2956037,unable,able,0.5676414,0.86324507,"('unable', 'able')"
50,0.8483442,clumsy,skillful,0.5968027,-0.2515415,"('clumsy', 'skillful')"
51,0.42168322,uneducated,educated,0.122446775,-0.29923645,"('uneducated', 'educated')"
52,0.42520627,irrational,rational,0.48184326,0.05663699,"('irrational', 'rational')"
53,1.19345,uncreative,creative,1.4776977,0.28424776,"('uncreative', 'creative')"
54,1.9269844,incapable,capable,1.0603962,-0.86658823,"('incapable', 'capable')"
55,-0.20345886,incompetent,clever,0.14827079,0.35172963,"('incompetent', 'clever')"
56,0.5381536,impractical,practical,1.000633,0.4624794,"('impractical', 'practical')"
57,0.53378385,unimaginative,imaginative,0.20866571,-0.32511812,"('unimaginative', 'imaginative')"
58,0.33676332,undiscriminating,discriminating,0.16867025,-0.16809307,"('undiscriminating', 'discriminating')"
59,0.41876298,foolish,wise,0.25792658,-0.1608364,"('foolish', 'wise')"
60,-0.3694117,inefficient,efficient,0.3518789,0.7212906,"('inefficient', 'efficient')"
61,-0.61268437,illogical,logical,-0.21412732,0.39855707,"('illogical', 'logical')"
62,0.19807518,incompetent,brilliant,0.35518417,0.15710899,"('incompetent', 'brilliant')"
63,0.5545702,unperceptive,insightful,0.50617844,-0.04839176,"('unperceptive', 'insightful')"
64,-1.0649651,shy,confident,-1.5728812,-0.5079161,"('shy', 'confident')"
65,-0.10039095,insecure,secure,-0.7890074,-0.68861645,"('insecure', 'secure')"
66,-0.12437418,inactive,active,-0.2225432,-0.098169014,"('inactive', 'active')"
67,-0.9945205,doubtful,determined,-0.578066,0.4164545,"('doubtful', 'determined')"
68,-0.0343118,dependent,independent,-0.18137771,-0.14706591,"('dependent', 'independent')"
69,-0.8969731,lazy,industrious,-0.13918781,0.75778526,"('lazy', 'industrious')"
70,0.82270527,lethargic,energetic,1.0885721,0.26586688,"('lethargic', 'energetic')"
71,-0.07954762,diffident,self-confident,0.19422828,0.2737759,"('diffident', 'self-confident')"
72,0.6285719,unambitious,ambitious,0.12641451,-0.50215745,"('unambitious', 'ambitious')"
73,0.5315935,helpless,self-reliant,0.31216535,-0.21942815,"('helpless', 'self-reliant')"
74,-0.11437446,undedicated,dedicated,1.2727535,1.3871279,"('undedicated', 'dedicated')"
75,0.39433873,meek,impulsive,-0.6106775,-1.0050162,"('meek', 'impulsive')"
76,0.5647469,anxious,daring,0.3364187,-0.22832823,"('anxious', 'daring')"
77,-0.13983814,unmotivated,motivated,-0.54698354,-0.40714538,"('unmotivated', 'motivated')"
78,-1.3117418,nonresilient,resilient,-0.63573307,0.67600876,"('nonresilient', 'resilient')"
79,0.9370377,wavering,unwavering,0.52062523,-0.41641247,"('wavering', 'unwavering')"
80,-0.70037544,dominated,dominating,-1.254684,-0.55430853,"('dominated', 'dominating')"
81,1.0340352,submissive,aggressive,-0.67749435,-1.7115295,"('submissive', 'aggressive')"
82,1.8239794,poor,rich,0.8239646,-1.0000148,"('poor', 'rich')"
83,-0.9524708,powerless,powerful,-0.6418692,0.3106016,"('powerless', 'powerful')"
84,0.107432455,inferior,superior,-0.30490285,-0.4123353,"('inferior', 'superior')"
85,1.7646575,insignificant,prestigious,1.6213443,-0.14331317,"('insignificant', 'prestigious')"
86,0.109093115,uninfluential,influential,0.65227014,0.543177,"('uninfluential', 'influential')"
87,0.2711783,unsuccessful,successful,-0.38004214,-0.65122044,"('unsuccessful', 'successful')"
88,1.7661135,low,eminent,1.2312748,-0.5348387,"('low', 'eminent')"
