,Value_Male,0,1,Value_Female,female-male,tuple
0,0.22758313,unsociable,sociable,-0.29237297,-0.5199561,"('unsociable', 'sociable')"
1,1.9273144,unfriendly,friendly,2.0617115,0.13439715,"('unfriendly', 'friendly')"
2,0.7749453,unlikable,likable,0.17780402,-0.59714127,"('unlikable', 'likable')"
3,0.0424833,repellent,pleasant,0.5818417,0.5393584,"('repellent', 'pleasant')"
4,-0.06268096,disliked,liked,0.24616173,0.3088427,"('disliked', 'liked')"
5,0.6342259,distant,outgoing,0.788045,0.15381908,"('distant', 'outgoing')"
6,0.8386352,distant,open,0.9312525,0.09261727,"('distant', 'open')"
7,1.1119025,insensitive,sensitive,1.4134685,0.301566,"('insensitive', 'sensitive')"
8,1.2446377,unaffectionate,affectionate,1.4436094,0.19897163,"('unaffectionate', 'affectionate')"
9,1.0185342,unaffectionate,caring,1.4433898,0.4248556,"('unaffectionate', 'caring')"
10,0.5538093,unsympathetic,sympathetic,0.1544242,-0.3993851,"('unsympathetic', 'sympathetic')"
11,-0.1576452,unhelpful,helpful,-0.3874237,-0.2297785,"('unhelpful', 'helpful')"
12,0.44766536,unsupportive,supportive,1.0439606,0.59629524,"('unsupportive', 'supportive')"
13,-0.18303923,impolite,polite,-0.15520386,0.02783537,"('impolite', 'polite')"
14,-0.50441074,antisocial,social,0.20061626,0.705027,"('antisocial', 'social')"
15,0.30511442,boring,funny,0.43207198,0.12695757,"('boring', 'funny')"
16,-0.11225932,unpopular,popular,-0.08281539,0.029443935,"('unpopular', 'popular')"
17,-0.13907748,nasty,nice,0.22367576,0.36275324,"('nasty', 'nice')"
18,0.43628737,disagreeable,welcoming,1.2158843,0.7795969,"('disagreeable', 'welcoming')"
19,0.33115077,inhospitable,hospitable,-0.048127413,-0.37927818,"('inhospitable', 'hospitable')"
20,-0.592535,rough,thoughtful,-0.38479796,0.20773706,"('rough', 'thoughtful')"
21,0.24438363,immoral,moral,-0.040165417,-0.28454906,"('immoral', 'moral')"
22,0.49654937,untrustworthy,trustworthy,0.84872276,0.3521734,"('untrustworthy', 'trustworthy')"
23,0.83361465,insincere,sincere,1.0058721,0.17225748,"('insincere', 'sincere')"
24,1.6458995,dishonest,honest,1.440544,-0.20535553,"('dishonest', 'honest')"
25,1.3842037,egoistic,altruistic,1.5806048,0.19640112,"('egoistic', 'altruistic')"
26,0.61006284,hardhearted,benevolent,0.98089445,0.3708316,"('hardhearted', 'benevolent')"
27,1.0668353,hardhearted,softhearted,1.635705,0.5688697,"('hardhearted', 'softhearted')"
28,0.72718954,disloyal,loyal,0.24721947,-0.47997007,"('disloyal', 'loyal')"
29,-1.0599923,unfair,fair,-0.30456382,0.7554285,"('unfair', 'fair')"
30,0.2853507,intolerant,tolerant,0.3124053,0.027054578,"('intolerant', 'tolerant')"
31,0.16557363,evil,good,0.1512571,-0.014316529,"('evil', 'good')"
32,1.6216869,unkind,kind,1.4744835,-0.14720345,"('unkind', 'kind')"
33,-0.07194874,wrong,right,0.54615295,0.6181017,"('wrong', 'right')"
34,0.3594707,mean,honorable,0.029749654,-0.32972103,"('mean', 'honorable')"
35,-0.7047932,corrupt,incorrupt,-0.70002717,0.004766047,"('corrupt', 'incorrupt')"
36,0.4161258,hostile,amicable,0.55240816,0.13628235,"('hostile', 'amicable')"
37,1.0599288,fake,genuine,0.6641665,-0.39576226,"('fake', 'genuine')"
38,0.18050483,untruthful,truthful,0.002843488,-0.17766134,"('untruthful', 'truthful')"
39,0.31122705,exploitative,cooperative,0.6458153,0.33458826,"('exploitative', 'cooperative')"
