,average_male,0,1,average_female,female-male,tuple
6,6.9935217,liked,disliked,6.9449534,-0.04856825,"('liked', 'disliked')"
75,6.9313645,confident,shy,6.8585815,-0.07278299,"('confident', 'shy')"
27,-6.708246,sincere,insincere,-6.7868423,-0.078596115,"('sincere', 'insincere')"
95,-6.1506224,rich,poor,-6.363369,-0.21274662,"('rich', 'poor')"
53,-5.2892904,smart,stupid,-5.3553066,-0.0660162,"('smart', 'stupid')"
40,-4.5798464,honorable,mean,-4.861667,-0.28182077,"('honorable', 'mean')"
66,2.982417,imaginative,unimaginative,2.9229593,-0.05945778,"('imaginative', 'unimaginative')"
48,2.9156737,reliable,unreliable,2.708766,-0.20690775,"('reliable', 'unreliable')"
13,-2.9033332,helpful,unhelpful,-2.9936676,-0.090334415,"('helpful', 'unhelpful')"
86,2.8544452,self-reliant,helpless,2.8008916,-0.05355358,"('self-reliant', 'helpless')"
38,-2.5033257,kind,unkind,-2.226538,0.27678776,"('kind', 'unkind')"
58,-2.3714924,able,clumsy,-2.4101512,-0.038658857,"('able', 'clumsy')"
37,2.359121,good,evil,2.5446956,0.18557453,"('good', 'evil')"
3,2.2940087,likable,unlikable,2.088634,-0.20537472,"('likable', 'unlikable')"
46,2.260728,generous,stingy,2.1860063,-0.074721575,"('generous', 'stingy')"
81,2.2031744,industrious,lazy,2.119345,-0.0838294,"('industrious', 'lazy')"
78,2.1900563,active,inactive,1.7852194,-0.4048369,"('active', 'inactive')"
34,-2.0350256,loyal,disloyal,-1.7962215,0.2388041,"('loyal', 'disloyal')"
28,-1.9601789,honest,dishonest,-1.9927577,-0.032578826,"('honest', 'dishonest')"
1,-1.7251191,friendly,unfriendly,-1.5701901,0.15492904,"('friendly', 'unfriendly')"
32,-1.6821866,benevolent,hardhearted,-1.3891983,0.2929883,"('benevolent', 'hardhearted')"
11,-1.6626096,caring,unaffectionate,-1.6830903,-0.020480752,"('caring', 'unaffectionate')"
14,1.6065958,supportive,unsupportive,1.3444277,-0.26216805,"('supportive', 'unsupportive')"
36,-1.536415,tolerant,intolerant,-1.6166904,-0.08027542,"('tolerant', 'intolerant')"
88,1.5291522,impulsive,meek,1.4261115,-0.103040695,"('impulsive', 'meek')"
63,-1.4691468,capable,incapable,-1.5567641,-0.08761728,"('capable', 'incapable')"
41,1.462813,incorrupt,corrupt,1.5886393,0.12582624,"('incorrupt', 'corrupt')"
50,1.4422113,unprejudiced,prejudiced,1.4651084,0.022897124,"('unprejudiced', 'prejudiced')"
70,1.3989465,wise,unwise,1.4350395,0.036092997,"('wise', 'unwise')"
29,-1.3324192,honest,immoral,-1.5479834,-0.21556425,"('honest', 'immoral')"
82,1.2947977,industrious,meek,1.4106268,0.11582911,"('industrious', 'meek')"
101,-1.2827396,successful,unsuccessful,-1.2721134,0.010626197,"('successful', 'unsuccessful')"
35,1.2428875,fair,unfair,1.5263208,0.28343332,"('fair', 'unfair')"
56,1.1854932,intelligent,dumb,1.1075692,-0.07792401,"('intelligent', 'dumb')"
33,-1.1631756,softhearted,hardhearted,-0.98174584,0.18142974,"('softhearted', 'hardhearted')"
49,-1.1513255,responsible,irresponsible,-1.3305496,-0.17922413,"('responsible', 'irresponsible')"
45,-1.1279664,cooperative,exploitative,-1.1515673,-0.023600936,"('cooperative', 'exploitative')"
73,-1.1043667,brilliant,incompetent,-1.4619257,-0.35755908,"('brilliant', 'incompetent')"
102,-1.0986768,eminent,low,-1.079637,0.01903975,"('eminent', 'low')"
18,-1.0891294,social,asocial,-1.00795,0.0811795,"('social', 'asocial')"
42,1.0760946,amicable,hostile,1.2599282,0.1838336,"('amicable', 'hostile')"
71,-1.0690852,efficient,inefficient,-1.2888616,-0.21977639,"('efficient', 'inefficient')"
