,Bristol_male,Bristol_female,tuple,Myers_male,Myers_female,Squibb_male,Squibb_female,average_male,average_female,female-male
30,-3.6330876,-3.4858181,"('smart', 'stupid')",-4.173643,-4.3737097,-1.0390079,-0.8654436,-2.948579470316569,-2.908323605855306,0.040255864461262725
50,-3.4546695,-3.4270058,"('rich', 'poor')",-4.7893476,-5.488655,-1.2080145,-1.3645444,-3.150677045186361,-3.4267349243164062,-0.2760578791300454
1,-3.0599635,-2.869506,"('friendly', 'unfriendly')",-2.46462,-2.1700506,-0.26576427,-0.3431427,-1.9301160176595051,-1.794233004252116,0.13588301340738917
35,-2.7175105,-2.541613,"('creative', 'uncreative')",-0.6509805,-0.4408325,0.2070145,0.24677956,-1.0538254578908284,-0.9118887583414713,0.14193669954935706
3,2.5553708,2.4451861,"('liked', 'disliked')",5.14312,5.451557,2.1424289,2.3058968,3.2803064982096353,3.4008801778157554,0.12057367960612009
28,2.500062,2.3118718,"('unprejudiced', 'prejudiced')",1.8614819,1.7392664,-0.22776811,-0.1533438,1.3779252370198567,1.2992647488911946,-0.07866048812866211
5,-1.8485491,-1.7130738,"('helpful', 'unhelpful')",-2.6411366,-2.731093,0.3301122,0.38921613,-1.3865246772766113,-1.3516502380371094,0.03487443923950195
57,1.6504377,1.7035615,"('conservative', 'liberal')",0.65972507,0.5799035,0.62278533,0.5234376,0.9776493708292643,0.9356341361999512,-0.042015234629313114
38,-1.6138465,-1.5913023,"('discriminating', 'undiscriminating')",-0.09382846,-0.106060326,0.4424807,0.5691711,-0.421731432278951,-0.37606386343638104,0.04566756884256995
48,-1.4868345,-1.3960533,"('dedicated', 'undedicated')",-0.72707623,-0.6534112,-0.40096658,-0.30346805,-0.871625820795695,-0.7843108177185059,0.08731500307718909
26,1.4195932,1.2318959,"('reliable', 'unreliable')",2.793496,2.8694444,0.9259133,0.7848435,1.713000774383545,1.628727912902832,-0.08427286148071289
14,-1.4088163,-1.3550065,"('honest', 'dishonest')",-1.3458164,-1.4578116,0.35255283,0.40858194,-0.8006932735443115,-0.801412026087443,-0.0007187525431314734
53,-1.2103152,-0.96307397,"('influential', 'uninfluential')",-0.8346219,-0.6015431,1.1386124,1.1517127,-0.30210824807484943,-0.1376348336537679,0.16447341442108152
17,-1.192471,-1.2135434,"('tolerant', 'intolerant')",-1.4028358,-1.4558586,0.0007329583,0.1881077,-0.8648579915364584,-0.8270981311798096,0.0377598603566488
4,-1.1303885,-1.1733445,"('sensitive', 'insensitive')",-1.2249957,-1.457195,1.5054369,1.3927606,-0.28331581751505536,-0.41259292761484784,-0.12927711009979248
33,-0.88739634,-0.6783358,"('educated', 'uneducated')",-1.1589203,-1.0786622,0.69871455,0.64813113,-0.44920070966084796,-0.369622270266215,0.07957843939463294
19,-0.8740796,-0.73197085,"('kind', 'unkind')",-1.2257972,-1.1694597,0.17632158,0.26928842,-0.6411850849787394,-0.5440473953882853,0.0971376895904541
29,-0.8691342,-0.88565636,"('competent', 'incompetent')",-0.096658885,-0.33479112,1.0046043,1.1803622,0.01293708880742391,-0.013361771901448568,-0.02629886070887248
8,-0.82998705,-0.6503198,"('popular', 'unpopular')",0.079218164,0.10357353,-0.20875755,-0.48721147,-0.3198421398798625,-0.34465257326761883,-0.024810433387756348
31,-0.8141136,-0.7033386,"('intelligent', 'unintelligent')",-0.64594954,-0.6989896,1.2736576,0.990926,-0.06213521957397461,-0.13713407516479492,-0.07499885559082031
27,-0.73695207,-0.7657794,"('responsible', 'irresponsible')",-0.84183943,-0.98108876,0.9399869,0.9377639,-0.21293487151463827,-0.26970140139261883,-0.05676652987798056
54,-0.73447007,-0.70740926,"('successful', 'unsuccessful')",-0.16874048,-0.41306257,-0.25363183,0.038021356,-0.3856141169865926,-0.3608168363571167,0.024797280629475893
25,-0.719864,-0.7050046,"('forgiving', 'unforgiving')",-1.0782512,-0.9577326,1.0825973,1.1929134,-0.23850599924723306,-0.1566079060236613,0.08189809322357178
7,0.70998377,0.8367692,"('polite', 'impolite')",0.33644325,0.41090333,0.8052964,0.9707893,0.6172411441802979,0.7394873301188151,0.12224618593851722
56,0.7089262,0.79488873,"('conventional', 'unconventional')",0.5404733,0.50114363,0.4667476,0.29294088,0.5720490217208862,0.5296577612559,-0.0423912604649862
21,0.6983777,0.83866787,"('incorrupt', 'corrupt')",1.109547,1.3564105,-2.114743,-2.0633307,-0.10227274894714355,0.043915907541910805,0.14618865648905435
36,-0.6891488,-0.60862434,"('capable', 'incapable')",-1.3521845,-1.4818432,0.07529808,0.04599964,-0.6553450425465902,-0.6814893086751302,-0.02614426612854004
15,-0.6646404,-0.40594444,"('loyal', 'disloyal')",-1.2599864,-1.1914028,0.23729901,0.5192412,-0.5624426205952963,-0.3593686819076538,0.20307393868764245
49,0.66210717,0.60470957,"('motivated', 'unmotivated')",0.35037506,0.124478996,1.3806282,1.1259141,0.7977034250895182,0.6183675527572632,-0.179335872332255
41,0.6584697,0.39924908,"('confident', 'shy')",0.9946784,0.92154133,-0.45678818,-0.626175,0.39878662427266437,0.23153847455978394,-0.16724814971288043
55,-0.6463667,-0.27950987,"('conventional', 'unconventional')",-0.753315,-0.5092307,-0.19661027,-0.025836542,-0.532097339630127,-0.27152568101882935,0.2605716586112976
39,-0.64133376,-0.52376723,"('wise', 'foolish')",-0.708508,-0.40270472,-0.776559,-0.797468,-0.7088003158569336,-0.5746466318766276,0.13415368398030603
37,-0.5968424,-0.80273,"('practical', 'impractical')",-0.20698947,-0.44189113,0.40974844,0.40009958,-0.13136114676793417,-0.2815071940422058,-0.15014604727427164
24,0.58010507,0.7853539,"('generous', 'stingy')",1.3992891,1.8132955,1.49826,1.5953404,1.1592180728912354,1.3979965845743816,0.23877851168314623
47,-0.5591214,-0.6783292,"('ambitious', 'unambitious')",0.73084074,0.5895118,1.8050047,1.8597744,0.6589080492655436,0.5903189977010092,-0.06858905156453443
0,-0.53634214,-0.41101205,"('sociable', 'unsociable')",-0.46225727,-0.21138859,1.024004,1.2086686,0.008468190828959147,0.19542264938354492,0.18695445855458578
9,0.53062207,0.48696887,"('nice', 'nasty')",0.12935644,0.20534456,0.20813197,0.09409192,0.28937015930811566,0.262135108311971,-0.02723505099614465
6,-0.5305561,-0.5815454,"('supportive', 'unsupportive')",0.25995183,0.37890005,1.8208202,1.5675979,0.5167386531829834,0.454984188079834,-0.061754465103149414
23,0.51924974,0.37697306,"('truthful', 'untruthful')",1.011681,0.98349226,1.933512,2.095015,1.1548142433166504,1.1518267790476482,-0.0029874642690022046
40,-0.49318394,-0.2729985,"('logical', 'illogical')",-0.21644929,-0.059901834,0.49681658,0.61262804,-0.07093888521194458,0.09324256579081218,0.16418145100275677
20,-0.4562591,-0.33604473,"('right', 'wrong')",-0.047353208,0.2393053,-0.31830952,-0.35877922,-0.2739739418029785,-0.15183955430984497,0.12213438749313354
46,-0.40137988,-0.43372706,"('energetic', 'lethargic')",-0.32741225,-0.30772126,0.45783412,0.58236456,-0.09031933546066284,-0.05302790800730387,0.03729142745335897
45,0.40053287,0.41948703,"('independent', 'dependent')",0.4096061,0.44244605,0.03182549,-0.065775275,0.28065480788548786,0.2653859456380208,-0.015268862247467041
44,0.3741138,0.2725975,"('active', 'inactive')",1.6461681,1.4892886,-0.24912855,-0.73631805,0.5903844038645426,0.3418560028076172,-0.24852840105692542
34,-0.36104,-0.16261537,"('rational', 'irrational')",-0.12635332,0.20223232,-0.05040577,-0.029687598,-0.17926637331644693,0.0033097813526789346,0.18257615466912586
13,-0.35884047,-0.41659766,"('sincere', 'insincere')",-0.21289894,-0.3596031,1.5177029,1.7587639,0.3153211673100789,0.3275210460027059,0.012199878692626953
16,0.304274,0.32918108,"('fair', 'unfair')",0.7685175,0.94522464,-0.07625644,-0.1107544,0.33217833439509076,0.3878837823867798,0.05570544799168903
52,-0.3005898,-0.24927118,"('superior', 'inferior')",-1.0391197,-0.9399518,-0.6282365,-0.53348213,-0.6559820175170898,-0.5742350419362386,0.0817469755808512
2,-0.20157784,-0.14823402,"('likable', 'unlikable')",-0.028990822,-0.08997393,0.7451181,0.85808444,0.17151647806167603,0.20662550131479898,0.035109023253122956
22,-0.19931245,-0.056390524,"('amicable', 'hostile')",-0.030409306,0.26652738,-0.3794582,-0.48015785,-0.20305999120076498,-0.09000699718793233,0.11305299401283266
51,-0.17244639,-0.21181054,"('powerful', 'powerless')",0.10931602,0.180767,0.107982576,0.16482884,0.014950737357139587,0.044595097502072654,0.029644360144933067
18,-0.16009164,-0.09270489,"('good', 'evil')",0.75749826,1.0332913,-0.8616659,-1.1550832,-0.08808642625808716,-0.07149891058603923,0.01658751567204793
42,-0.13928325,-0.21651323,"('secure', 'insecure')",0.5513309,0.3426889,0.6599611,0.7651696,0.35733628273010254,0.2971150875091553,-0.060221195220947266
12,-0.10698147,-0.1725463,"('trustworthy', 'untrustworthy')",0.49139923,0.6186184,0.67312014,1.0097083,0.3525126377741496,0.48526012897491455,0.13274749120076496
32,-0.043007255,-0.15784663,"('able', 'unable')",-0.3419898,-0.57267416,0.13982108,-0.0396346,-0.08172531922658284,-0.2567184567451477,-0.17499313751856488
10,0.029584408,0.20181525,"('hospitable', 'inhospitable')",-0.016249835,0.0302549,-0.34250042,-0.7214714,-0.10972194870313008,-0.1631337602933248,-0.053411811590194716
11,-0.0068908483,-0.11935751,"('moral', 'immoral')",-0.76751363,-1.0257658,1.37099,1.1741195,0.1988618572552999,0.009665409723917643,-0.18919644753138226
43,0.0066297054,0.12213734,"('active', 'inactive')",-0.008013003,0.39490443,-0.84787637,-0.69567263,-0.28308655818303424,-0.059543609619140625,0.22354294856389362
