,Broadridge_male,Broadridge_female,tuple,Financial_male,Financial_female,Solutions_male,Solutions_female,average_male,average_female,female-male
75,3.4592013,3.3582811,"('confident', 'shy')",4.0838094,3.9548957,5.621297,5.634843,4.3881025,4.3160067,-0.0720958
95,-2.1821747,-2.2928915,"('rich', 'poor')",-4.2198286,-4.2361197,-4.336054,-4.4239855,-3.5793524,-3.6509991,-0.0716467
68,-2.0649848,-2.3039231,"('clever', 'inept')",-1.0656824,-1.1933141,-1.0457923,-1.2063112,-1.3921531,-1.5678495,-0.1756964
27,-1.9101864,-1.8926194,"('sincere', 'insincere')",-4.6047454,-4.4910336,-6.275696,-6.313545,-4.2635425,-4.2323993,0.0311432
104,-1.843355,-1.6282296,"('conventional', 'unconventional')",-1.4212723,-1.1934612,-0.99257207,-0.8547394,-1.4190664,-1.2254767,0.1935897
53,-1.7233683,-1.6540588,"('smart', 'stupid')",-4.1639333,-4.184695,-4.6192884,-4.7228856,-3.5021966,-3.5205466,-0.01835
94,1.6655765,1.488565,"('aggressive', 'submissive')",-0.04404211,-0.27525866,0.51769614,0.21734242,0.7130768,0.4768829,-0.2361939
40,-1.6644042,-1.8205577,"('honorable', 'mean')",-3.7014008,-3.7296581,-4.2516327,-4.4156313,-3.2058125,-3.321949,-0.1161365
90,1.6449057,1.3688552,"('motivated', 'unmotivated')",0.29928714,0.17462759,0.6035032,0.4343692,0.849232,0.659284,-0.189948
6,1.6034636,1.5269786,"('liked', 'disliked')",4.0047455,3.9714108,5.879215,5.853568,3.8291413,3.7839858,-0.0451555
76,1.4730282,1.4250159,"('secure', 'insecure')",0.406187,0.33394676,0.049764395,-0.1121096,0.6429932,0.548951,-0.0940422
41,-1.436255,-1.1454599,"('incorrupt', 'corrupt')",0.8193191,0.9554018,0.7244569,0.85530484,0.0358404,0.2217489,0.1859085
109,1.3926617,1.1542487,"('conservative', 'liberal')",0.6739955,0.6268438,0.028233051,0.06594603,0.6982967,0.6156795,-0.0826172
108,1.3926617,1.1542487,"('conservative', 'liberal')",0.6739955,0.6268438,0.028233051,0.06594603,0.6982967,0.6156795,-0.0826172
105,-1.3409595,-1.3488467,"('conventional', 'modern')",-0.7642039,-0.6966518,-0.8905405,-0.6838062,-0.9985681,-0.9097682,0.0887999
15,1.3286506,1.2320874,"('polite', 'impolite')",0.8088763,0.7895725,-0.09813751,-0.109464586,0.6797965,0.6373984,-0.0423981
71,1.309504,0.8756645,"('efficient', 'inefficient')",0.2292329,0.06208402,-1.1183639,-1.269503,0.1401244,-0.1105848,-0.2507092
3,1.2888633,1.1352148,"('likable', 'unlikable')",0.6114188,0.5054382,1.4023368,1.1828561,1.100873,0.9411697,-0.1597033
107,1.2096896,1.2691334,"('conventional', 'modern')",1.093409,1.0397272,0.8195834,0.8117224,1.040894,1.0401944,-0.0006996
