,average_male,0,1,average_female,female-male,tuple
75,3.0906997,confident,shy,2.9890165,-0.10168314,"('confident', 'shy')"
6,2.350117,liked,disliked,2.3517985,0.0016815662,"('liked', 'disliked')"
27,-2.309859,sincere,insincere,-2.1187253,0.19113374,"('sincere', 'insincere')"
37,1.967248,good,evil,1.8168538,-0.1503942,"('good', 'evil')"
78,1.8141023,active,inactive,1.4763463,-0.33775604,"('active', 'inactive')"
13,-1.6200725,helpful,unhelpful,-1.5933816,0.02669084,"('helpful', 'unhelpful')"
65,-1.5618379,practical,impractical,-1.7138444,-0.1520065,"('practical', 'impractical')"
53,-1.4745045,smart,stupid,-1.5597346,-0.08523011,"('smart', 'stupid')"
7,1.3987008,outgoing,distant,1.0593451,-0.3393557,"('outgoing', 'distant')"
46,1.394051,generous,stingy,1.5726156,0.17856467,"('generous', 'stingy')"
40,-1.3908533,honorable,mean,-1.6231037,-0.23225045,"('honorable', 'mean')"
81,1.3833694,industrious,lazy,1.000287,-0.3830824,"('industrious', 'lazy')"
77,1.3170016,active,inactive,1.4529437,0.1359421,"('active', 'inactive')"
50,1.2936444,unprejudiced,prejudiced,1.0855714,-0.20807302,"('unprejudiced', 'prejudiced')"
95,-1.2463869,rich,poor,-1.3276225,-0.08123565,"('rich', 'poor')"
29,-1.2433629,honest,immoral,-1.0459918,0.19737113,"('honest', 'immoral')"
45,-1.2179664,cooperative,exploitative,-1.3826241,-0.16465771,"('cooperative', 'exploitative')"
34,-1.1791451,loyal,disloyal,-0.9642457,0.21489942,"('loyal', 'disloyal')"
8,1.1636546,open,distant,0.9633286,-0.20032597,"('open', 'distant')"
64,-1.1492786,clever,incompetent,-1.1212041,0.028074503,"('clever', 'incompetent')"
19,-1.1307158,funny,boring,-1.0132926,0.117423296,"('funny', 'boring')"
3,1.1033058,likable,unlikable,1.2501004,0.14679456,"('likable', 'unlikable')"
90,1.0775919,motivated,unmotivated,0.96882606,-0.10876584,"('motivated', 'unmotivated')"
14,1.0667703,supportive,unsupportive,1.1298306,0.06306028,"('supportive', 'unsupportive')"
38,-0.9986918,kind,unkind,-0.605154,0.39353782,"('kind', 'unkind')"
22,0.9471031,welcoming,disagreeable,1.0443603,0.0972572,"('welcoming', 'disagreeable')"
88,0.937242,impulsive,meek,0.8624866,-0.07475537,"('impulsive', 'meek')"
36,-0.9367009,tolerant,intolerant,-1.0078056,-0.071104705,"('tolerant', 'intolerant')"
98,0.93255836,prestigious,insignificant,0.86499363,-0.067564726,"('prestigious', 'insignificant')"
33,-0.8893155,softhearted,hardhearted,-0.59627604,0.29303944,"('softhearted', 'hardhearted')"
43,-0.8509053,genuine,fake,-0.64150876,0.20939654,"('genuine', 'fake')"
92,0.82772696,unwavering,wavering,0.844788,0.017061055,"('unwavering', 'wavering')"
85,0.81839573,ambitious,unambitious,1.0009369,0.18254113,"('ambitious', 'unambitious')"
82,0.75543046,industrious,meek,0.59206384,-0.16336662,"('industrious', 'meek')"
54,0.7290506,smart,stupid,0.4330371,-0.29601347,"('smart', 'stupid')"
89,-0.7081051,daring,anxious,-0.45917547,0.24892962,"('daring', 'anxious')"
42,0.70732284,amicable,hostile,0.88725364,0.1799308,"('amicable', 'hostile')"
