,Dictionary,term,term preproc,PoS,sense,Dir,Synset,Definition,Examples,Antonyms
0,Sociability,sociable,sociable,ADJECTIVE,1,high,sociable.a.01,inclined to or conducive to companionship with others,a sociable occasion,unsociable.a.01
1,Sociability,unsociable,unsociable,ADJECTIVE,1,low,unsociable.a.01,not inclined to society or companionship,an unsociable nature...shy and reserved,sociable.a.01
2,Sociability,friendly,friendly,ADJECTIVE,1,high,friendly.a.01,characteristic of or befitting a friend,friendly advice,unfriendly.a.02
3,Sociability,friendly,friendly,ADJECTIVE,2,high,friendly.s.02,inclined to help or support; not antagonistic or hostile,a government friendly to our interests,
4,Sociability,unfriendly,unfriendly,ADJECTIVE,2,low,unfriendly.a.02,not disposed to friendship or friendliness,an unfriendly coldness of manner,friendly.a.01
5,Sociability,unfriendly,unfriendly,ADJECTIVE,3,low,unfriendly.s.03,not friendly,an unfriendly act of aggression,
6,Sociability,cold,cold,ADJECTIVE,2,low,cold.a.02,extended meanings; especially of psychological coldness; without human warmth or emotion,a cold unfriendly nod,hot.a.03
7,Sociability,warm,warm,ADJECTIVE,2,high,warm.a.02,psychologically warm; friendly and responsive,a warm greeting,cool.a.04
8,Sociability,likable,likable,ADJECTIVE,1,high,sympathetic.a.04,(of characters in literature or drama) evoking empathic or sympathetic feelings,the sympathetic characters in the play,unsympathetic.a.02
9,Sociability,likable,likable,ADJECTIVE,2,high,likable.s.02,easy to like; agreeable,an attractive and likable young man,
10,Sociability,repellent,repellent,ADJECTIVE,1,low,rebarbative.s.01,serving or tending to repel,he became rebarbative and prickly and spiteful,
11,Sociability,pleasant,pleasant,ADJECTIVE,2,high,pleasant.s.02,(of persons) having pleasing manners or behavior,I didn't enjoy it and probably wasn't a pleasant person to be around,
12,Sociability,unpleasant,unpleasant,ADJECTIVE,1,low,unpleasant.a.01,"disagreeable to the senses, to the mind, or feelings",an unpleasant personality,pleasant.a.01
13,Sociability,unlikable,unlikable,ADJECTIVE,1,low,unsympathetic.a.02,(of characters in literature or drama) tending to evoke antipathetic feelings,all the characters were peculiarly unsympathetic,sympathetic.a.04
14,Sociability,unlikable,unlikable,ADJECTIVE,2,low,unlikable.s.02,difficult or impossible to like,a disagreeable and unlikable old woman,
15,Sociability,liked,liked,ADJECTIVE,1,high,liked.a.01,found pleasant or attractive; often used as a combining form,a well-liked teacher,disliked.a.01
16,Sociability,disliked,disliked,ADJECTIVE,1,low,disliked.a.01,regarded with aversion,he was intensely disliked,liked.a.01
17,Sociability,outgoing,outgoing,ADJECTIVE,3,high,extroverted.s.02,at ease in talking to others,she's always been very outgoing and she's got heaps of friends,
18,Sociability,shy,shy,ADJECTIVE,1,low,diffident.a.02,lacking self-confidence,stood in the doorway diffident and abashed,confident.a.01
19,Sociability,sensitive,sensitive,ADJECTIVE,2,high,sensitive.a.02,"being susceptible to the attitudes, feelings, or circumstances of others",sensitive to the local community and its needs,insensitive.a.02
20,Sociability,insensitive,insensitive,ADJECTIVE,2,low,insensitive.a.02,deficient in human sensibility; not mentally or morally sensitive,insensitive to the needs of the patients,sensitive.a.02
21,Sociability,affectionate,affectionate,ADJECTIVE,1,high,affectionate.s.01,having or displaying warmth or affection,affectionate children,
22,Sociability,unaffectionate,unaffectionate,ADJECTIVE,1,low,detached.s.05,lacking affection or warm feeling,an uncaring person,
23,Sociability,distant,distant,ADJECTIVE,3,low,aloof.s.01,remote in manner,stood apart with aloof dignity,
24,Sociability,unreserved,unreserved,ADJECTIVE,2,high,unreserved.a.02,not cautious or reticent,unreserved behavior,reserved.a.02
25,Sociability,open,open,ADJECTIVE,20,high,candid.s.03,openly straightforward and direct without reserve or secretiveness,his candid eyes,
26,Sociability,caring,caring,ADJECTIVE,1,high,caring.s.01,feeling and exhibiting concern and empathy for others,caring friends,
27,Sociability,uncaring,uncaring,ADJECTIVE,1,low,detached.s.05,lacking affection or warm feeling,an uncaring person,
28,Sociability,sympathetic,sympathetic,ADJECTIVE,2,high,sympathetic.a.02,expressing or feeling or resulting from sympathy or compassion or friendly fellow feelings; disposed toward,sympathetic to the students' cause,unsympathetic.a.01
29,Sociability,sympathetic,sympathetic,ADJECTIVE,3,high,charitable.s.03,showing or motivated by sympathy and understanding and generosity,was charitable in his opinions of others,
30,Sociability,sympathetic,sympathetic,ADJECTIVE,4,high,sympathetic.a.04,(of characters in literature or drama) evoking empathic or sympathetic feelings,the sympathetic characters in the play,unsympathetic.a.02
31,Sociability,unsympathetic,unsympathetic,ADJECTIVE,2,low,unsympathetic.a.02,(of characters in literature or drama) tending to evoke antipathetic feelings,all the characters were peculiarly unsympathetic,sympathetic.a.04
32,Sociability,unsympathetic,unsympathetic,ADJECTIVE,4,low,unkindly.s.01,lacking in sympathy and kindness,unkindly ancts,
33,Sociability,helpful,helpful,ADJECTIVE,1,high,helpful.a.01,providing assistance or serving a useful function,people are friendly and helpful,unhelpful.a.01
34,Sociability,unhelpful,unhelpful,ADJECTIVE,1,low,unhelpful.a.01,providing no assistance,several complained that the staff were unhelpful,helpful.a.01
35,Sociability,understanding,understanding,ADJECTIVE,1,high,understanding.s.01,characterized by understanding based on comprehension and discernment and empathy,an understanding friend,
36,Sociability,supportive,supportive,ADJECTIVE,1,high,supportive.a.01,furnishing support or assistance,a supportive family network,unsupportive.a.01
37,Sociability,unsupportive,unsupportive,ADJECTIVE,1,low,unsupportive.a.01,not furnishing support or assistance,the family environment is unsupportive,supportive.a.01
38,Sociability,polite,polite,ADJECTIVE,1,high,polite.a.01,"showing regard for others in manners, speech, behavior, etc.",they thought she was wrong but were too polite to say so,impolite.a.01
39,Sociability,impolite,impolite,ADJECTIVE,1,low,impolite.a.01,not polite,it would have been impolite to refuse,polite.a.01
40,Sociability,aloof,aloof,ADJECTIVE,1,low,aloof.s.01,remote in manner,stood apart with aloof dignity,
41,Sociability,civil,civil,ADJECTIVE,2,high,civil.a.02,not rude; marked by satisfactory (or especially minimal) adherence to social usages and sufficient but not noteworthy consideration for others; - W.S. Maugham,even if he didn't like them he should have been civil,uncivil.a.01
42,Sociability,rude,rude,ADJECTIVE,1,low,ill-mannered.s.01,socially incorrect in behavior,resentment flared at such an unmannered intrusion,
43,Sociability,antisocial,antisocial,ADJECTIVE,1,low,antisocial.s.01,shunning contact with others,standoffish and antisocial,
44,Sociability,antisocial,antisocial,ADJECTIVE,2,low,antisocial.s.02,hostile to or disruptive of normal standards of social behavior,criminal behavior or conduct that violates the rights of other individuals is antisocial,
45,Sociability,social,social,ADJECTIVE,4,high,social.s.04,composed of sociable people or formed for the purpose of sociability,a purely social club,
46,Sociability,social,social,ADJECTIVE,5,high,social.s.05,tending to move or live together in groups or colonies of the same kind,ants are social insects,
47,Sociability,social,social,ADJECTIVE,6,high,social.s.06,marked by friendly companionship with others,a social cup of coffee,
48,Sociability,unsocial,unsocial,ADJECTIVE,1,low,unsocial.a.01,not seeking or given to association; being or living without companions,the unsocial disposition to neglect one's neighbors,social.a.02
49,Sociability,asocial,asocial,ADJECTIVE,1,low,asocial.s.01,given to avoiding association with others,bears are asocial secretive animals,
50,Sociability,asocial,asocial,ADJECTIVE,2,low,antisocial.s.02,hostile to or disruptive of normal standards of social behavior,criminal behavior or conduct that violates the rights of other individuals is antisocial,
51,Sociability,humorous,humorou,ADJECTIVE,1,high,humorous.a.01,full of or characterized by humor,humorous stories,humorless.a.01
52,Sociability,funny,funny,ADJECTIVE,1,high,amusing.s.02,arousing or provoking laughter,an amusing film with a steady stream of pranks and pratfalls,
53,Sociability,boring,boring,ADJECTIVE,1,low,boring.s.01,so lacking in interest as to cause mental weariness; ; ; ; ; ; - Edmund Burke; ; - Mark Twain,a boring evening with uninteresting people,
54,Sociability,popular,popular,ADJECTIVE,1,high,popular.a.01,"regarded with great favor, approval, or affection especially by the general public",a popular tourist attraction,unpopular.a.01
55,Sociability,unpopular,unpopular,ADJECTIVE,1,low,unpopular.a.01,regarded with disfavor or lacking general approval,unpopular ideas,popular.a.01
56,Sociability,nice,nice,ADJECTIVE,1,high,nice.a.01,pleasant or pleasing or agreeable in nature or appearance; - George Meredith,what a nice fellow you are and we all thought you so nasty,nasty.a.01
57,Sociability,nasty,nasty,ADJECTIVE,1,low,nasty.a.01,offensive or even (of persons) malicious; ; ; ; ; ; - Ezra Pound,in a nasty mood,nice.a.01
